% av total boende;Antal bostadsrätter;Antal hyresrätter;Antal äganderätter;ContentsCode;Region;Stadsdel;stadsdelsomrade;Statistikområde;Tid;Upplatelseform;Upplåtelseform_Stor;value
0;;;0;Antal;0180R001_RegSO2025;Abrahamsberg;Bromma;0180R001 Abrahamsberg;2024;äganderätt;Äganderätt;0
0,434698795;902;;;Antal;0180R001_RegSO2025;Abrahamsberg;Bromma;0180R001 Abrahamsberg;2024;bostadsrätt;Bostadsrätt;902
0,565301205;;1173;;Antal;0180R001_RegSO2025;Abrahamsberg;Bromma;0180R001 Abrahamsberg;2024;hyresrätt;Hyresrätt;1173
;;;;Antal;0180R001_RegSO2025;Abrahamsberg;Bromma;0180R001 Abrahamsberg;2024;uppgift saknas;Uppgift saknas;0
0,041049308;;;169;Antal;0180R002_RegSO2025;Akalla;;0180R002 Akalla;2024;äganderätt;Äganderätt;169
0,70002429;2882;;;Antal;0180R002_RegSO2025;Akalla;;0180R002 Akalla;2024;bostadsrätt;Bostadsrätt;2882
0,258926403;;1066;;Antal;0180R002_RegSO2025;Akalla;;0180R002 Akalla;2024;hyresrätt;Hyresrätt;1066
;;;;Antal;0180R002_RegSO2025;Akalla;;0180R002 Akalla;2024;uppgift saknas;Uppgift saknas;0
0,036842105;;;35;Antal;0180R003_RegSO2025;Alvik;Bromma;0180R003 Alvik;2024;äganderätt;Äganderätt;35
0,577894737;549;;;Antal;0180R003_RegSO2025;Alvik;Bromma;0180R003 Alvik;2024;bostadsrätt;Bostadsrätt;549
0,385263158;;366;;Antal;0180R003_RegSO2025;Alvik;Bromma;0180R003 Alvik;2024;hyresrätt;Hyresrätt;366
;;;;Antal;0180R003_RegSO2025;Alvik;Bromma;0180R003 Alvik;2024;uppgift saknas;Uppgift saknas;0
0,011050876;;;53;Antal;0180R004_RegSO2025;Aspudden;Hägersten-Älvsjö;0180R004 Aspudden;2024;äganderätt;Äganderätt;53
0,51000834;2446;;;Antal;0180R004_RegSO2025;Aspudden;Hägersten-Älvsjö;0180R004 Aspudden;2024;bostadsrätt;Bostadsrätt;2446
0,478940784;;2297;;Antal;0180R004_RegSO2025;Aspudden;Hägersten-Älvsjö;0180R004 Aspudden;2024;hyresrätt;Hyresrätt;2297
;;;;Antal;0180R004_RegSO2025;Aspudden;Hägersten-Älvsjö;0180R004 Aspudden;2024;uppgift saknas;Uppgift saknas;0
0,064242424;;;371;Antal;0180R005_RegSO2025;Bagarmossen;;0180R005 Bagarmossen;2024;äganderätt;Äganderätt;371
0,298528139;1724;;;Antal;0180R005_RegSO2025;Bagarmossen;;0180R005 Bagarmossen;2024;bostadsrätt;Bostadsrätt;1724
0,637229437;;3680;;Antal;0180R005_RegSO2025;Bagarmossen;;0180R005 Bagarmossen;2024;hyresrätt;Hyresrätt;3680
;;;;Antal;0180R005_RegSO2025;Bagarmossen;;0180R005 Bagarmossen;2024;uppgift saknas;Uppgift saknas;0
0,016479895;;;75;Antal;0180R006_RegSO2025;Bandhagen;;0180R006 Bandhagen;2024;äganderätt;Äganderätt;75
0,282135794;1284;;;Antal;0180R006_RegSO2025;Bandhagen;;0180R006 Bandhagen;2024;bostadsrätt;Bostadsrätt;1284
0,701384311;;3192;;Antal;0180R006_RegSO2025;Bandhagen;;0180R006 Bandhagen;2024;hyresrätt;Hyresrätt;3192
;;;;Antal;0180R006_RegSO2025;Bandhagen;;0180R006 Bandhagen;2024;uppgift saknas;Uppgift saknas;0
0,077592458;;;214;Antal;0180R007_RegSO2025;Beckomberga;Bromma;0180R007 Beckomberga;2024;äganderätt;Äganderätt;214
0,673676577;1858;;;Antal;0180R007_RegSO2025;Beckomberga;Bromma;0180R007 Beckomberga;2024;bostadsrätt;Bostadsrätt;1858
0,248730964;;686;;Antal;0180R007_RegSO2025;Beckomberga;Bromma;0180R007 Beckomberga;2024;hyresrätt;Hyresrätt;686
;;;;Antal;0180R007_RegSO2025;Beckomberga;Bromma;0180R007 Beckomberga;2024;uppgift saknas;Uppgift saknas;0
0,023577236;;;87;Antal;0180R008_RegSO2025;Björkhagen;;0180R008 Björkhagen;2024;äganderätt;Äganderätt;87
