Brottstyp,Stadsdelsområde,År
Bilstöld,Bromma,102.0
Bostadsinbrott,Bromma,646.0
Cykelstöld,Bromma,673.0
Hot & ofredande,Bromma,941.0
Intrång & integritet,Bromma,117.0
Misshandel,Bromma,603.0
Mordförsök,Bromma,16.0
Narkotikabrott,Bromma,735.0
Rån,Bromma,23.0
Sexualbrott,Bromma,253.0
Skadegörelse,Bromma,1958.0
Totalt antal brott,Bromma,13221.0
Tvång & frihetsbrott,Bromma,27.0
Bilstöld,Enskede - Årsta - Vantör,87.0
Bostadsinbrott,Enskede - Årsta - Vantör,548.0
Cykelstöld,Enskede - Årsta - Vantör,464.0
Hot & ofredande,Enskede - Årsta - Vantör,1164.0
Intrång & integritet,Enskede - Årsta - Vantör,125.0
Misshandel,Enskede - Årsta - Vantör,1033.0
Mordförsök,Enskede - Årsta - Vantör,14.0
Narkotikabrott,Enskede - Årsta - Vantör,1326.0
Rån,Enskede - Årsta - Vantör,42.0
Sexualbrott,Enskede - Årsta - Vantör,218.0
Skadegörelse,Enskede - Årsta - Vantör,3842.0
Totalt antal brott,Enskede - Årsta - Vantör,19418.0
Tvång & frihetsbrott,Enskede - Årsta - Vantör,53.0
Bilstöld,Farsta,108.0
Bostadsinbrott,Farsta,668.0
Cykelstöld,Farsta,554.0
Hot & ofredande,Farsta,1212.0
Intrång & integritet,Farsta,178.0
Misshandel,Farsta,1008.0
Mordförsök,Farsta,14.0
Narkotikabrott,Farsta,1097.0
Rån,Farsta,61.0
Sexualbrott,Farsta,205.0
Skadegörelse,Farsta,3928.0
Totalt antal brott,Farsta,19032.0
Tvång & frihetsbrott,Farsta,41.0
Bilstöld,Hägersten - Älvsjö,84.0
Bostadsinbrott,Hägersten - Älvsjö,638.0
Cykelstöld,Hägersten - Älvsjö,644.0
Hot & ofredande,Hägersten - Älvsjö,952.0
Intrång & integritet,Hägersten - Älvsjö,155.0
Misshandel,Hägersten - Älvsjö,773.0
Mordförsök,Hägersten - Älvsjö,16.0
