Statistik från Skolverket, https://www.skolverket.se

Grundskola - Antal elever per årskurs
Valt läsår: 2025/26

Skola;Skol-enhetskod;Skolkommun;Kommun-kod;Typ av huvudman;Huvudman;Huvudman orgnr;Elever, årskurs 1-9;Andel (%) flickor, årskurs 1-9;Andel (%) elever med utländsk bakgrund, åk 1-9;Andel (%) elever med föräldrar med eftergymnasial utb., åk 1-9;Elever, årskurs 1;Elever, årskurs 2;Elever, årskurs 3;Elever, årskurs 4;Elever, årskurs 5;Elever, årskurs 6;Elever, årskurs 7;Elever, årskurs 8;Elever, årskurs 9;Socioekonomisk områdestyp;
Ahlafors Fria skola;71387206;Ale;1440;Enskild;Ahlafors Fria Skola Ekonomisk förening;7696142343;267;48,3;5,6;73,4;23;21;23;26;50;24;25;50;25;Områden med goda socioekonomiska förutsättningar;
Alboskolan;72616393;Ale;1440;Kommunal;Ale kommun;2120001439;197;46,7;16,2;57,4;.;.;.;68;62;67;.;.;.;Områden med goda socioekonomiska förutsättningar;
Aroseniusskolan 1;48529699;Ale;1440;Kommunal;Ale kommun;2120001439;320;45,9;17,2;70,3;.;.;.;.;.;.;166;.;154;Uppgift saknas;
Aroseniusskolan 2;24647780;Ale;1440;Kommunal;Ale kommun;2120001439;162;44,4;15,4;64,8;.;.;.;.;.;.;.;162;.;Uppgift saknas;
Bohusskolan;11043800;Ale;1440;Kommunal;Ale kommun;2120001439;573;50,4;37,5;67,9;48;45;42;60;53;45;83;93;104;Områden med goda socioekonomiska förutsättningar;
Da Vinciskolan 1;71893438;Ale;1440;Kommunal;Ale kommun;2120001439;240;52,1;30,4;67,5;.;.;.;.;.;.;80;65;95;Områden med goda socioekonomiska förutsättningar;
Da Vinciskolan 2;71729095;Ale;1440;Kommunal;Ale kommun;2120001439;220;51,4;26,8;69,1;.;.;.;.;.;.;75;73;72;Områden med goda socioekonomiska förutsättningar;
Garnvindeskolan;97093265;Ale;1440;Kommunal;Ale kommun;2120001439;199;51,8;17,1;57,3;72;70;57;.;.;.;.;.;.;Områden med goda socioekonomiska förutsättningar;
Himlaskolan;54807007;Ale;1440;Kommunal;Ale kommun;2120001439;158;48,7;13,3;56,3;41;25;25;37;8;22;.;.;.;Områden med goda socioekonomiska förutsättningar;
Kronaskolan F-6 1;58798062;Ale;1440;Kommunal;Ale kommun;2120001439;539;45,5;16,5;77,6;54;71;65;137;97;115;.;.;.;Områden med goda socioekonomiska förutsättningar;
Kronaskolan F-6 2;69611652;Ale;1440;Kommunal;Ale kommun;2120001439;192;46,9;13,0;69,3;59;70;63;.;.;.;.;.;.;Områden med goda socioekonomiska förutsättningar;
Kyrkbyskolan;16944234;Ale;1440;Kommunal;Ale kommun;2120001439;310;44,8;36,1;70,3;.;.;.;88;104;118;.;.;.;Uppgift saknas;
Nolskolan;12789480;Ale;1440;Kommunal;Ale kommun;2120001439;258;46,1;24,8;62,4;42;42;46;39;39;50;.;.;.;Uppgift saknas;
Nödingeskolan;22564015;Ale;1440;Kommunal;Ale kommun;2120001439;274;50,0;36,1;63,9;90;90;94;.;.;.;.;.;.;Områden med goda socioekonomiska förutsättningar;
Surteskolan;81439850;Ale;1440;Kommunal;Ale kommun;2120001439;188;53,2;39,4;66,0;21;36;35;24;35;37;.;.;.;Områden med goda socioekonomiska förutsättningar;
Gustav Adolfsskolan;74064638;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;340;51,2;9,7;73,5;.;.;.;.;.;.;116;106;118;Områden med goda socioekonomiska förutsättningar;
Hemsjö Kyrkskola;63452058;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;146;41,1;..;66,4;26;19;23;30;27;21;.;.;.;Områden med goda socioekonomiska förutsättningar;
Ingaredsskolan;49115714;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;278;47,1;5,0;83,8;54;62;39;50;37;36;.;.;.;Områden med goda socioekonomiska förutsättningar;
Kullingsbergsskolan;78832157;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;285;47,7;5,3;83,2;48;43;54;49;52;39;.;.;.;Områden med goda socioekonomiska förutsättningar;
Lendahlsskolan F-6;34338735;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;199;47,2;35,7;56,8;30;27;44;30;41;27;.;.;.;Områden med goda socioekonomiska förutsättningar;
Långareds skola;28639614;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;98;48,0;..;78,6;18;21;17;12;17;13;.;.;.;Områden med goda socioekonomiska förutsättningar;
Magra skola;78273632;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;47;38,3;..;55,3;4;7;11;5;9;11;.;.;.;Socioekonomiskt blandade områden;
Nolbyskolan;46546067;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;277;54,2;28,5;64,3;43;50;50;41;50;43;.;.;.;Områden med goda socioekonomiska förutsättningar;
Nolhagaskolan;84581048;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;491;51,3;23,6;72,7;.;.;.;.;.;.;167;168;156;Områden med socioekonomiska utmaningar;
Noltorpsskolan 4-6;87146353;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;228;43,9;26,8;65,4;.;.;.;72;81;75;.;.;.;Områden med socioekonomiska utmaningar;
Noltorpsskolan F-3;86435318;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;228;45,2;29,8;64,5;78;71;79;.;.;.;.;.;.;Områden med socioekonomiska utmaningar;
Sollebrunns skola 7-9;40731205;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;143;49,7;9,1;53,1;.;.;.;.;.;.;46;45;52;Områden med goda socioekonomiska förutsättningar;
Sollebrunns skola F-6;81880420;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;150;52,0;12,7;51,3;28;24;18;25;30;25;.;.;.;Områden med goda socioekonomiska förutsättningar;
Stadsskogenskolan;38957274;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;296;48,6;12,8;77,4;44;40;56;52;51;53;.;.;.;Områden med goda socioekonomiska förutsättningar;
Stora Mellby skola;90924483;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;79;49,4;..;62,0;9;16;14;19;8;13;.;.;.;Socioekonomiskt blandade områden;
Västra Bodarna skola;71895385;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;131;48,9;..;90,8;19;33;26;17;17;19;.;.;.;Områden med mycket goda socioekonomiska förutsättningar;
Ängaboskolan;57136802;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;306;51,0;15,0;66,3;53;53;54;47;51;48;.;.;.;Områden med mycket goda socioekonomiska förutsättningar;
Ödenäs skola;70153094;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;41;51,2;..;~100;13;5;5;9;3;6;.;.;.;Områden med goda socioekonomiska förutsättningar;
Östlyckeskolan 7-9;63399058;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;409;46,0;22,5;63,6;.;.;.;.;.;.;119;133;157;Områden med socioekonomiska utmaningar;
Montessoriskolan Globen;87109819;Alingsås;1489;Enskild;Alingsås Montessori Skola Globen;8640009794;374;49,5;11,5;85,0;32;31;37;35;37;43;53;52;54;Områden med socioekonomiska utmaningar;
Vittra Gerdsken;98272016;Alingsås;1489;Enskild;Vittraskolorna AB;5564586716;457;51,4;11,8;73,5;44;44;44;48;48;48;62;60;59;Områden med goda socioekonomiska förutsättningar;
Grönkullaskolan;66644840;Alvesta;0764;Kommunal;Alvesta kommun;2120000639;348;49,1;76,7;39,9;54;57;70;47;54;66;.;.;.;Socioekonomiskt blandade områden;
Hagaskolan;67183147;Alvesta;0764;Kommunal;Alvesta kommun;2120000639;405;40,2;48,9;55,3;.;.;.;.;.;.;135;132;138;Områden med stora socioekonomiska utmaningar;
Hjortsbergaskolan;36322706;Alvesta;0764;Kommunal;Alvesta kommun;2120000639;86;31,4;..;59,3;15;14;19;14;16;8;.;.;.;Områden med goda socioekonomiska förutsättningar;
Mohedaskolan;69699568;Alvesta;0764;Kommunal;Alvesta kommun;2120000639;382;50,3;8,9;61,8;34;34;43;55;47;45;38;44;42;Områden med goda socioekonomiska förutsättningar;
Prästängsskolan;59234401;Alvesta;0764;Kommunal;Alvesta kommun;2120000639;382;45,5;28,3;58,1;53;65;84;54;60;66;.;.;.;Områden med goda socioekonomiska förutsättningar;
Skatelövsskolan;55218290;Alvesta;0764;Kommunal;Alvesta kommun;2120000639;172;51,2;3,5;56,4;23;37;29;25;25;33;.;.;.;Områden med goda socioekonomiska förutsättningar;
Vislandaskolan;88176175;Alvesta;0764;Kommunal;Alvesta kommun;2120000639;352;47,2;21,9;52,8;30;30;32;27;35;33;58;53;54;Socioekonomiskt blandade områden;
Kronobergsheds skola;79378495;Alvesta;0764;Enskild;Kronobergsheds Skola Ek. för.;7696124531;37;45,9;18,9;54,1;3;6;7;9;7;5;.;.;.;Uppgift saknas;
Furulidskolan;88669294;Aneby;0604;Kommunal;Aneby kommun;2120000498;255;47,5;20,0;54,5;.;.;.;.;.;.;89;84;82;Socioekonomiskt blandade områden;
Parkskolan;29991409;Aneby;0604;Kommunal;Aneby kommun;2120000498;192;54,7;20,3;58,9;35;44;40;45;28;.;.;.;.;Områden med goda socioekonomiska förutsättningar;
Sunhult skola;72916171;Aneby;0604;Kommunal;Aneby kommun;2120000498;57;42,1;..;64,9;10;10;14;12;11;.;.;.;.;Uppgift saknas;
Tallbackaskolan;34811255;Aneby;0604;Kommunal;Aneby kommun;2120000498;215;53,0;23,7;60,5;21;34;20;27;24;89;.;.;.;Socioekonomiskt blandade områden;
Vireda skola;81763314;Aneby;0604;Kommunal;Aneby kommun;2120000498;68;51,5;..;72,1;11;20;14;12;11;.;.;.;.;Uppgift saknas;
Oasens skola;48000763;Aneby;0604;Enskild;Oasen Utbildningscenter AB;5566501796;19;..;31,6;26,3;1;1;5;.;2;3;4;2;1;Uppgift saknas;
Brattbergsskolan;77132043;Arboga;1984;Kommunal;Arboga kommun;2120002122;111;51,4;18,0;73,0;41;35;35;.;.;.;.;.;.;Socioekonomiskt blandade områden;
Gäddgårdsskolan 7-9;65483259;Arboga;1984;Kommunal;Arboga kommun;2120002122;238;44,5;29,4;53,4;.;.;.;.;.;.;76;78;84;Socioekonomiskt blandade områden;
Gäddgårdsskolan F-6;40576446;Arboga;1984;Kommunal;Arboga kommun;2120002122;312;51,0;30,8;51,0;36;38;45;56;65;72;.;.;.;Socioekonomiskt blandade områden;
Götlunda skola;56897691;Arboga;1984;Kommunal;Arboga kommun;2120002122;80;43,8;6,3;65,0;6;17;15;14;15;13;.;.;.;Områden med goda socioekonomiska förutsättningar;
Ladubacksskolan;76878404;Arboga;1984;Kommunal;Arboga kommun;2120002122;233;48,9;10,7;63,5;46;50;49;43;45;.;.;.;.;Områden med goda socioekonomiska förutsättningar;
Nybyholmsskolan;80553326;Arboga;1984;Kommunal;Arboga kommun;2120002122;98;52,0;31,6;56,1;17;23;17;23;18;.;.;.;.;Områden med stora socioekonomiska utmaningar;
Stureskolan;13854755;Arboga;1984;Kommunal;Arboga kommun;2120002122;314;44,9;16,9;62,1;.;.;.;.;.;73;81;74;86;Socioekonomiskt blandade områden;
Medåkers Friskola;53910317;Arboga;1984;Enskild;Medåkers Friskola Ekonomisk förening;7696383129;29;31,0;..;37,9;8;2;5;6;4;4;.;.;.;Områden med goda socioekonomiska förutsättningar;
Silverskolan;14254350;Arjeplog;2506;Kommunal;Arjeplogs kommun;2120002668;227;47,6;7,9;51,5;21;27;26;18;24;24;28;32;27;Områden med goda socioekonomiska förutsättningar;
Fridhemsskolan;48373752;Arvidsjaur;2505;Kommunal;Arvidsjaurs kommun;2120002650;183;50,8;7,1;47,0;.;.;.;.;.;.;54;67;62;Socioekonomiskt blandade områden;
Parkskolan;16305064;Arvidsjaur;2505;Kommunal;Arvidsjaurs kommun;2120002650;21;52,4;38,1;23,8;2;3;1;4;6;5;.;.;.;Områden med goda socioekonomiska förutsättningar;
Ringelskolan;72388632;Arvidsjaur;2505;Kommunal;Arvidsjaurs kommun;2120002650;197;48,7;12,7;44,7;.;.;.;70;68;59;.;.;.;Socioekonomiskt blandade områden;
Tallbackaskolan;13473423;Arvidsjaur;2505;Kommunal;Arvidsjaurs kommun;2120002650;173;51,4;9,8;42,2;56;63;54;.;.;.;.;.;.;Socioekonomiskt blandade områden;
Dotteviksskolan;71123975;Arvika;1784;Kommunal;Arvika kommun;2120001892;171;49,1;24,0;52,6;33;25;28;23;29;33;.;.;.;Uppgift saknas;
Edane skola;26650042;Arvika;1784;Kommunal;Arvika kommun;2120001892;151;50,3;6,6;58,9;22;23;23;31;22;30;.;.;.;Uppgift saknas;
Gateskolan;99788707;Arvika;1784;Kommunal;Arvika kommun;2120001892;335;49,3;14,0;67,5;38;36;53;67;66;75;.;.;.;Socioekonomiskt blandade områden;
Glava skola;96746847;Arvika;1784;Kommunal;Arvika kommun;2120001892;49;44,9;20,4;49,0;6;12;3;7;5;16;.;.;.;Uppgift saknas;
Graningegården;21442650;Arvika;1784;Kommunal;Arvika kommun;2120001892;65;32,3;7,7;81,5;22;23;20;.;.;.;.;.;.;Områden med goda socioekonomiska förutsättningar;
Järvenskolan;63265335;Arvika;1784;Kommunal;Arvika kommun;2120001892;134;49,3;6,7;53,0;19;20;21;24;24;26;.;.;.;Områden med goda socioekonomiska förutsättningar;
Jössefors skola;57618045;Arvika;1784;Kommunal;Arvika kommun;2120001892;78;35,9;6,4;51,3;29;22;27;.;.;.;.;.;.;Områden med goda socioekonomiska förutsättningar;
Klässbols skola;34377463;Arvika;1784;Kommunal;Arvika kommun;2120001892;92;42,4;5,4;46,7;15;15;16;13;16;17;.;.;.;Uppgift saknas;
Kyrkebyskolan 4-6;53178437;Arvika;1784;Kommunal;Arvika kommun;2120001892;206;46,6;26,7;60,2;.;.;.;70;69;67;.;.;.;Socioekonomiskt blandade områden;
Kyrkebyskolan F-3;82022664;Arvika;1784;Kommunal;Arvika kommun;2120001892;221;51,1;21,3;61,5;72;75;74;.;.;.;.;.;.;Socioekonomiskt blandade områden;
Minnebergsskolan;55958613;Arvika;1784;Kommunal;Arvika kommun;2120001892;717;44,5;18,1;55,0;.;.;.;.;.;.;254;241;222;Socioekonomiskt blandade områden;
Rinnens skola;71530490;Arvika;1784;Kommunal;Arvika kommun;2120001892;42;38,1;..;73,8;5;7;9;7;6;8;.;.;.;Uppgift saknas;
Styckåsskolan;11995760;Arvika;1784;Kommunal;Arvika kommun;2120001892;125;44,8;50,4;44,8;22;18;25;15;19;26;.;.;.;Områden med goda socioekonomiska förutsättningar;
Sulviks skola;30153289;Arvika;1784;Kommunal;Arvika kommun;2120001892;82;57,3;6,1;47,6;.;.;.;22;32;28;.;.;.;Uppgift saknas;
Estetiska skolan, högstadiet;99375199;Arvika;1784;Enskild;Estetiska Skolan Arvika;8740020212;172;75,0;18,0;73,8;.;.;.;.;.;.;52;52;68;Socioekonomiskt blandade områden;
Hammars skola;95952398;Askersund;1882;Kommunal;Askersunds kommun;2120001983;30;56,7;..;36,7;12;8;10;.;.;.;.;.;.;Socioekonomiskt blandade områden;
Närlundaskolan;34933810;Askersund;1882;Kommunal;Askersunds kommun;2120001983;371;46,9;20,8;44,2;48;45;59;68;79;72;.;.;.;Socioekonomiskt blandade områden;
Rönneshytta skola;42366130;Askersund;1882;Kommunal;Askersunds kommun;2120001983;117;49,6;5,1;47,0;24;12;27;16;16;22;.;.;.;Uppgift saknas;
Sjöängsskolan;15766661;Askersund;1882;Kommunal;Askersunds kommun;2120001983;354;48,0;13,6;41,8;.;.;.;.;.;.;114;125;115;Socioekonomiskt blandade områden;
Åmmebergs skola;94560681;Askersund;1882;Kommunal;Askersunds kommun;2120001983;26;42,3;..;30,8;10;8;8;.;.;.;.;.;.;Områden med goda socioekonomiska förutsättningar;
Åsbro skola;26625115;Askersund;1882;Kommunal;Askersunds kommun;2120001983;121;44,6;8,3;51,2;23;22;20;23;19;14;.;.;.;Uppgift saknas;
Bergsnässkolan;52904254;Avesta;2084;Kommunal;Avesta kommun;2120002262;216;46,3;48,6;47,2;.;.;.;74;68;74;.;.;.;Områden med goda socioekonomiska förutsättningar;
By skola;99431045;Avesta;2084;Kommunal;Avesta kommun;2120002262;42;45,2;14,3;59,5;6;8;11;5;12;.;.;.;.;Områden med goda socioekonomiska förutsättningar;
Domarhagsskolan;87516620;Avesta;2084;Kommunal;Avesta kommun;2120002262;309;47,2;45,3;48,2;.;.;.;.;.;.;102;108;99;Områden med socioekonomiska utmaningar;
Fors skola;18273641;Avesta;2084;Kommunal;Avesta kommun;2120002262;109;49,5;7,3;57,8;16;15;12;23;19;24;.;.;.;Områden med goda socioekonomiska förutsättningar;
Johan-Olovskolan;48240990;Avesta;2084;Kommunal;Avesta kommun;2120002262;214;49,1;12,6;43,9;15;13;11;11;19;19;50;40;36;Socioekonomiskt blandade områden;
