Namn,Typ,Kategori,Gata,Nr,Lat,Lon
Marino,restaurant,Restaurang & Snabbmat,Klubbacken,51,59.305325,17.9632902
Hemköp Stockholm Älvsjö,supermarket,Matbutik,Sjättenovembervägen,208,59.2787519,18.00228
OKQ8,fuel,Bensinmack,N/A,,59.2944349,18.0025876
Circle K,fuel,Bensinmack,N/A,,59.2999537,18.012147
McDonald's,fast_food,Restaurang & Snabbmat,N/A,,59.2930743,18.0012108
Coop Västertorp,supermarket,Matbutik,Störtloppsvägen,17,59.2927384,17.9676426
Hemköp Hägersten Västertorp,supermarket,Matbutik,Störtloppsvägen,22,59.2930981,17.9677873
Sushi Bar,restaurant,Restaurang & Snabbmat,N/A,,59.2924236,17.9679342
Lekplats,playground,Lekplats,N/A,,59.2647808,17.9840719
Lekplats,playground,Lekplats,N/A,,59.2715724,17.9845487
ST1,fuel,Bensinmack,Elektravägen,33,59.2946662,18.0099656
Apoteket,pharmacy,Apotek,Fruängstorget,6,59.2857782,17.9646066
Systembolaget,alcohol,Systembolag,Fruängsgången,10,59.2856716,17.9638677
Solberga restaurang,restaurant,Restaurang & Snabbmat,Klacktorget,4,59.2869324,18.0104442
Stora Coop Västberga,supermarket,Matbutik,Västbergavägen,4,59.2937143,18.0046482
Willys Stockholm Älvsjö,supermarket,Matbutik,Älvsjö Ängsväg,2-6,59.2753,18.0132
ICA Supermarket,supermarket,Matbutik,N/A,,59.3073101,18.0296528
E4-baren,fast_food,Restaurang & Snabbmat,Kristallvägen,156,59.2897345,18.0023026
Cafe Vintervikens Trädgård,cafe,Kafé,Vinterviksvägen,30,59.3112368,17.9990416
Coop Gröndal,supermarket,Matbutik,N/A,,59.3160917,18.0116571
Ekensbergs Pizza,fast_food,Restaurang & Snabbmat,N/A,,59.3148143,17.9953198
Lundbergs konditori,cafe,Kafé,N/A,,59.3160215,18.0103222
Gröndals Sushi Kök,restaurant,Restaurang & Snabbmat,N/A,,59.3158464,18.0136582
Tre Vänner,restaurant,Restaurang & Snabbmat,N/A,,59.3014183,18.0120339
Tegelbruket,cafe,Kafé,N/A,,59.3020479,18.0153506
Restaurant Kransen,restaurant,Restaurang & Snabbmat,N/A,,59.3022631,18.0148264
Pita i parken,restaurant,Restaurang & Snabbmat,N/A,,59.301094,18.0069063
Tellus,cinema,Biograf,N/A,,59.3019888,18.0075991
OKQ8 Hägersten,fuel,Bensinmack,N/A,,59.2876582,17.9800825
ICA Nära Telefonplan,supermarket,Matbutik,Telefonvägen,20,59.2988217,17.9969403
Pizzeria Italia,fast_food,Restaurang & Snabbmat,N/A,,59.3001157,17.9957628
Best on the best,restaurant,Restaurang & Snabbmat,N/A,,59.29991,17.9959046
Landet,restaurant,Restaurang & Snabbmat,N/A,,59.2991679,17.9962667
Lurparken,playground,Lekplats,N/A,,59.3009202,17.9933312
Telegrillen,fast_food,Restaurang & Snabbmat,N/A,,59.2979103,17.9971428
JJ's,fast_food,Restaurang & Snabbmat,N/A,,59.3039515,18.0036438
Coop Älvsjö,supermarket,Matbutik,Älvsjö Torg,4,59.2790528,18.0099095
Gröndals grill & pizza,fast_food,Restaurang & Snabbmat,N/A,,59.3158038,18.0095939
Gröndals bibliotek,library,Bibliotek,N/A,,59.3161337,18.0121677
Gandhi,restaurant,Restaurang & Snabbmat,N/A,,59.316601,18.0083698
Hägern,restaurant,Restaurang & Snabbmat,Inteckningsvägen,84,59.2944861,17.9809865
Ica,supermarket,Matbutik,Sparbanksvägen,,59.2971133,17.982747
Indian Lotus,restaurant,Restaurang & Snabbmat,N/A,,59.2974935,17.9843719
Da Dante,restaurant,Restaurang & Snabbmat,N/A,,59.3040862,17.9591433
Villa Fridhem,restaurant,Restaurang & Snabbmat,Mälarhöjdsvägen,2,59.3016308,17.956049
Coop Örnsberg,supermarket,Matbutik,Junkergatan,27,59.3057786,17.9895142
Wintervikens cafe,cafe,Kafé,Vinterviksvägen,60,59.3116377,17.9921168
Pizzeria Sorrento,fast_food,Restaurang & Snabbmat,Störtloppsvägen,26,59.2933579,17.9675477
Nickys Thai,restaurant,Restaurang & Snabbmat,N/A,,59.3094687,18.0026802
Coop Aspudden,supermarket,Matbutik,N/A,,59.3053907,17.9932874
