Namn,Typ,Kategori,Gata,Nr,Lat,Lon,Stadsdel,stadsdelsomrade
Marino,restaurant,Restaurang & Snabbmat,Klubbacken,51,59.305325,17.9632902,Hägersten,Hägersten-Älvsjö
Hemköp Stockholm Älvsjö,supermarket,Matbutik,Sjättenovembervägen,208,59.2787519,18.00228,Liseberg,Hägersten-Älvsjö
OKQ8,fuel,Bensinmack,Kontrollvägen,,59.2944349,18.0025876,Västberga,Hägersten-Älvsjö
Circle K,fuel,Bensinmack,Nioörtsvägen,,59.2999537,18.012147,Västberga,Hägersten-Älvsjö
McDonald's,fast_food,Restaurang & Snabbmat,Lerkrogsvägen,,59.2930743,18.0012108,Västberga,Hägersten-Älvsjö
Coop Västertorp,supermarket,Matbutik,Störtloppsvägen,17,59.2927384,17.9676426,Västertorp,Hägersten-Älvsjö
Hemköp Hägersten Västertorp,supermarket,Matbutik,Störtloppsvägen,22,59.2930981,17.9677873,Västertorp,Hägersten-Älvsjö
Sushi Bar,restaurant,Restaurang & Snabbmat,Störtloppsvägen,,59.2924236,17.9679342,Västertorp,Hägersten-Älvsjö
Lekplats,playground,Lekplats,Långsjöhöjden,,59.2647808,17.9840719,Långsjö,Hägersten-Älvsjö
Lekplats,playground,Lekplats,Långbrodalsvägen,,59.2715724,17.9845487,Långsjö,Hägersten-Älvsjö
ST1,fuel,Bensinmack,Elektravägen,33,59.2946662,18.0099656,Västberga,Hägersten-Älvsjö
Apoteket,pharmacy,Apotek,Fruängstorget,6,59.2857782,17.9646066,Fruängen,Hägersten-Älvsjö
Systembolaget,alcohol,Systembolag,Fruängsgången,10,59.2856716,17.9638677,Fruängen,Hägersten-Älvsjö
Solberga restaurang,restaurant,Restaurang & Snabbmat,Klacktorget,4,59.2869324,18.0104442,Solberga,Hägersten-Älvsjö
Stora Coop Västberga,supermarket,Matbutik,Västbergavägen,4,59.2937143,18.0046482,Västberga,Hägersten-Älvsjö
Willys Stockholm Älvsjö,supermarket,Matbutik,Älvsjö Ängsväg,2-6,59.2753,18.0132,Liseberg,Hägersten-Älvsjö
ICA Supermarket,supermarket,Matbutik,Sjövikstorget,,59.3073101,18.0296528,Liljeholmen,Hägersten-Älvsjö
E4-baren,fast_food,Restaurang & Snabbmat,Kristallvägen,156,59.2897345,18.0023026,Solberga,Hägersten-Älvsjö
Cafe Vintervikens Trädgård,cafe,Kafé,Vinterviksvägen,30,59.3112368,17.9990416,Aspudden,Hägersten-Älvsjö
Coop Gröndal,supermarket,Matbutik,Gröndalsvägen,,59.3160917,18.0116571,Gröndal,Hägersten-Älvsjö
Ekensbergs Pizza,fast_food,Restaurang & Snabbmat,Gröndalsvägen,,59.3148143,17.9953198,Gröndal,Hägersten-Älvsjö
Lundbergs konditori,cafe,Kafé,Sjöbjörnsvägen,,59.3160215,18.0103222,Gröndal,Hägersten-Älvsjö
Gröndals Sushi Kök,restaurant,Restaurang & Snabbmat,Gröndalsvägen,,59.3158464,18.0136582,Gröndal,Hägersten-Älvsjö
Tre Vänner,restaurant,Restaurang & Snabbmat,Svandammsvägen,,59.3014183,18.0120339,Midsommarkransen,Hägersten-Älvsjö
Tegelbruket,cafe,Kafé,Svandammsvägen,,59.3020479,18.0153506,Midsommarkransen,Hägersten-Älvsjö
Restaurant Kransen,restaurant,Restaurang & Snabbmat,Nybodagatan,,59.3022631,18.0148264,Midsommarkransen,Hägersten-Älvsjö
Pita i parken,restaurant,Restaurang & Snabbmat,Svandammsvägen,,59.301094,18.0069063,Midsommarkransen,Hägersten-Älvsjö
Tellus,cinema,Biograf,Vattenledningsvägen,,59.3019888,18.0075991,Midsommarkransen,Hägersten-Älvsjö
OKQ8 Hägersten,fuel,Bensinmack,Elsa Brändströms Gata,,59.2876582,17.9800825,Fruängen,Hägersten-Älvsjö
ICA Nära Telefonplan,supermarket,Matbutik,Telefonvägen,20,59.2988217,17.9969403,Midsommarkransen,Hägersten-Älvsjö
Pizzeria Italia,fast_food,Restaurang & Snabbmat,Cedergrensvägen,,59.3001157,17.9957628,Midsommarkransen,Hägersten-Älvsjö
Best on the best,restaurant,Restaurang & Snabbmat,LM Ericssons Väg,,59.29991,17.9959046,Midsommarkransen,Hägersten-Älvsjö
Landet,restaurant,Restaurang & Snabbmat,Valborgsmässovägen,,59.2991679,17.9962667,Midsommarkransen,Hägersten-Älvsjö
Lurparken,playground,Lekplats,Huvudfabriksgatan,,59.3009202,17.9933312,Midsommarkransen,Hägersten-Älvsjö
Telegrillen,fast_food,Restaurang & Snabbmat,Mikrofonvägen,,59.2979103,17.9971428,Midsommarkransen,Hägersten-Älvsjö
JJ's,fast_food,Restaurang & Snabbmat,Främlingsvägen,,59.3039515,18.0036438,Midsommarkransen,Hägersten-Älvsjö
Coop Älvsjö,supermarket,Matbutik,Älvsjö Torg,4,59.2790528,18.0099095,Älvsjö,Hägersten-Älvsjö
Gröndals grill & pizza,fast_food,Restaurang & Snabbmat,Gröndalsvägen,,59.3158038,18.0095939,Gröndal,Hägersten-Älvsjö
Gröndals bibliotek,library,Bibliotek,Gröndalsvägen,,59.3161337,18.0121677,Gröndal,Hägersten-Älvsjö
Gandhi,restaurant,Restaurang & Snabbmat,Sjöbjörnsvägen,,59.316601,18.0083698,Gröndal,Hägersten-Älvsjö
Hägern,restaurant,Restaurang & Snabbmat,Inteckningsvägen,84,59.2944861,17.9809865,Hägerstensåsen,Hägersten-Älvsjö
Ica,supermarket,Matbutik,Sparbanksvägen,,59.2971133,17.982747,Hägerstensåsen,Hägersten-Älvsjö
Indian Lotus,restaurant,Restaurang & Snabbmat,Riksdalervägen,,59.2974935,17.9843719,Hägerstensåsen,Hägersten-Älvsjö
Da Dante,restaurant,Restaurang & Snabbmat,Brådstupsvägen,,59.3040862,17.9591433,Hägersten,Hägersten-Älvsjö
Villa Fridhem,restaurant,Restaurang & Snabbmat,Mälarhöjdsvägen,2,59.3016308,17.956049,Mälarhöjden,Hägersten-Älvsjö
Coop Örnsberg,supermarket,Matbutik,Junkergatan,27,59.3057786,17.9895142,Aspudden,Hägersten-Älvsjö
Wintervikens cafe,cafe,Kafé,Vinterviksvägen,60,59.3116377,17.9921168,Aspudden,Hägersten-Älvsjö
Pizzeria Sorrento,fast_food,Restaurang & Snabbmat,Störtloppsvägen,26,59.2933579,17.9675477,Västertorp,Hägersten-Älvsjö
Nickys Thai,restaurant,Restaurang & Snabbmat,Styrbjörnsvägen,,59.3094687,18.0026802,Aspudden,Hägersten-Älvsjö
Coop Aspudden,supermarket,Matbutik,Fågeltorget,,59.3053907,17.9932874,Aspudden,Hägersten-Älvsjö
Tellus Restaurang,restaurant,Restaurang & Snabbmat,Dialoggatan,11,59.2991966,17.9924373,Midsommarkransen,Hägersten-Älvsjö
"ICA Hallen, Axelsberg",supermarket,Matbutik,Selmedalsvägen,38,59.3048107,17.9755631,Hägersten,Hägersten-Älvsjö
Mix Thai,fast_food,Restaurang & Snabbmat,Doktor Widerströms Gata,1,59.2840405,17.9578914,Fruängen,Hägersten-Älvsjö
Hemköp Stockholm Fruängen C,supermarket,Matbutik,Fruängsgången,10,59.2856612,17.9646492,Fruängen,Hägersten-Älvsjö
Bankomat,restaurant,Restaurang & Snabbmat,Sjövikskajen,,59.3076959,18.0305063,Liljeholmen,Hägersten-Älvsjö
Nästan hemma,cafe,Kafé,Slättgårdsvägen,1,59.3009248,17.957392,Hägersten,Hägersten-Älvsjö
Lekplats,playground,Lekplats,Klubbensborgsvägen,,59.3048245,17.9590871,Hägersten,Hägersten-Älvsjö
Långpannan,restaurant,Restaurang & Snabbmat,Elsa Borgs Gata,,59.2829973,17.9647493,Fruängen,Hägersten-Älvsjö
Coop Fruängen,supermarket,Matbutik,Fruängsgången,3,59.2854719,17.9653558,Fruängen,Hägersten-Älvsjö
Lucky,fast_food,Restaurang & Snabbmat,Örnsbergsvägen,,59.3054372,17.98887,Aspudden,Hägersten-Älvsjö
Woktory,restaurant,Restaurang & Snabbmat,Ellen Keys Gata,75,59.2846844,17.9662449,Fruängen,Hägersten-Älvsjö
Fruängens Läkarhus,doctor,Vårdcentral,Fruängsgången,2,59.2855867,17.9667241,Fruängen,Hägersten-Älvsjö
Bella Donna,fast_food,Restaurang & Snabbmat,Fruängsgatan,,59.2853202,17.9631433,Fruängen,Hägersten-Älvsjö
Grillhörnan,fast_food,Restaurang & Snabbmat,Fruängsplan,,59.2857793,17.9652246,Fruängen,Hägersten-Älvsjö
Fruängens bibliotek,library,Bibliotek,Fruängsgången,,59.2856698,17.9654212,Fruängen,Hägersten-Älvsjö
Bigges,fast_food,Restaurang & Snabbmat,Fruängsgatan,,59.2852617,17.9646355,Fruängen,Hägersten-Älvsjö
Cafékoppen,cafe,Kafé,Fruängstorget,4,59.2858337,17.9634488,Fruängen,Hägersten-Älvsjö
66 Kvadrat Sushi,restaurant,Restaurang & Snabbmat,Fruängsgatan,,59.2847551,17.9618674,Fruängen,Hägersten-Älvsjö
Pizzeria Tropicana,fast_food,Restaurang & Snabbmat,Vasaloppsvägen,,59.2937875,17.9655034,Västertorp,Hägersten-Älvsjö
Apotek Hjärtat,pharmacy,Apotek,Störtloppsvägen,,59.2940587,17.9669036,Västertorp,Hägersten-Älvsjö
Kronans Apotek,pharmacy,Apotek,Annebodavägen,4-6,59.2847122,18.0301247,Älvsjö,Hägersten-Älvsjö
Kronans Apotek,pharmacy,Apotek,Telefonplan,,59.2986734,17.9970116,Midsommarkransen,Hägersten-Älvsjö
Pepe Nero,restaurant,Restaurang & Snabbmat,Tivolivägen,2,59.2951017,18.0048473,Västberga,Hägersten-Älvsjö
Circle K Truckdiesel,fuel,Bensinmack,Vretensborgsvägen,,59.2994785,18.0199642,Västberga,Hägersten-Älvsjö
Pizzeria Spader Dam,restaurant,Restaurang & Snabbmat,Jenny Linds Gata,,59.2882766,17.9686475,Fruängen,Hägersten-Älvsjö
Restaurang & Snabbmat,fast_food,Restaurang & Snabbmat,Störtloppsvägen,,59.2921669,17.9681563,Västertorp,Hägersten-Älvsjö
Korfu Orfa,restaurant,Restaurang & Snabbmat,Sparbanksvägen,,59.2976427,17.9826086,Hägerstensåsen,Hägersten-Älvsjö
Wong Kee,restaurant,Restaurang & Snabbmat,Grönbrinksgatan,,59.3069965,18.0290177,Liljeholmen,Hägersten-Älvsjö
Gröna Dalen,restaurant,Restaurang & Snabbmat,Gröndalsvägen,,59.3160058,18.0111341,Gröndal,Hägersten-Älvsjö
Thai Rung,restaurant,Restaurang & Snabbmat,Liljeholmstorget,,59.3104328,18.0223051,Liljeholmen,Hägersten-Älvsjö
Di Metro,fast_food,Restaurang & Snabbmat,Liljeholmstorget,,59.3101026,18.0220192,Liljeholmen,Hägersten-Älvsjö
McDonald's,fast_food,Restaurang & Snabbmat,Liljeholmstorget,,59.3104032,18.0229847,Liljeholmen,Hägersten-Älvsjö
Coop Liljeholmen,supermarket,Matbutik,Liljeholmstorget,,59.3106203,18.0235883,Liljeholmen,Hägersten-Älvsjö
Äldreboendet Trekanten,restaurant,Restaurang & Snabbmat,Trekantsstranden,,59.3134648,18.0181386,Liljeholmen,Hägersten-Älvsjö
Liljeholmens Grill,fast_food,Restaurang & Snabbmat,Liljeholmstorget,,59.3100673,18.0218658,Liljeholmen,Hägersten-Älvsjö
KFC,fast_food,Restaurang & Snabbmat,Liljeholmstorget,,59.3097444,18.0221382,Liljeholmen,Hägersten-Älvsjö
Bravo,cafe,Kafé,Liljeholmstorget,,59.3101203,18.0232131,Liljeholmen,Hägersten-Älvsjö
Lidl,supermarket,Matbutik,Liljeholmstorget,,59.3100484,18.0233359,Liljeholmen,Hägersten-Älvsjö
Bara Vedugnspizza,restaurant,Restaurang & Snabbmat,Örby Slottsväg,48,59.2797601,18.0342466,Örby slott,Hägersten-Älvsjö
Bella Notte,restaurant,Restaurang & Snabbmat,Tegelbruksvägen,,59.3023424,18.0141062,Midsommarkransen,Hägersten-Älvsjö
Sats,fitness_centre,Gym/Utomhusgym,Buteljgatan,,59.3091841,18.0284825,Liljeholmen,Hägersten-Älvsjö
Koi Sushi,fast_food,Restaurang & Snabbmat,Hägerstensvägen,,59.3053498,17.9975035,Aspudden,Hägersten-Älvsjö
Mama Ye's,restaurant,Restaurang & Snabbmat,Sjövikstorget,,59.3075449,18.0301795,Liljeholmen,Hägersten-Älvsjö
ICA Kvantum Liljeholmen,supermarket,Matbutik,Liljeholmstorget,,59.3094423,18.0222688,Liljeholmen,Hägersten-Älvsjö
Willys,supermarket,Matbutik,Nybohovsbacken,,59.3093766,18.0211932,Liljeholmen,Hägersten-Älvsjö
Brisket & friends,fast_food,Restaurang & Snabbmat,Upplagsvägen,,59.2994274,18.0216412,Västberga,Hägersten-Älvsjö
Morningstar Cafe,restaurant,Restaurang & Snabbmat,Drivhjulsvägen,,59.2967508,18.019543,Västberga,Hägersten-Älvsjö
Coop Midsommarkransen,supermarket,Matbutik,Svandammsvägen,20,59.301647,18.0124794,Midsommarkransen,Hägersten-Älvsjö
Svenska Sushiköket,restaurant,Restaurang & Snabbmat,Tellusborgsvägen,76,59.3003552,18.0040262,Midsommarkransen,Hägersten-Älvsjö
Pizzeria Fellini,fast_food,Restaurang & Snabbmat,Midsommarvägen,,59.300644,18.0121602,Midsommarkransen,Hägersten-Älvsjö
Kransens Wok,fast_food,Restaurang & Snabbmat,Tegelbruksvägen,,59.3031402,18.0127352,Midsommarkransen,Hägersten-Älvsjö
Tellus Pizza,fast_food,Restaurang & Snabbmat,Vattenledningsvägen,,59.3020127,18.0082047,Midsommarkransen,Hägersten-Älvsjö
Nygammalt,restaurant,Restaurang & Snabbmat,Vattenledningsvägen,,59.2998782,18.0046563,Midsommarkransen,Hägersten-Älvsjö
Pino,fast_food,Restaurang & Snabbmat,Nioörtsvägen,,59.301504,18.0160105,Midsommarkransen,Hägersten-Älvsjö
The Swan,restaurant,Restaurang & Snabbmat,Erikslundsgatan,,59.3006861,18.014473,Midsommarkransen,Hägersten-Älvsjö
Restaurang Udden,restaurant,Restaurang & Snabbmat,Schlytersvägen,,59.3064868,18.006486,Aspudden,Hägersten-Älvsjö
Älvsjö bibliotek,library,Bibliotek,Älvsjö Stationsgata,,59.2781677,18.0078331,Älvsjö,Hägersten-Älvsjö
Lekplats,playground,Lekplats,Sedelvägen,,59.296161,17.9808213,Hägerstensåsen,Hägersten-Älvsjö
Chicha 08,restaurant,Restaurang & Snabbmat,Ingenjörsvägen,,59.3064952,18.0256387,Liljeholmen,Hägersten-Älvsjö
Pepe Nero,restaurant,Restaurang & Snabbmat,Sjöviksvägen,,59.3060136,18.032393,Liljeholmen,Hägersten-Älvsjö
Telefonplans bibliotek,library,Bibliotek,Telefonplan,,59.2989246,17.9966603,Midsommarkransen,Hägersten-Älvsjö
OKQ8,fuel,Bensinmack,Elisabeth Tamms Gata,1,59.2849919,17.954975,Fruängen,Hägersten-Älvsjö
Roots & Soil,restaurant,Restaurang & Snabbmat,Årstaängsvägen,,59.3097676,18.028177,Liljeholmen,Hägersten-Älvsjö
