Brottstyp,Stadsdelsområde,2021,2022,2023,2024,2025
Bilstöld,Bromma,245.0,250.0,171.0,157.0,102.0
Bostadsinbrott,Bromma,876.0,774.0,664.0,639.0,646.0
Cykelstöld,Bromma,926.0,652.0,652.0,742.0,673.0
Hot & ofredande,Bromma,737.0,554.0,768.0,876.0,941.0
Intrång & integritet,Bromma,131.0,114.0,94.0,120.0,117.0
Misshandel,Bromma,581.0,558.0,615.0,617.0,603.0
Mordförsök,Bromma,7.0,2.0,12.0,7.0,16.0
Narkotikabrott,Bromma,599.0,690.0,622.0,662.0,735.0
Rån,Bromma,69.0,66.0,56.0,37.0,23.0
Sexualbrott,Bromma,209.0,211.0,230.0,244.0,253.0
Skadegörelse,Bromma,4218.0,3709.0,4339.0,3735.0,1958.0
Totalt antal brott,Bromma,14535.0,15024.0,16435.0,16756.0,13221.0
Tvång & frihetsbrott,Bromma,47.0,33.0,58.0,34.0,27.0
Bilstöld,Enskede - Årsta - Vantör,191.0,174.0,130.0,129.0,87.0
Bostadsinbrott,Enskede - Årsta - Vantör,823.0,709.0,569.0,589.0,548.0
Cykelstöld,Enskede - Årsta - Vantör,793.0,636.0,483.0,507.0,464.0
Hot & ofredande,Enskede - Årsta - Vantör,1071.0,964.0,984.0,1162.0,1164.0
Intrång & integritet,Enskede - Årsta - Vantör,150.0,115.0,115.0,143.0,125.0
Misshandel,Enskede - Årsta - Vantör,1072.0,1042.0,967.0,1020.0,1033.0
Mordförsök,Enskede - Årsta - Vantör,13.0,15.0,22.0,12.0,14.0
Narkotikabrott,Enskede - Årsta - Vantör,1211.0,1308.0,1474.0,1341.0,1326.0
Rån,Enskede - Årsta - Vantör,137.0,103.0,97.0,69.0,42.0
Sexualbrott,Enskede - Årsta - Vantör,261.0,229.0,216.0,271.0,218.0
Skadegörelse,Enskede - Årsta - Vantör,9261.0,5756.0,6592.0,4387.0,3842.0
Totalt antal brott,Enskede - Årsta - Vantör,22897.0,20004.0,22782.0,20725.0,19418.0
Tvång & frihetsbrott,Enskede - Årsta - Vantör,75.0,56.0,46.0,63.0,53.0
Bilstöld,Farsta,202.0,196.0,163.0,144.0,108.0
Bostadsinbrott,Farsta,946.0,797.0,626.0,700.0,668.0
Cykelstöld,Farsta,774.0,584.0,506.0,564.0,554.0
Hot & ofredande,Farsta,1085.0,988.0,1077.0,1188.0,1212.0
Intrång & integritet,Farsta,160.0,144.0,160.0,157.0,178.0
Misshandel,Farsta,995.0,955.0,914.0,888.0,1008.0
Mordförsök,Farsta,23.0,26.0,58.0,42.0,14.0
Narkotikabrott,Farsta,985.0,1092.0,1247.0,1450.0,1097.0
Rån,Farsta,104.0,88.0,78.0,73.0,61.0
Sexualbrott,Farsta,207.0,220.0,222.0,215.0,205.0
Skadegörelse,Farsta,8810.0,6011.0,5538.0,3930.0,3928.0
Totalt antal brott,Farsta,21826.0,19407.0,20018.0,19591.0,19032.0
Tvång & frihetsbrott,Farsta,66.0,46.0,88.0,44.0,41.0
Bilstöld,Hägersten - Älvsjö,206.0,179.0,133.0,133.0,84.0
Bostadsinbrott,Hägersten - Älvsjö,980.0,930.0,677.0,665.0,638.0
Cykelstöld,Hägersten - Älvsjö,996.0,828.0,617.0,685.0,644.0
Hot & ofredande,Hägersten - Älvsjö,773.0,657.0,743.0,927.0,952.0
Intrång & integritet,Hägersten - Älvsjö,119.0,125.0,94.0,112.0,155.0
Misshandel,Hägersten - Älvsjö,755.0,630.0,635.0,767.0,773.0
Mordförsök,Hägersten - Älvsjö,10.0,10.0,7.0,3.0,16.0
Narkotikabrott,Hägersten - Älvsjö,748.0,691.0,635.0,827.0,869.0
Rån,Hägersten - Älvsjö,118.0,83.0,79.0,57.0,43.0
Sexualbrott,Hägersten - Älvsjö,216.0,172.0,253.0,262.0,279.0
Skadegörelse,Hägersten - Älvsjö,7963.0,6253.0,5287.0,2801.0,2721.0
Totalt antal brott,Hägersten - Älvsjö,19828.0,17446.0,17099.0,15583.0,15377.0
Tvång & frihetsbrott,Hägersten - Älvsjö,47.0,36.0,43.0,48.0,35.0
Bilstöld,Hässelby - Vällingby,169.0,230.0,144.0,123.0,114.0
Bostadsinbrott,Hässelby - Vällingby,776.0,839.0,710.0,619.0,614.0
Cykelstöld,Hässelby - Vällingby,620.0,527.0,471.0,488.0,389.0
Hot & ofredande,Hässelby - Vällingby,1144.0,1049.0,1090.0,1248.0,1230.0
Intrång & integritet,Hässelby - Vällingby,113.0,109.0,108.0,98.0,140.0
Misshandel,Hässelby - Vällingby,1098.0,990.0,959.0,1023.0,1041.0
Mordförsök,Hässelby - Vällingby,13.0,13.0,10.0,7.0,12.0
Narkotikabrott,Hässelby - Vällingby,917.0,1246.0,1048.0,1029.0,1119.0
Rån,Hässelby - Vällingby,104.0,91.0,73.0,63.0,46.0
Sexualbrott,Hässelby - Vällingby,172.0,192.0,177.0,201.0,193.0
Skadegörelse,Hässelby - Vällingby,7018.0,4299.0,4624.0,5400.0,4118.0
Totalt antal brott,Hässelby - Vällingby,19028.0,17281.0,18941.0,20901.0,18619.0
Tvång & frihetsbrott,Hässelby - Vällingby,81.0,69.0,64.0,44.0,82.0
Bilstöld,Järva,0.0,0.0,0.0,104.0,75.0
Bostadsinbrott,Järva,0.0,0.0,0.0,442.0,386.0
Cykelstöld,Järva,0.0,0.0,0.0,259.0,253.0
Hot & ofredande,Järva,0.0,0.0,0.0,1347.0,1361.0
Intrång & integritet,Järva,0.0,0.0,0.0,137.0,110.0
Misshandel,Järva,0.0,0.0,0.0,1277.0,1279.0
Mordförsök,Järva,0.0,0.0,0.0,41.0,19.0
Narkotikabrott,Järva,0.0,0.0,0.0,1825.0,2188.0
Rån,Järva,0.0,0.0,0.0,76.0,67.0
Sexualbrott,Järva,0.0,0.0,0.0,194.0,223.0
Skadegörelse,Järva,0.0,0.0,0.0,2514.0,1435.0
Totalt antal brott,Järva,0.0,0.0,0.0,17214.0,16482.0
Tvång & frihetsbrott,Järva,0.0,0.0,0.0,109.0,96.0
Bilstöld,Kungsholmen,165.0,117.0,93.0,75.0,48.0
Bostadsinbrott,Kungsholmen,834.0,732.0,699.0,490.0,357.0
Cykelstöld,Kungsholmen,1085.0,890.0,727.0,694.0,684.0
Hot & ofredande,Kungsholmen,701.0,646.0,793.0,1017.0,894.0
Intrång & integritet,Kungsholmen,135.0,108.0,126.0,114.0,122.0
Misshandel,Kungsholmen,684.0,661.0,755.0,825.0,809.0
Mordförsök,Kungsholmen,6.0,14.0,11.0,7.0,4.0
Narkotikabrott,Kungsholmen,1457.0,1634.0,1817.0,1948.0,2068.0
Rån,Kungsholmen,59.0,62.0,48.0,41.0,35.0
Sexualbrott,Kungsholmen,219.0,202.0,241.0,256.0,211.0
Skadegörelse,Kungsholmen,4374.0,2799.0,2665.0,1860.0,1495.0
Totalt antal brott,Kungsholmen,17266.0,15442.0,16995.0,16856.0,16512.0
Tvång & frihetsbrott,Kungsholmen,40.0,14.0,23.0,37.0,29.0
Bilstöld,Norra innerstaden,0.0,0.0,0.0,128.0,96.0
Bostadsinbrott,Norra innerstaden,0.0,0.0,0.0,771.0,688.0
Cykelstöld,Norra innerstaden,0.0,0.0,0.0,1047.0,1010.0
Hot & ofredande,Norra innerstaden,0.0,0.0,0.0,1153.0,1261.0
Intrång & integritet,Norra innerstaden,0.0,0.0,0.0,149.0,165.0
