Brottstyp,Stadsdelsområde,Förändring
Bilstöld,Bromma,-35.0
Bostadsinbrott,Bromma,1.1
Cykelstöld,Bromma,-9.3
Hot & ofredande,Bromma,7.4
Intrång & integritet,Bromma,-2.5
Misshandel,Bromma,-2.3
Mordförsök,Bromma,128.6
Narkotikabrott,Bromma,11.0
Rån,Bromma,-37.8
Sexualbrott,Bromma,3.7
Skadegörelse,Bromma,-47.6
Totalt antal brott,Bromma,-21.1
Tvång & frihetsbrott,Bromma,-20.6
Bilstöld,Enskede - Årsta - Vantör,-32.6
Bostadsinbrott,Enskede - Årsta - Vantör,-7.0
Cykelstöld,Enskede - Årsta - Vantör,-8.5
Hot & ofredande,Enskede - Årsta - Vantör,0.2
Intrång & integritet,Enskede - Årsta - Vantör,-12.6
Misshandel,Enskede - Årsta - Vantör,1.3
Mordförsök,Enskede - Årsta - Vantör,16.7
Narkotikabrott,Enskede - Årsta - Vantör,-1.1
Rån,Enskede - Årsta - Vantör,-39.1
Sexualbrott,Enskede - Årsta - Vantör,-19.6
Skadegörelse,Enskede - Årsta - Vantör,-12.4
Totalt antal brott,Enskede - Årsta - Vantör,-6.3
Tvång & frihetsbrott,Enskede - Årsta - Vantör,-15.9
Bilstöld,Farsta,-25.0
Bostadsinbrott,Farsta,-4.6
Cykelstöld,Farsta,-1.8
Hot & ofredande,Farsta,2.0
Intrång & integritet,Farsta,13.4
Misshandel,Farsta,13.5
Mordförsök,Farsta,-66.7
Narkotikabrott,Farsta,-24.3
Rån,Farsta,-16.4
Sexualbrott,Farsta,-4.7
Skadegörelse,Farsta,-0.1
Totalt antal brott,Farsta,-2.9
Tvång & frihetsbrott,Farsta,-6.8
Bilstöld,Hägersten - Älvsjö,-36.8
Bostadsinbrott,Hägersten - Älvsjö,-4.1
Cykelstöld,Hägersten - Älvsjö,-6.0
Hot & ofredande,Hägersten - Älvsjö,2.7
Intrång & integritet,Hägersten - Älvsjö,38.4
Misshandel,Hägersten - Älvsjö,0.8
Mordförsök,Hägersten - Älvsjö,433.3
Narkotikabrott,Hägersten - Älvsjö,5.1
Rån,Hägersten - Älvsjö,-24.6
Sexualbrott,Hägersten - Älvsjö,6.5
Skadegörelse,Hägersten - Älvsjö,-2.9
Totalt antal brott,Hägersten - Älvsjö,-1.3
Tvång & frihetsbrott,Hägersten - Älvsjö,-27.1
Bilstöld,Hässelby - Vällingby,-7.3
Bostadsinbrott,Hässelby - Vällingby,-0.8
Cykelstöld,Hässelby - Vällingby,-20.3
Hot & ofredande,Hässelby - Vällingby,-1.4
Intrång & integritet,Hässelby - Vällingby,42.9
Misshandel,Hässelby - Vällingby,1.8
Mordförsök,Hässelby - Vällingby,71.4
Narkotikabrott,Hässelby - Vällingby,8.7
Rån,Hässelby - Vällingby,-27.0
Sexualbrott,Hässelby - Vällingby,-4.0
Skadegörelse,Hässelby - Vällingby,-23.7
Totalt antal brott,Hässelby - Vällingby,-10.9
Tvång & frihetsbrott,Hässelby - Vällingby,86.4
Bilstöld,Järva,-27.9
Bostadsinbrott,Järva,-12.7
Cykelstöld,Järva,-2.3
Hot & ofredande,Järva,1.0
Intrång & integritet,Järva,-19.7
Misshandel,Järva,0.2
Mordförsök,Järva,-53.7
Narkotikabrott,Järva,19.9
Rån,Järva,-11.8
Sexualbrott,Järva,14.9
Skadegörelse,Järva,-42.9
Totalt antal brott,Järva,-4.3
Tvång & frihetsbrott,Järva,-11.9
Bilstöld,Kungsholmen,-36.0
Bostadsinbrott,Kungsholmen,-27.1
Cykelstöld,Kungsholmen,-1.4
Hot & ofredande,Kungsholmen,-12.1
Intrång & integritet,Kungsholmen,7.0
Misshandel,Kungsholmen,-1.9
Mordförsök,Kungsholmen,-42.9
Narkotikabrott,Kungsholmen,6.2
Rån,Kungsholmen,-14.6
Sexualbrott,Kungsholmen,-17.6
Skadegörelse,Kungsholmen,-19.6
Totalt antal brott,Kungsholmen,-2.0
Tvång & frihetsbrott,Kungsholmen,-21.6
Bilstöld,Norra innerstaden,-25.0
