Namn,Typ,Kategori,Gata,Nr,Lat,Lon
"Preem - Stockholm,Islandstorget",fuel,Bensinmack,N/A,,59.3463943,17.8938708
Nockeby Pizzeria,restaurant,Restaurang & Snabbmat,N/A,,59.3294442,17.928936
al Caminetto,restaurant,Restaurang & Snabbmat,N/A,,59.3328927,17.9774152
ICA Nära Abrahamsberg,supermarket,Matbutik,Abrahamsbergsvägen,8,59.3361456,17.9518695
Sorbon,restaurant,Restaurang & Snabbmat,N/A,,59.3399236,17.9405182
ICA Supermarket Alviks Torg,supermarket,Matbutik,N/A,,59.3327076,17.9829618
ICA Supermarket,supermarket,Matbutik,N/A,,59.3380314,17.9383011
ICA HM:s Livs,supermarket,Matbutik,N/A,,59.3232066,17.9567889
Coop Engströms Livs,supermarket,Matbutik,Nockeby Torg,,59.3288554,17.9286351
Apotek Hjärtat,pharmacy,Apotek,Nockeby Torg,2-4,59.3290947,17.9287271
Nockeby bageri,cafe,Kafé,N/A,,59.3289102,17.9279354
ICA Nära Smelivs,supermarket,Matbutik,N/A,,59.3209746,17.9724739
Park Konditori,cafe,Kafé,Västerled,4,59.3290661,17.9733633
McDonald's,fast_food,Restaurang & Snabbmat,N/A,,59.3386853,17.938783
Caffè Nero,cafe,Kafé,N/A,,59.332752,17.9816507
Vedugnen i Alvik,restaurant,Restaurang & Snabbmat,N/A,,59.3321012,17.9744164
Ålstens Pizzeria,fast_food,Restaurang & Snabbmat,N/A,,59.3226193,17.9564095
Gateau,cafe,Kafé,Ålstensgatan,26,59.3223291,17.9556424
Apoteket,pharmacy,Apotek,N/A,,59.3350061,17.9780238
Kullens,restaurant,Restaurang & Snabbmat,N/A,,59.335329,17.9795122
Stammisstället,restaurant,Restaurang & Snabbmat,Ängby torg,4,59.3473014,17.9079113
Björklunds hage,playground,Lekplats,N/A,,59.3484479,17.9014054
East Ocean,restaurant,Restaurang & Snabbmat,N/A,,59.3391073,17.9388025
Resturang Bryggan,restaurant,Restaurang & Snabbmat,N/A,,59.317994,17.9447759
La Rustica,cafe,Kafé,N/A,,59.3513794,17.9000021
Torghörnan,cafe,Kafé,Ängby torg,3,59.3468849,17.9085116
Kronans Apotek,pharmacy,Apotek,Ulvsundavägen,185-187,59.3565847,17.9519799
Shiva,restaurant,Restaurang & Snabbmat,Dalgången,13,59.3311297,17.9112186
Brommaplans Bibliotek,library,Bibliotek,N/A,,59.3387884,17.9401533
Sushi Bar Kirin,restaurant,Restaurang & Snabbmat,N/A,,59.3392166,17.9378171
Bromma Thai,restaurant,Restaurang & Snabbmat,Rånövägen,5,59.3333107,17.9244454
Sofie's,fast_food,Restaurang & Snabbmat,N/A,,59.3379176,17.953079
Brommaplans Grillen,fast_food,Restaurang & Snabbmat,N/A,,59.3423027,17.9501741
Gateau,cafe,Kafé,Färjestadsvägen,6,59.3418988,17.905965
Ängby Sushi & Thai,restaurant,Restaurang & Snabbmat,N/A,,59.341486,17.9055784
Oh! Delhi,restaurant,Restaurang & Snabbmat,Kvarnbacksvägen,133,59.3401238,17.9409471
Bromma Pizzeria,restaurant,Restaurang & Snabbmat,N/A,,59.3387354,17.9407566
Appetito,restaurant,Restaurang & Snabbmat,Västerled,183,59.3288385,17.938666
Brasserie Maison,restaurant,Restaurang & Snabbmat,N/A,,59.3308229,17.9466098
Coop Brommaplan,supermarket,Matbutik,Klädesvägen,12,59.3385721,17.9394968
Apoteket,pharmacy,Apotek,N/A,,59.3388684,17.9396897
Pizzeria La Bella,restaurant,Restaurang & Snabbmat,N/A,,59.3339835,17.9477962
