lagrum;2024;2025;område
3 kap. Brott mot liv och hälsa;810;825;Hägersten-Älvsjö
4 kap. Brott mot frihet och frid;1482;1507;Hägersten-Älvsjö
5 kap. Ärekränkningsbrott;77;79;Hägersten-Älvsjö
6 kap. Sexualbrott;262;279;Hägersten-Älvsjö
7 kap. Brott mot familj;14;9;Hägersten-Älvsjö
8 kap. Stöld, rån m.m;3297;2981;Hägersten-Älvsjö
9 kap. Bedrägeri och annan oredlighet;1441;1899;Hägersten-Älvsjö
10 kap. Förskingring och annan trolöshet;92;92;Hägersten-Älvsjö
11 kap. Brott mot borgenärer m.m;2;1;Hägersten-Älvsjö
12 kap. Skadegörelsebrott;5843;5593;Hägersten-Älvsjö
3 kap. Brott mot liv och hälsa;658;667;Bromma
4 kap. Brott mot frihet och frid;1396;1372;Bromma
5 kap. Ärekränkningsbrott;76;78;Bromma
6 kap. Sexualbrott;244;253;Bromma
7 kap. Brott mot familj;5;8;Bromma
8 kap. Stöld, rån m.m;3507;3072;Bromma
9 kap. Bedrägeri och annan oredlighet;1622;1647;Bromma
10 kap. Förskingring och annan trolöshet;93;125;Bromma
11 kap. Brott mot borgenärer m.m;0;0;Bromma
12 kap. Skadegörelsebrott;6878;3957;Bromma
