,Brottstyp,2021,2022,2023,2024,2025,radnr,område
0,Misshandel,581.0,558.0,615.0,617.0,603.0,8,Bromma
1,Hot & olaga intrång,1000.0,931.0,1218.0,1396.0,1372.0,10,Bromma
2,Sexualbrott,209.0,211.0,230.0,244.0,253.0,14,Bromma
3,Bilstöld,101.0,110.0,92.0,58.0,51.0,19,Bromma
4,Cykelstöld,897.0,575.0,606.0,675.0,600.0,22,Bromma
5,Stöld från fordon,745.0,665.0,491.0,318.0,343.0,25,Bromma
6,Bostadsinbrott,233.0,154.0,117.0,205.0,199.0,28,Bromma
7,Rån,69.0,66.0,56.0,37.0,23.0,37,Bromma
8,Skadegörelse,5418.0,6185.0,7557.0,6878.0,3957.0,45,Bromma
9,Narkotikabrott,599.0,690.0,622.0,662.0,735.0,59,Bromma
10,Misshandel,755.0,630.0,635.0,767.0,773.0,70,Hägersten-Älvsjö
11,Hot & olaga intrång,1070.0,1000.0,1147.0,1482.0,1507.0,72,Hägersten-Älvsjö
12,Sexualbrott,216.0,172.0,253.0,262.0,279.0,76,Hägersten-Älvsjö
13,Bilstöld,106.0,71.0,83.0,78.0,50.0,81,Hägersten-Älvsjö
14,Cykelstöld,959.0,773.0,568.0,622.0,570.0,84,Hägersten-Älvsjö
15,Stöld från fordon,795.0,587.0,450.0,372.0,273.0,87,Hägersten-Älvsjö
16,Bostadsinbrott,161.0,121.0,112.0,127.0,75.0,90,Hägersten-Älvsjö
17,Rån,118.0,83.0,79.0,57.0,43.0,99,Hägersten-Älvsjö
18,Skadegörelse,10415.0,8936.0,8458.0,5843.0,5593.0,107,Hägersten-Älvsjö
19,Narkotikabrott,748.0,691.0,635.0,827.0,869.0,121,Hägersten-Älvsjö
