Brottstyp,/100 000 inv,Stadsdelsområde
Misshandel,603,Bromma
Hot & olaga intrång,1372,Bromma
Sexualbrott,253,Bromma
Bilstöld,102,Bromma
Cykelstöld,600,Bromma
Stöld från fordon,444,Bromma
Rån,23,Bromma
Skadegörelse,3957,Bromma
Narkotikabrott,735,Bromma
Misshandel,1033,Enskede - Årsta - Vantör
Hot & olaga intrång,1680,Enskede - Årsta - Vantör
Sexualbrott,218,Enskede - Årsta - Vantör
Bilstöld,87,Enskede - Årsta - Vantör
Cykelstöld,412,Enskede - Årsta - Vantör
Stöld från fordon,371,Enskede - Årsta - Vantör
Rån,42,Enskede - Årsta - Vantör
Skadegörelse,8390,Enskede - Årsta - Vantör
Narkotikabrott,1326,Enskede - Årsta - Vantör
Misshandel,1008,Farsta
Hot & olaga intrång,1905,Farsta
Sexualbrott,205,Farsta
Bilstöld,108,Farsta
Cykelstöld,470,Farsta
Stöld från fordon,525,Farsta
Rån,61,Farsta
Skadegörelse,7213,Farsta
Narkotikabrott,1097,Farsta
Misshandel,773,Farsta
Hot & olaga intrång,1507,Farsta
Sexualbrott,279,Farsta
Bilstöld,84,Farsta
Cykelstöld,570,Farsta
Stöld från fordon,342,Farsta
Rån,43,Farsta
Skadegörelse,5593,Farsta
Narkotikabrott,869,Farsta
Misshandel,1041,Hässelby - Vällingby
Hot & olaga intrång,1920,Hässelby - Vällingby
Sexualbrott,193,Hässelby - Vällingby
Bilstöld,114,Hässelby - Vällingby
Cykelstöld,333,Hässelby - Vällingby
Stöld från fordon,257,Hässelby - Vällingby
Rån,46,Hässelby - Vällingby
Skadegörelse,8084,Hässelby - Vällingby
Narkotikabrott,1119,Hässelby - Vällingby
Misshandel,1279,Järva
Hot & olaga intrång,2335,Järva
Sexualbrott,223,Järva
Bilstöld,75,Järva
Cykelstöld,177,Järva
Stöld från fordon,252,Järva
Rån,67,Järva
Skadegörelse,3251,Järva
Narkotikabrott,2188,Järva
Misshandel,809,Kungsholmen
Hot & olaga intrång,1406,Kungsholmen
Sexualbrott,211,Kungsholmen
Bilstöld,48,Kungsholmen
Cykelstöld,616,Kungsholmen
Stöld från fordon,206,Kungsholmen
Rån,35,Kungsholmen
Skadegörelse,4174,Kungsholmen
Narkotikabrott,2068,Kungsholmen
Misshandel,1400,Norra innerstaden
Hot & olaga intrång,1851,Norra innerstaden
Sexualbrott,395,Norra innerstaden
Bilstöld,96,Norra innerstaden
Cykelstöld,889,Norra innerstaden
Stöld från fordon,475,Norra innerstaden
Rån,59,Norra innerstaden
Skadegörelse,7352,Norra innerstaden
Narkotikabrott,2779,Norra innerstaden
Misshandel,769,Skarpnäck
Hot & olaga intrång,1554,Skarpnäck
Sexualbrott,366,Skarpnäck
Bilstöld,43,Skarpnäck
Cykelstöld,442,Skarpnäck
Stöld från fordon,162,Skarpnäck
Rån,22,Skarpnäck
Skadegörelse,5995,Skarpnäck
Narkotikabrott,586,Skarpnäck
Misshandel,1514,Skärholmen
Hot & olaga intrång,2939,Skärholmen
Sexualbrott,341,Skärholmen
Bilstöld,68,Skärholmen
Cykelstöld,147,Skärholmen
Stöld från fordon,218,Skärholmen
Rån,47,Skärholmen
Skadegörelse,3298,Skärholmen
Narkotikabrott,1354,Skärholmen
Misshandel,1334,Södermalm
Hot & olaga intrång,1831,Södermalm
Sexualbrott,344,Södermalm
Bilstöld,81,Södermalm
Cykelstöld,995,Södermalm
Stöld från fordon,452,Södermalm
Rån,68,Södermalm
Skadegörelse,7929,Södermalm
Narkotikabrott,2159,Södermalm
