namn,kategori,gata,lat,lon,stadsdel
"Abrahamsbergsskolan, F–9",grundskolor,Gustav III:s väg 2–10,59.3346293,17.9505675,Abrahamsberg
"Adolfsbergsskolan, F–6",grundskolor,Gårdsfogdevägen 18B,59.3577739,17.9536076,Mariehäll
"Alviksskolan, F–9",grundskolor,Tranebergsvägen 79,59.3351703,17.9759899,Traneberg
"Apolloniosskolan, F–9",grundskolor,Stora Mans väg 11B,59.2824177,17.9731195,Älvsjö
"Aspuddens skola, F–9",grundskolor,Blommensbergsvägen 166,59.3093396,17.9980291,Aspudden
"Beckombergaskolan, F–6",grundskolor,Styresman Sanders väg 14,59.3596442,17.9041467,Eneby
"Blackebergsskolan, F–6",grundskolor,Björnsonsgatan 132,59.3478194,17.8800464,Blackeberg
"Bromma Enskilda skola, F–6",grundskolor,Mossvägen 7,59.3298378,17.9643291,Stora mossen
"Bromma kyrkskola, F–2",grundskolor,Terserusvägen 1,59.355318,17.9201351,Bromma kyrka
"Fruängens skola, F–9",grundskolor,Fruängsgatan 57–61,59.2849719,17.9661492,Fruängen
"Grundskolan Metapontum, F–9",grundskolor,Stora Mans väg 11C,59.2824177,17.9731195,Älvsjö
"Herrängens skola, F–6",grundskolor,Konvaljestigen 15,59.2751171,17.9730779,Älvsjö
"Hägerstenshamnens skola, F–6",grundskolor,Selmedalsringen 5,59.3064939,17.9812918,Hägersten
"Hägerstensåsens skola, F–6",grundskolor,Sedelvägen 30,59.2962582,17.9819113,Hägerstensåsen
"Höglandsskolan, F–9",grundskolor,Skaldevägen 4,59.326544,17.9385602,Bromma
"Innovitaskolan Joriel, F–9",grundskolor,Bergtallsvägen 12,59.2817936,17.9695367,Älvsjö
"Internationella engelska skolan Bromma, 4–9",grundskolor,Riksbyvägen 40–48,59.3422073,17.9437126,Bromma
"Internationella engelska skolan Liljeholmen, F–9",grundskolor,Herbariegränd 3,59.3043742,18.0170452,Liljeholmen
"Internationella engelska skolan Älvsjö, 4–9",grundskolor,Armborstvägen 1,59.2808421,18.0057558,Älvsjö
"Johan Skytteskolan, F–9",grundskolor,Västerängsvägen 21,59.277314,17.9829224,Älvsjö
"Kristofferskolan, F–9",grundskolor,Marklandsbacken 11,59.3359775,17.9387975,Åkeslund
"Kunskapsskolan Fruängen, 6–9",grundskolor,Ellen Keys gata 2,59.2882679,17.9654466,Fruängen
"Kunskapsskolans resursskola Hägersten, 7–9",grundskolor,Riksdalervägen 5,59.2973388,17.9842989,Hägerstensåsen
"Kämpetorpsskolan, F–9",grundskolor,Kedjevägen 57B,59.2869044,17.9923609,Solberga
"Lunaskolan Bromma, 4–9",grundskolor,Johannesfredsvägen 43,59.3469559,17.9731332,Ulvsunda industriområde
"Långbrodalsskolan, F–6",grundskolor,Sländvägen 3,59.2814279,17.9813112,Älvsjö
"Magelungens grundskola Långbropark, 1–6",grundskolor,Solberga hagväg 4,59.2803534,18.0090102,Älvsjö
"Magelungens grundskola Älvsjö, 7–9",grundskolor,Solberga Hagväg 1,59.2798171,18.0093465,Älvsjö
"Mariehällsskolan, F–6",grundskolor,Tappvägen 23,59.3632135,17.9495845,Mariehäll
"Midsommarkransens skola, F–9",grundskolor,Bäckvägen 1,59.3023898,17.9948889,Midsommarkransen
Montessori Mondial Mälarhöjden,grundskolor,Traktörgränd 10,59.3014955,17.9472779,Mälarhöjden
"Mälarhöjdens skola, F–9",grundskolor,Lugntorpsvägen 2,59.2975268,17.9566888,Mälarhöjden
"Nockebyhovsskolan, F–3",grundskolor,Tyska Bottens väg 68,59.3335125,17.9065161,Nockebyhov
"Norra Ängby skola, F–6",grundskolor,Vultejusvägen 20,59.3489677,17.9092484,Norra Ängby
"Nya Elementar, F–9",grundskolor,Bergslagsvägen 80,59.3445421,17.9010568,Södra Ängby
"Olovslundsskolan, F–6",grundskolor,Olovslundsvägen 23,59.3311661,17.9384342,Olovslund
"Pilgrimsskolan, F–3",grundskolor,Pilgrimsvägen 1,59.3052052,18.0063419,Aspudden
"Raoul Wallenbergskolan, F–9",grundskolor,Beckombergavägen 316,59.356212,17.9027052,Eneby
"Sjöängsskolan, F–9",grundskolor,Gripsholmsvägen 29,59.2815743,18.0287637,Örby slott
"Smedslättsskolan, F–6",grundskolor,Drömstigen 32,59.323855,17.967136,Smedslätten
"Snitz grundskola, 7–9",grundskolor,Snickerigatan 4,59.2995333,17.9914611,Midsommarkransen
"Solbergaskolan, F–6",grundskolor,Lerkrogsvägen 28,59.2902259,18.0060931,Västberga
"Stefanskolan, F–9",grundskolor,Tegnebyvägen 30,59.3433235,17.9084713,Norra Ängby
"Stockholm International Academy Hägersten, F–9",grundskolor,Sulvägen 52,59.2842816,18.00775,Solberga
"Södra Ängby skola, F–9",grundskolor,Blackebergsvägen 100,59.3373376,17.8974141,Södra Ängby
"Tellusborgsskolan, 6–9",grundskolor,Tellusborgsvägen 36,59.3020595,18.0055479,Midsommarkransen
"Thea privata grundskola – Bromma, 6–9",grundskolor,Voltavägen 8,59.3456792,17.9696103,Ulvsunda industriområde
"Ulvsundaskolan, F–3",grundskolor,Johannesfredsvägen 45,59.3469559,17.9731332,Ulvsunda industriområde
"Vittra Telefonplan, F–9",grundskolor,Snickerigatan 3–4,59.2994897,17.9910968,Midsommarkransen
"Västbergaskolan, F–9",grundskolor,Klensmedsvägen 2,59.2958759,17.9950632,Västberga
"Västertorpsskolan, F–6",grundskolor,Störtloppsvägen 2–6,59.2927971,17.9678296,Västertorp
"Ålstensskolan, F–6",grundskolor,Nyängsvägen 72–80,59.3256376,17.955415,Ålsten
"Äppelviksskolan, 7–9",grundskolor,Alviksvägen 97,59.3239043,17.9746664,Äppelviken
"Örbyskolan, F–9",grundskolor,Gamla Huddingevägen 425,59.2748688,18.0265722,Älvsjö
"Östbergaskolan, F–6",grundskolor,Östbergabackarna 51–57,59.2885634,18.0383425,Östberga
"Aspuddens skola, anpassad grundskola 1–9",anpassade_grundskolor,Blommensbergsvägen 166,59.3093396,17.9980291,Aspudden
"Beckombergaskolan, anpassad grundskola F–6",anpassade_grundskolor,Styresman Sanders väg 14,59.3596442,17.9041467,Eneby
"Fruängens skola, anpassad grundskola 1–9",anpassade_grundskolor,Fruängsgatan 57–61,59.2849719,17.9661492,Fruängen
"Innovitaskolan Joriel grundskola och anpassad grundskola, F–9",anpassade_grundskolor,Bergtallsvägen 12,59.2817936,17.9695367,Älvsjö
"Lunaskolan Bromma, anpassad grundskola 4–9",anpassade_grundskolor,Johannesfredsvägen 43,59.3469559,17.9731332,Ulvsunda industriområde
"Midsommarkransens skola, anpassad grundskola 1–7",anpassade_grundskolor,Bäckvägen 1,59.3023898,17.9948889,Midsommarkransen
"Nya Elementar, anpassad grundskola 1–9",anpassade_grundskolor,Bergslagsvägen 80,59.3445421,17.9010568,Södra Ängby
"Olovslundsskolan, anpassad grundskola 1–6",anpassade_grundskolor,Olovslundsvägen 23,59.3311661,17.9384342,Olovslund
"Solbergaskolan, anpassad grundskola, Broskolan, 1–6",anpassade_grundskolor,Lerkrogsvägen 28,59.2902259,18.0060931,Västberga
"Solbergaskolan, anpassad grundskola, Mockasinen, 1–9",anpassade_grundskolor,Lerkrogsvägen 28,59.2902259,18.0060931,Västberga
"Västbergaskolan, anpassad grundskola, 1–9",anpassade_grundskolor,Klensmedsvägen 2,59.2958759,17.9950632,Västberga
"Västertorpsskolan, anpassad grundskola 1–6",anpassade_grundskolor,Störtloppsvägen 2,59.2911596,17.9698323,Västertorp
Öppna förskolan Fruängen,öppen_förskola,Hanna Rydhs gata 5,59.2859588,17.9738024,Fruängen
Öppna förskolan Hägerstensåsen,öppen_förskola,Inteckningsvägen 17 E,59.2924289,17.9834525,Hägerstensåsen
Öppna förskolan i Blackeberg,öppen_förskola,Grundtvigsgatan 29 (21) (mittemot Blackebergsparken),6581110.0,143549.0,
Öppna förskolan Pippi för barn med funktionsnedsättning,öppen_förskola,Hanna Rydhs gata 5,59.2859588,17.9738024,Fruängen
Öppna förskolan Tunnlandsvägen,öppen_förskola,Tunnlandsvägen 30 B,59.3363663,17.9404689,Bromma
Öppna förskolan Älvsjö,öppen_förskola,Solberga ängsväg 4,59.2812742,18.0136606,Älvsjö
"Öppna förskolan Östberga, Östberga kulturhus",öppen_förskola,Östbergatorget 14,59.2889218,18.0332425,Östberga
Andante förskolor Utflyktsvägen,förskola,Utflyktsvägen 4,59.3302726,17.9115719,Nockebyhov
Annedals Montessoriförskola,förskola,Pippi Långstrumps gata 35,59.3655816,17.9469495,Mariehäll
Bellmanskällans Montessoriförskola,förskola,Brådstupsvägen 5–9,59.3044665,17.9585439,Hägersten
Birkamyntet – Ängbybarnens förskolor,förskola,Vultejusvägen 59,59.3440481,17.9090027,Norra Ängby
Björntjänst,förskola,Bäckbornas väg 17,59.3626829,17.9011908,Eneby
Blackebergs Montessoriförskola,förskola,Holbergsgatan 109,59.3446405,17.8848678,Blackeberg
Blomstermåla – Ängbybarnens förskolor,förskola,Frislandsvägen 1–3,59.3470737,17.8984523,Södra Ängby
Blå Grodan,förskola,Missionsvägen 14,59.3408876,17.9764308,Ulvsunda
Bromma enskilda skolas förskola,förskola,Mossvägen 7,59.3298378,17.9643291,Stora mossen
Bromma språkförskola,förskola,Marklandsbacken 2,59.3368174,17.9368963,Åkeslund
Brommakrokodilens Montessoriförskola,förskola,Grönviksvägen 107,59.320387,17.9372579,Ålsten
Bullerbyn Johan Skyttes väg 325–327,förskola,Johan Skyttes väg 325-327,59.2809421,17.9816226,Älvsjö
Citrusgården,förskola,Folkparksvägen 161,59.2851239,18.012481,Solberga
Ekbacken Svartlösavägen 128,förskola,Svartlösavägen 128,59.2774449,17.9803431,Älvsjö
Eken Sulvägen 52 A,förskola,Sulvägen 52 A,59.2872902,18.0058888,Solberga
Ellen Fries,förskola,Ellen Fries gata 10,59.287995,17.9703718,Fruängen
Ellen Key,förskola,Ellen Keys Gata 83,59.2854065,17.966073,Fruängen
Fantasia,förskola,Vantörsvägen 225,59.2830064,17.9598385,Fruängen
Fiberpennan,förskola,Fastlagsvägen 68,59.3035402,17.9968277,Midsommarkransen
Flyttfågeln,förskola,Stenkilsgatan 7,59.3078217,17.9883258,Aspudden
Fyra Elementen Djurkloun,förskola,Djurklouvägen 4,59.3176179,17.9658487,Smedslätten
Fyra Elementen Grävlingen,förskola,Grävlingsvägen 11,59.3315973,17.9712138,Äppelviken
Förskolan Ankarstocksvägen 12–14,förskola,Ankarstocksvägen 12–14,59.3668088,17.9294167,Bällsta
Förskolan Beckombergavägen 76,förskola,Beckombergavägen 76,59.3457881,17.9165023,Bromma
Förskolan Bergviksvägen 89A,förskola,Bergviksvägen 89A,59.3226656,17.9573867,Ålsten
Förskolan Bild & Tanke,förskola,Hägerstensvägen 301,59.3005085,17.9609613,Hägersten
Förskolan Björnsonsgatan 4,förskola,Björnsonsgatan 4,59.3462115,17.8780185,Blackeberg
Förskolan Bällstaågatan 62,förskola,Bällstaågatan 62,59.3638101,17.9545589,Mariehäll
Förskolan Bävervägen 43,förskola,Bävervägen 43,59.3340283,17.9536389,Abrahamsberg
Förskolan Dartanjangs gata 3,förskola,Dartanjangs gata 3,59.3620536,17.9449557,Mariehäll
Förskolan Djupdalsvägen 72–74,förskola,Djupdalsvägen 72–74,59.3303634,17.9370222,Olovslund
Förskolan Drottningholmsvägen 510A,förskola,Drottningholmsvägen 510A,59.3355424,17.9265852,Åkeshov
Förskolan Författarvägen 29–31,förskola,Författarvägen 29-31,59.3255683,17.9339353,Höglandet
