Namn,Typ,Kategori,Gata,Nr,Lat,Lon,Stadsdel
Park,park,Park,DrottningholmsvägenRM,N/A,59.3334605,17.9268893,Nockeby
Park,park,Park,Kvarnbacksvägen,N/A,59.3427661,17.9559892,Ulvsunda industriområde
Park,park,Park,N/A,N/A,59.3407042,17.9249706,Åkeshov
Ängbybadet,park,Park,Blackebergsvägen,N/A,59.336897,17.8972893,Södra Ängby
Park,park,Park,Ålstens Skogsväg,N/A,59.3164493,17.9623054,Smedslätten
Park,park,Park,Gliavägen,119,59.3538062,17.9187436,Bromma kyrka
Äppelvikstorget,park,Park,Äppelvikstorget,N/A,59.3269777,17.9729318,Äppelviken
Park,park,Park,Gustavslundsvägen,14,59.3323798,17.9842168,Alvik
Park,park,Park,Gustavslundsvägen,167,59.3330821,17.97897,Alvik
Park,park,Park,Kvarnbacksvägen,N/A,59.3425869,17.9516641,Ulvsunda industriområde
Park,park,Park,Judarskogen Reflexbana MTB,N/A,59.3345638,17.9114535,Nockebyhov
Lillsjöparken,park,Park,Lillsjövägen,N/A,59.3390981,17.9553982,Ulvsunda
Park,park,Park,Sedumbacken,N/A,59.3454129,17.9318411,Åkeshov
Park,park,Park,Båtparken stig,N/A,59.339488,17.8968379,Södra Ängby
Park,park,Park,Penselgränd,N/A,59.3402533,17.8927133,Södra Ängby
Park,park,Park,Peringskiöldsvägen,N/A,59.3526739,17.9046918,Norra Ängby
Park,park,Park,Krusbärsvägen,15,59.3599222,17.9072731,Eneby
Park,park,Park,Carl Larssons Väg,N/A,59.3417149,17.8952327,Södra Ängby
Park,park,Park,Runstensvägen,N/A,59.3503573,17.9007807,Norra Ängby
Park,park,Park,Beckomberga Skogsväg,N/A,59.3553774,17.8950805,Beckomberga
Park,park,Park,Bällstavägen,175,59.3518143,17.9000089,Norra Ängby
Park,park,Park,Martebogatan,17,59.3537565,17.9032817,Eneby
Annedalsparken,park,Park,Ronja Rövardotters Stig,N/A,59.3635539,17.947826,Mariehäll
Park,park,Park,Beckombergavägen,N/A,59.3470696,17.908157,Norra Ängby
Park,park,Park,"Åkeshovs eljusspår 1,5 km",N/A,59.3448054,17.9259921,Åkeshov
Lönnebergaparken,park,Park,Dartanjangs Gata,3,59.362151,17.9444496,Mariehäll
Grottparken,park,Park,Lövåsvägen,34,59.3379523,17.9614517,Ulvsunda
Minnebergsparken,park,Park,Svartviksslingan,21,59.339463,17.990468,Traneberg
Park,park,Park,Egilsvägen,11,59.3447461,17.9151972,Bromma
Björklundshage,park,Park,Bällstavägen,N/A,59.349993,17.89839,Södra Ängby
Ängbylunden,park,Park,Dybecksvägen,81,59.3451469,17.9016872,Norra Ängby
Murlindan,park,Park,Spångavägen,N/A,59.35478,17.9156524,Bromma kyrka
Park,park,Park,Enebyvägen,21,59.3592271,17.911103,Eneby
Park,park,Park,Komministervägen,N/A,59.3583667,17.9118661,Eneby
Västerledstorget,park,Park,Västerledstorget,N/A,59.3290712,17.9686651,Stora mossen
Park,park,Park,Enebyvägen,5,59.3581027,17.9091962,Eneby
Park,park,Park,Gamla Bromstensvägen,N/A,59.3657942,17.9315888,Bällsta
Tranebergsparken,park,Park,Tranebergsvägen,33,59.3335481,17.9843235,Traneberg
Lekparken,park,Park,Kinnekullevägen,49,59.3365791,17.9803498,Traneberg
Einar Forseths park,park,Park,Virvelvindsvägen,N/A,59.3236095,17.9428736,Ålsten
Smedslättstorget,park,Park,Smedslättstorget,51,59.320409,17.9640632,Smedslätten
Flyttblockshöjden,park,Park,Flyttblocksvägen,18,59.3593494,17.950673,Mariehäll
Snäckparken,park,Park,Snäckparken,3,59.3266117,17.9785442,Äppelviken
Park,park,Park,Lindstigen,N/A,59.3424076,17.9620016,Ulvsunda industriområde
Park,park,Park,Marklandsbacken,N/A,59.3356222,17.9399345,Åkeslund
Kämpakumlet,park,Park,Aladdinsvägen,32,59.3218513,17.9687858,Smedslätten
Halvmåneparken,park,Park,Follingbogatan,20,59.3577071,17.9022504,Beckomberga
Park,park,Park,Höglandstorget,N/A,59.3233286,17.9400665,Höglandet
Klockhusparken,park,Park,Styresman Sanders väg,11,59.3588395,17.9025004,Eneby
Park,park,Park,Lindstigen,N/A,59.3429759,17.9642544,Ulvsunda industriområde
Park,park,Park,Åkeshovsvägen,N/A,59.3386488,17.9268241,Åkeshov
Björnparken,park,Park,Bällstavägen,N/A,59.3558071,17.9070582,Eneby
Lillsjöplan,park,Park,Ulvsundavägen,69,59.3402689,17.9619556,Ulvsunda
Grönviksskälet,park,Park,Nockebyvägen,N/A,59.3211299,17.9432112,Ålsten
Pinden,park,Park,Grönviksvägen,N/A,59.3208146,17.9418852,Höglandet
Mossdungstäppan,park,Park,Orrspelsvägen,53,59.3236109,17.9468782,Ålsten
Park,park,Park,Örnbogatan,N/A,59.3239681,17.9501952,Ålsten
Virvelbacken,park,Park,Virvelvindsvägen,N/A,59.3249715,17.9426252,Ålsten
Park,park,Park,Örnbogatan,N/A,59.3255208,17.9509457,Ålsten
Park,park,Park,Björkrisvägen,N/A,59.3230703,17.9498167,Ålsten
Park,park,Park,Tjädervägen,N/A,59.3227169,17.9509424,Ålsten
Myrmarksplan,park,Park,Myrmarksplan,N/A,59.3264455,17.9630549,Äppelviken
Park,park,Park,Rånövägen,22,59.3350687,17.9233509,Bromma
Park,park,Park,Ryssmurvägen,N/A,59.3356961,17.9232046,Åkeshov
Park,park,Park,Grimstahamnsvägen,33,59.3323274,17.9217077,Bromma
Ryssmurskogen,park,Park,Grimstahamnsvägen,N/A,59.3330765,17.9206928,Nockeby
Brålunden,park,Park,Brålunden,N/A,59.3313026,17.9302492,Nockeby
Park,park,Park,Rättviksvägen,26,59.3264209,17.9250329,Nockeby
Thalialunden,park,Park,Thaliavägen,14,59.3245302,17.937914,Bromma
Park,park,Park,Snorrevägen,11,59.3468962,17.9166929,Bromma
Park,park,Park,Tranebergsvägen,N/A,59.3354692,17.9725899,Traneberg
Park,park,Park,Spångavägen,93,59.3501327,17.9190416,Bromma kyrka
Park,park,Park,Möjbrovägen,37,59.3464015,17.9214806,Bromma
Park,park,Park,Beckombergavägen,N/A,59.3430292,17.9227112,Åkeshov
Park,park,Park,Spångavägen,N/A,59.3444233,17.9300279,Bromma
Park,park,Park,"Åkeshovs eljusspår 1,5 km",N/A,59.342865,17.9318415,Åkeshov
Park,park,Park,Sedumbacken,N/A,59.3457407,17.9307303,Åkeshov
Park,park,Park,Ottarsvägen,6,59.3450447,17.9082413,Norra Ängby
Park,park,Park,Judarskogen Reflexbana MTB,N/A,59.3392493,17.9148798,Nockebyhov
Park,park,Park,Knypplerskevägen,24,59.3385006,17.9313531,Åkeslund
Park,park,Park,Nockebyvägen,N/A,59.3241574,17.9327178,Höglandet
Park,park,Park,Kvarnbacksvägen,79,59.3409615,17.9480802,Bromma
Park,park,Park,Galonvägen,N/A,59.3400139,17.9458649,Riksby
Park,park,Park,Beckomberga Ängsväg,4,59.3556888,17.8997318,Beckomberga
Park,park,Park,Ranhammarsvägen,N/A,59.3497157,17.9612499,Ulvsunda industriområde
Park,park,Park,Klas Klättermus Gata,8,59.3638505,17.9523754,Mariehäll
Park,park,Park,Blackebergsvägen,N/A,59.3367464,17.8964246,Södra Ängby
Runstensplan,park,Park,Långskeppsgatan,N/A,59.3516276,17.9005259,Norra Ängby
Park,park,Park,Blackebergsvägen,N/A,59.3368406,17.8988942,Södra Ängby
Ängby Kyrkpark,park,Park,Holbergsgatan,N/A,59.3460482,17.892047,Blackeberg
Sol och Måne,park,Park,Bällstavägen,N/A,59.360617,17.957544,Mariehäll
Alléparken,park,Park,Äppelviksvägen,4,59.3296127,17.9753725,Äppelviken
Fjärilskroken,park,Park,Alviksvägen,49,59.3276096,17.9744994,Äppelviken
Park,park,Park,Judarskogen Reflexbana MTB,N/A,59.3401815,17.9094578,Nockebyhov
Ålstensskogen,park,Park,Per Albins väg,N/A,59.3169307,17.9543087,Ålsten
Park,park,Park,Olovslundsvägen,N/A,59.3297657,17.9401544,Olovslund
Karsvikshage,park,Park,Tacitusvägen,26,59.3447673,17.9106586,Norra Ängby
Tranebergsängen,park,Park,Tranebergsvägen,N/A,59.3349547,17.988587,Traneberg
Mamma Muparken,park,Park,Ronja Rövardotters Stig,N/A,59.36629,17.9494326,Mariehäll
Park,park,Park,Johannelundsvägen,N/A,59.3624037,17.9084772,Flysta
Ryssmurängen,park,Park,Åkeshovs allé,N/A,59.3376983,17.9227457,Åkeshov
Bergtorpskärret,park,Park,Långbrodalsvägen,N/A,59.2717146,17.9851412,Långsjö
Vivelparken,park,Park,Vallvägen,N/A,59.278208,17.9899785,Älvsjö
Årstafältet,park,Park,Gamla Göta landsväg,N/A,59.2914832,18.0459653,Östberga
Stamparken,park,Park,Stamgatan,N/A,59.2843789,18.04011,Östberga
Park,park,Park,Gimmerstavägen,N/A,59.2818615,18.0364913,Östberga
Örby slottspark,park,Park,Reuterholmsvägen,N/A,59.2813592,18.0299881,Örby slott
Aspöparken,park,Park,Västermovägen,N/A,59.2759329,18.0362143,Älvsjö
Turingeparken,park,Park,Gamla Magelungsvägen,47,59.2679418,18.0224985,Älvsjö
Ringdanskroken,park,Park,Staffan Stallares väg,3,59.2840304,18.0247324,Älvsjö
Park,park,Park,Vibyholmsvägen,N/A,59.280304,18.0323359,Örby slott
