gata,adress,stadsdel,parkeringsomrade,platstyp,taxa,ovrig_info,giltigt_fran,start_manad,slut_manad,start_dag,slut_dag,start_tid,slut_tid,veckodag,longitud,latitud,fordon,beslut,rdt_url
Valutavägen,Valutavägen 24 - 2,Hägerstensåsen,Hägersten,"P Avgift, boende","taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid måndag 08:00-16:00 1/11 - 15/5,2021-10-07T22:00:00Z,5,10,16,31,,,,17.979977,59.299631,fordon,0180 2021-04226,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2021&LopNr=04226
Valutavägen,Valutavägen 24 - 2,Hägerstensåsen,Hägersten,"P Avgift, boende","taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid måndag 08:00-16:00 1/11 - 15/5,2021-10-07T22:00:00Z,11,5,1,15,1600,800,måndag,17.979977,59.299631,fordon,0180 2021-04226,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2021&LopNr=04226
Valutavägen,Valutavägen 24 - 2,Hägerstensåsen,Hägersten,"P Avgift, boende","taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid måndag 08:00-16:00 1/11 - 15/5,2021-10-07T22:00:00Z,5,10,16,31,,,,17.979977,59.299631,fordon,0180 2021-04226,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2021&LopNr=04226
Valutavägen,Valutavägen 24 - 2,Hägerstensåsen,Hägersten,"P Avgift, boende","taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid måndag 08:00-16:00 1/11 - 15/5,2021-10-07T22:00:00Z,11,5,1,15,1600,800,måndag,17.979977,59.299631,fordon,0180 2021-04226,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2021&LopNr=04226
Lotterivägen,Lotterivägen 33,Hägerstensåsen,Hägersten,Reserverad p-plats rörelsehindrad,"taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",,2022-08-10T22:00:00Z,,,,,,,,17.97999,59.297606,rörelsehindrade,0180 2022-01576,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2022&LopNr=01576
Isgränd,Isgränd 7,Västertorp,Hägersten,Reserverad p-plats rörelsehindrad,"taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",,2021-10-07T22:00:00Z,,,,,,,,17.968252,59.290857,rörelsehindrade,0180 2021-04267,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2021&LopNr=04267
Bokbindarvägen,Bokbindarvägen 51,Hägerstensåsen,Hägersten,Reserverad p-plats rörelsehindrad,"taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",,2022-08-09T22:00:00Z,,,,,,,,17.982835,59.301087,rörelsehindrade,0180 2022-03144,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2022&LopNr=03144
Mälarhöjdsvägen,Mälarhöjdsvägen 32 - 34,Mälarhöjden,Hägersten,P-avgift endast besök,"taxa 4: 10 kr/tim vardagar 7-19, dag före helgdag 11-17, Boende: 500 kr/månad eller 35 kr/dygn",Servicetid torsdag 08:00-16:00 1/11 - 15/5,2022-10-13T22:00:00Z,5,10,16,31,,,,17.949299,59.30106,fordon,0180 2022-04059,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2022&LopNr=04059
Mälarhöjdsvägen,Mälarhöjdsvägen 32 - 34,Mälarhöjden,Hägersten,P-avgift endast besök,"taxa 4: 10 kr/tim vardagar 7-19, dag före helgdag 11-17, Boende: 500 kr/månad eller 35 kr/dygn",Servicetid torsdag 08:00-16:00 1/11 - 15/5,2022-10-13T22:00:00Z,11,5,1,15,1600,800,torsdag,17.949299,59.30106,fordon,0180 2022-04059,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2022&LopNr=04059
Mälarhöjdsvägen,Mälarhöjdsvägen 26 - 32,Mälarhöjden,Hägersten,P-avgift endast besök,"taxa 4: 10 kr/tim vardagar 7-19, dag före helgdag 11-17, Boende: 500 kr/månad eller 35 kr/dygn",Servicetid torsdag 08:00-16:00 1/11 - 15/5,2022-10-13T22:00:00Z,5,10,16,31,,,,17.950562,59.301489,fordon,0180 2022-04059,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2022&LopNr=04059
