gata,adress,stadsdel,parkeringsomrade,platstyp,taxa,ovrig_info,giltigt_fran,start_manad,slut_manad,start_dag,slut_dag,start_tid,slut_tid,veckodag,longitud,latitud,fordon,beslut,rdt_url
Svarvstolsvägen,Svarvstolsvägen 22 - 20,Västberga,Hägersten,Tidsreglerad på- och avstigningsplats,avgiftsfri,,2015-10-15T22:00:00Z,,,,,600,1900,,17.996028,59.295935,fordon,0180 2015-02705,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2015&LopNr=02705
Svarvstolsvägen,Svarvstolsvägen 22 - 20,Västberga,Hägersten,Tidsreglerad på- och avstigningsplats,avgiftsfri,,2015-10-15T22:00:00Z,,,,,600,1900,,17.996028,59.295935,fordon,0180 2015-02705,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2015&LopNr=02705
Montörvägen,Montörvägen 8 - 7,Abrahamsberg,Bromma norra,Tidsreglerad lastplats,"taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid tisdag 08:00-16:00 1/11 - 15/5,2021-06-04T22:00:00Z,5,10,16,31,700,1600,onsdag,17.950742,59.335845,fordon,0180 2021-01738,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2021&LopNr=01738
Montörvägen,Montörvägen 8 - 7,Abrahamsberg,Bromma norra,Tidsreglerad lastplats,"taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid tisdag 08:00-16:00 1/11 - 15/5,2021-06-04T22:00:00Z,11,5,1,15,700,1600,onsdag,17.950742,59.335845,fordon,0180 2021-01738,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2021&LopNr=01738
Tunnlandsvägen,Tunnlandsvägen 41,Åkeslund,Bromma norra,Tidsreglerad lastplats,"taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid fredag 08:00-16:00 1/11 - 15/5,2024-09-21T22:00:00Z,5,10,16,31,700,1600,onsdag,17.941533,59.336259,fordon,0180 2024-01581,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2024&LopNr=01581
Tunnlandsvägen,Tunnlandsvägen 41,Åkeslund,Bromma norra,Tidsreglerad lastplats,"taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid fredag 08:00-16:00 1/11 - 15/5,2024-09-21T22:00:00Z,11,5,1,15,700,1600,onsdag,17.941533,59.336259,fordon,0180 2024-01581,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2024&LopNr=01581
Boktryckarvägen,Boktryckarvägen 41,Hägerstensåsen,Hägersten,Tidsreglerad lastplats,"taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid onsdag 08:00-16:00 1/11 - 15/5,2024-02-27T23:00:00Z,5,10,16,31,700,1600,måndag,17.985365,59.300493,fordon,0180 2024-00369,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2024&LopNr=00369
Boktryckarvägen,Boktryckarvägen 41,Hägerstensåsen,Hägersten,Tidsreglerad lastplats,"taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid onsdag 08:00-16:00 1/11 - 15/5,2024-02-27T23:00:00Z,11,5,1,15,700,1600,måndag,17.985365,59.300493,fordon,0180 2024-00369,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2024&LopNr=00369
Tunnlandsvägen,Tunnlandsvägen 65,Åkeslund,Bromma norra,Tidsreglerad lastplats,"taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid fredag 08:00-16:00 1/11 - 15/5,2024-09-21T22:00:00Z,5,10,16,31,700,1600,onsdag,17.93953,59.336792,fordon,0180 2024-01580,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2024&LopNr=01580
Tunnlandsvägen,Tunnlandsvägen 65,Åkeslund,Bromma norra,Tidsreglerad lastplats,"taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid fredag 08:00-16:00 1/11 - 15/5,2024-09-21T22:00:00Z,11,5,1,15,700,1600,onsdag,17.93953,59.336792,fordon,0180 2024-01580,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2024&LopNr=01580
