Region,Tid,"Medelinkomst, tkr","Medianinkomst, tkr",Kommun
0114,2021,358.7,327.3,Upplands Väsby
0114,2022,371.3,341.3,Upplands Väsby
0114,2023,387.2,355.5,Upplands Väsby
0114,2024,402.2,369.9,Upplands Väsby
0115,2021,413.6,372.2,Vallentuna
0115,2022,430.2,388.9,Vallentuna
0115,2023,447.9,405.2,Vallentuna
0115,2024,465.0,420.7,Vallentuna
0117,2021,412.9,361.8,Österåker
0117,2022,432.7,379.0,Österåker
0117,2023,451.6,396.8,Österåker
0117,2024,473.2,412.2,Österåker
0120,2021,413.5,369.7,Värmdö
0120,2022,439.2,387.5,Värmdö
0120,2023,456.4,402.1,Värmdö
0120,2024,473.3,418.3,Värmdö
0123,2021,362.5,333.4,Järfälla
0123,2022,377.9,347.2,Järfälla
0123,2023,393.5,362.4,Järfälla
0123,2024,407.8,375.1,Järfälla
0125,2021,467.0,392.0,Ekerö
0125,2022,475.5,405.7,Ekerö
0125,2023,495.9,422.4,Ekerö
0125,2024,544.9,440.9,Ekerö
0126,2021,371.4,338.4,Huddinge
0126,2022,391.8,356.2,Huddinge
0126,2023,410.3,372.1,Huddinge
0126,2024,426.8,386.4,Huddinge
0127,2021,308.0,289.3,Botkyrka
0127,2022,325.4,306.8,Botkyrka
0127,2023,339.6,319.5,Botkyrka
0127,2024,352.7,331.8,Botkyrka
0128,2021,386.1,358.0,Salem
0128,2022,402.5,370.2,Salem
0128,2023,421.8,388.5,Salem
0128,2024,437.7,404.0,Salem
0136,2021,343.6,328.5,Haninge
0136,2022,359.5,343.1,Haninge
0136,2023,374.8,356.1,Haninge
0136,2024,389.7,369.4,Haninge
0138,2021,407.4,365.0,Tyresö
0138,2022,428.3,383.4,Tyresö
0138,2023,447.5,398.6,Tyresö
0138,2024,464.0,411.0,Tyresö
0139,2021,351.6,329.3,Upplands-Bro
0139,2022,367.4,341.9,Upplands-Bro
0139,2023,384.4,358.0,Upplands-Bro
0139,2024,396.7,370.6,Upplands-Bro
0140,2021,407.5,387.7,Nykvarn
0140,2022,423.0,399.6,Nykvarn
0140,2023,442.2,417.1,Nykvarn
0140,2024,459.7,431.9,Nykvarn
0160,2021,503.4,412.0,Täby
0160,2022,528.8,432.3,Täby
0160,2023,547.0,451.4,Täby
0160,2024,570.8,469.3,Täby
0162,2021,652.2,443.1,Danderyd
0162,2022,704.4,469.9,Danderyd
0162,2023,725.3,489.8,Danderyd
0162,2024,762.2,510.3,Danderyd
0163,2021,452.4,378.0,Sollentuna
0163,2022,476.5,397.6,Sollentuna
0163,2023,492.0,412.2,Sollentuna
0163,2024,510.8,427.0,Sollentuna
0180,2021,424.6,363.3,Stockholm
0180,2022,448.3,382.8,Stockholm
0180,2023,466.7,399.4,Stockholm
0180,2024,485.9,413.6,Stockholm
0181,2021,307.9,292.5,Södertälje
0181,2022,325.1,309.9,Södertälje
0181,2023,341.8,324.9,Södertälje
0181,2024,354.4,336.1,Södertälje
0182,2021,482.0,398.1,Nacka
0182,2022,506.9,419.2,Nacka
0182,2023,528.7,437.7,Nacka
0182,2024,557.2,454.2,Nacka
0183,2021,394.5,365.5,Sundbyberg
0183,2022,413.8,383.9,Sundbyberg
0183,2023,433.1,403.1,Sundbyberg
0183,2024,451.0,420.4,Sundbyberg
0184,2021,414.2,381.8,Solna
0184,2022,438.8,405.1,Solna
0184,2023,459.8,425.9,Solna
0184,2024,480.5,444.7,Solna
