id,kategori,namn,gatuadress,postnummer,stad,koordinat_east,koordinat_north
15106,grundskolor,"Apolloniosskolan, F–9",Stora Mans väg 11B,12559,Älvsjö,148591,6573949
13499,grundskolor,"Aspuddens skola, F–9",Blommensbergsvägen 166,12655,Hägersten,149899,6577119
15258,grundskolor,"Fruängens skola, F–9",Fruängsgatan 57–61,12953,Hägersten,147876,6574395
15196,grundskolor,"Grundskolan Metapontum, F–9",Stora Mans väg 11C,12559,Älvsjö,148607,6573925
13877,grundskolor,"Herrängens skola, F–6",Konvaljestigen 15,12555,Älvsjö,148419,6573321
13917,grundskolor,"Hägerstenshamnens skola, F–6",Selmedalsringen 5,12936,Hägersten,148770,6576910
13929,grundskolor,"Hägerstensåsens skola, F–6",Sedelvägen 30,12932,Hägersten,148973,6575672
15011,grundskolor,"Innovitaskolan Joriel, F–9",Bergtallsvägen 12,12560,Älvsjö,148265,6574068
15219,grundskolor,"Internationella engelska skolan Liljeholmen, F–9",Herbariegränd 3,12632,Hägersten,150998,6576422
15231,grundskolor,"Internationella engelska skolan Älvsjö, 4–9",Armborstvägen 1,12544,Älvsjö,150324,6573955
13997,grundskolor,"Johan Skytteskolan, F–9",Västerängsvägen 21,12558,Älvsjö,149008,6573610
15076,grundskolor,"Kunskapsskolan Fruängen, 6–9",Ellen Keys gata 2,12952,Hägersten,148020,6574773
15073,grundskolor,"Kunskapsskolans resursskola Hägersten, 7–9",Riksdalervägen 5,12932,Hägersten,149081,6575825
14146,grundskolor,"Kämpetorpsskolan, F–9",Kedjevägen 57B,12641,Hägersten,149745,6574271
14186,grundskolor,"Långbrodalsskolan, F–6",Sländvägen 3,12558,Älvsjö,149355,6573522
15063,grundskolor,"Magelungens grundskola Långbropark, 1–6",Solberga hagväg 4,12544,Älvsjö,150555,6573847
15054,grundskolor,"Magelungens grundskola Älvsjö, 7–9",Solberga Hagväg 1,12544,Älvsjö,150541,6573839
14260,grundskolor,"Midsommarkransens skola, F–9",Bäckvägen 1,12647,Hägersten,150339,6576437
15235,grundskolor,Montessori Mondial Mälarhöjden,Traktörgränd 10,12940,Hägersten,147000,6576240
14273,grundskolor,"Mälarhöjdens skola, F–9",Lugntorpsvägen 2,12944,Hägersten,147580,6575761
15029,grundskolor,"Pilgrimsskolan, F–3",Pilgrimsvägen 1,12648,Hägersten,150358,6576667
14476,grundskolor,"Sjöängsskolan, F–9",Gripsholmsvägen 29,12535,Älvsjö,151581,6573948
14999,grundskolor,"Snitz grundskola, 7–9",Snickerigatan 4,12626,Hägersten,149474,6576045
14599,grundskolor,"Solbergaskolan, F–6",Lerkrogsvägen 28,12679,Hägersten,150327,6575007
14990,grundskolor,"Stockholm International Academy Hägersten, F–9",Sulvägen 52,12640,Hägersten,150428,6574346
15358,grundskolor,"Tellusborgsskolan, 6–9",Tellusborgsvägen 36,12649,Hägersten,150542,6576589
14911,grundskolor,"Vittra Telefonplan, F–9",Snickerigatan 3–4,12626,Hägersten,149474,6576044
14906,grundskolor,"Västbergaskolan, F–9",Klensmedsvägen 2,12638,Hägersten,149930,6575513
14800,grundskolor,"Västertorpsskolan, F–6",Störtloppsvägen 2–6,12946,Hägersten,148326,6575046
14872,grundskolor,"Örbyskolan, F–9",Gamla Huddingevägen 425,12542,Älvsjö,151594,6573267
14884,grundskolor,"Östbergaskolan, F–6",Östbergabackarna 51–57,12573,Älvsjö,151936,6574869
15594,anpassade_grundskolor,"Aspuddens skola, anpassad grundskola 1–9",Blommensbergsvägen 166,12655,Hägersten,149899,6577119
15414,anpassade_grundskolor,"Fruängens skola, anpassad grundskola 1–9",Fruängsgatan 57–61,12953,Hägersten,147877,6574396
15438,anpassade_grundskolor,"Innovitaskolan Joriel grundskola och anpassad grundskola, F–9",Bergtallsvägen 12,12560,Älvsjö,148266,6574069
27661,anpassade_grundskolor,"Midsommarkransens skola, anpassad grundskola 1–7",Bäckvägen 1,12647,Hägersten,150339,6576438
15529,anpassade_grundskolor,"Solbergaskolan, anpassad grundskola, Broskolan, 1–6",Lerkrogsvägen 28,12679,Hägersten,150328,6575007
15536,anpassade_grundskolor,"Solbergaskolan, anpassad grundskola, Mockasinen, 1–9",Lerkrogsvägen 28,12679,Hägersten,150328,6575007
15567,anpassade_grundskolor,"Västbergaskolan, anpassad grundskola, 1–9",Klensmedsvägen 2,12638,Hägersten,150015,6575642
34879,anpassade_grundskolor,"Västertorpsskolan, anpassad grundskola 1–6",Störtloppsvägen 2,12946,Hägersten,148326,6575046
12293,öppen_förskola,Öppna förskolan Fruängen,Hanna Rydhs gata 5,12950,Hägersten,148542,6574595
