id;kategori;namn;gatuadress;postnummer;stad;koordinat_east;koordinat_north;Stadsdel;stadsdelsomrade;Genomsnittligt meritvärde (17 ämnen);Elever, årskurs 1-9
13450;grundskolor;Abrahamsbergsskolan, F–9;Gustav III:s väg 2–10;16830;Bromma;17.9505675;59.3346293;Abrahamsberg;Bromma;264,4;588
15250;grundskolor;Adolfsbergsskolan, F–6;Gårdsfogdevägen 18B;16866;Bromma;17.9536076;59.3577739;Mariehäll;Bromma;;330
13478;grundskolor;Alviksskolan, F–9;Tranebergsvägen 79;16745;Bromma;17.9759899;59.3351703;Traneberg;Bromma;221,3;815
15106;grundskolor;Apolloniosskolan, F–9;Stora Mans väg 11B;12559;Älvsjö;17.9731195;59.2824177;Älvsjö;Hägersten-Älvsjö;238,8;101
13499;grundskolor;Aspuddens skola, F–9;Blommensbergsvägen 166;12655;Hägersten;17.9980291;59.3093396;Aspudden;Hägersten-Älvsjö;215,9;699
13547;grundskolor;Beckombergaskolan, F–6;Styresman Sanders väg 14;16860;Bromma;17.9041467;59.3596442;Eneby;Bromma;;437
13595;grundskolor;Blackebergsskolan, F–6;Björnsonsgatan 132;16844;Bromma;17.8800464;59.3478194;Blackeberg;Bromma;;336
15109;grundskolor;Bromma Enskilda skola, F–6;Mossvägen 7;16756;Bromma;17.9643291;59.3298378;Stora mossen;Bromma;;
13626;grundskolor;Bromma kyrkskola, F–2;Terserusvägen 1;16859;Bromma;17.9201351;59.355318;Bromma kyrka;Bromma;;56
15258;grundskolor;Fruängens skola, F–9;Fruängsgatan 57–61;12953;Hägersten;17.9661492;59.2849719;Fruängen;Hägersten-Älvsjö;206,3;505
15196;grundskolor;Grundskolan Metapontum, F–9;Stora Mans väg 11C;12559;Älvsjö;17.9731195;59.2824177;Älvsjö;Hägersten-Älvsjö;275,1;520
13877;grundskolor;Herrängens skola, F–6;Konvaljestigen 15;12555;Älvsjö;17.9730779;59.2751171;Älvsjö;Hägersten-Älvsjö;;473
13917;grundskolor;Hägerstenshamnens skola, F–6;Selmedalsringen 5;12936;Hägersten;17.9812918;59.3064939;Hägersten;Hägersten-Älvsjö;;427
13929;grundskolor;Hägerstensåsens skola, F–6;Sedelvägen 30;12932;Hägersten;17.9819113;59.2962582;Hägerstensåsen;Hägersten-Älvsjö;;456
13973;grundskolor;Höglandsskolan, F–9;Skaldevägen 4;16771;Bromma;17.9385602;59.326544;Bromma;Bromma;282,2;425
15011;grundskolor;Innovitaskolan Joriel, F–9;Bergtallsvägen 12;12560;Älvsjö;17.9695367;59.2817936;Älvsjö;Hägersten-Älvsjö;;6
15202;grundskolor;Internationella engelska skolan Bromma, 4–9;Riksbyvägen 40–48;16874;Bromma;17.9437126;59.3422073;Bromma;Bromma;263,3;949
15219;grundskolor;Internationella engelska skolan Liljeholmen, F–9;Herbariegränd 3;12632;Hägersten;18.0170452;59.3043742;Liljeholmen;Hägersten-Älvsjö;247,9;1 108
15231;grundskolor;Internationella engelska skolan Älvsjö, 4–9;Armborstvägen 1;12544;Älvsjö;18.0057558;59.2808421;Älvsjö;Hägersten-Älvsjö;266,9;723
13997;grundskolor;Johan Skytteskolan, F–9;Västerängsvägen 21;12558;Älvsjö;17.9829224;59.277314;Älvsjö;Hägersten-Älvsjö;270,9;1 086
15085;grundskolor;Kristofferskolan, F–9;Marklandsbacken 11;16836;Bromma;17.9387975;59.3359775;Åkeslund;Bromma;258,6;561
15076;grundskolor;Kunskapsskolan Fruängen, 6–9;Ellen Keys gata 2;12952;Hägersten;17.9654466;59.2882679;Fruängen;Hägersten-Älvsjö;256,4;257
15073;grundskolor;Kunskapsskolans resursskola Hägersten, 7–9;Riksdalervägen 5;12932;Hägersten;17.9842989;59.2973388;Hägerstensåsen;Hägersten-Älvsjö;;
14146;grundskolor;Kämpetorpsskolan, F–9;Kedjevägen 57B;12641;Hägersten;17.9923609;59.2869044;Solberga;Hägersten-Älvsjö;231,1;865
15311;grundskolor;Lunaskolan Bromma, 4–9;Johannesfredsvägen 43;16868;Bromma;17.9731332;59.3469559;Ulvsunda industriområde;Bromma;175,4;144
14186;grundskolor;Långbrodalsskolan, F–6;Sländvägen 3;12558;Älvsjö;17.9813112;59.2814279;Älvsjö;Hägersten-Älvsjö;;518
15063;grundskolor;Magelungens grundskola Långbropark, 1–6;Solberga hagväg 4;12544;Älvsjö;18.0090102;59.2803534;Älvsjö;Hägersten-Älvsjö;;8
15054;grundskolor;Magelungens grundskola Älvsjö, 7–9;Solberga Hagväg 1;12544;Älvsjö;18.0093465;59.2798171;Älvsjö;Hägersten-Älvsjö;132,7;34
14234;grundskolor;Mariehällsskolan, F–6;Tappvägen 23;16871;Bromma;17.9495845;59.3632135;Mariehäll;Bromma;;461
14260;grundskolor;Midsommarkransens skola, F–9;Bäckvägen 1;12647;Hägersten;17.9948889;59.3023898;Midsommarkransen;Hägersten-Älvsjö;;818
15235;grundskolor;Montessori Mondial Mälarhöjden;Traktörgränd 10;12940;Hägersten;17.9472779;59.3014955;Mälarhöjden;Hägersten-Älvsjö;;132
14273;grundskolor;Mälarhöjdens skola, F–9;Lugntorpsvägen 2;12944;Hägersten;17.9566888;59.2975268;Mälarhöjden;Hägersten-Älvsjö;272,1;1 137
14282;grundskolor;Nockebyhovsskolan, F–3;Tyska Bottens väg 68;16841;Bromma;17.9065161;59.3335125;Nockebyhov;Bromma;;66
14295;grundskolor;Norra Ängby skola, F–6;Vultejusvägen 20;16856;Bromma;17.9092484;59.3489677;Norra Ängby;Bromma;;583
14306;grundskolor;Nya Elementar, F–9;Bergslagsvägen 80;16855;Bromma;17.9010568;59.3445421;Södra Ängby;Bromma;269,1;994
14355;grundskolor;Olovslundsskolan, F–6;Olovslundsvägen 23;16772;Bromma;17.9384342;59.3311661;Olovslund;Bromma;;397
15029;grundskolor;Pilgrimsskolan, F–3;Pilgrimsvägen 1;12648;Hägersten;18.0063419;59.3052052;Aspudden;Hägersten-Älvsjö;;67
15005;grundskolor;Raoul Wallenbergskolan, F–9;Beckombergavägen 316;16861;Bromma;17.9027052;59.356212;Eneby;Bromma;;
14476;grundskolor;Sjöängsskolan, F–9;Gripsholmsvägen 29;12535;Älvsjö;18.0287637;59.2815743;Örby slott;Hägersten-Älvsjö;233,6;704
14564;grundskolor;Smedslättsskolan, F–6;Drömstigen 32;16761;Bromma;17.967136;59.323855;Smedslätten;Bromma;;339
