id,kategori,namn,gatuadress,postnummer,stad,koordinat_east,koordinat_north
13450,grundskolor,"Abrahamsbergsskolan, F–9",Gustav III:s väg 2–10,16830,Bromma,147176,6579984
15250,grundskolor,"Adolfsbergsskolan, F–6",Gårdsfogdevägen 18B,16866,Bromma,147359,6582509
13478,grundskolor,"Alviksskolan, F–9",Tranebergsvägen 79,16745,Bromma,148641,6580076
15106,grundskolor,"Apolloniosskolan, F–9",Stora Mans väg 11B,12559,Älvsjö,148591,6573949
13499,grundskolor,"Aspuddens skola, F–9",Blommensbergsvägen 166,12655,Hägersten,149899,6577119
13547,grundskolor,"Beckombergaskolan, F–6",Styresman Sanders väg 14,16860,Bromma,144420,6582795
13595,grundskolor,"Blackebergsskolan, F–6",Björnsonsgatan 132,16844,Bromma,143155,6581437
15109,grundskolor,"Bromma Enskilda skola, F–6",Mossvägen 7,16756,Bromma,147965,6579424
13626,grundskolor,"Bromma kyrkskola, F–2",Terserusvägen 1,16859,Bromma,145436,6582307
15258,grundskolor,"Fruängens skola, F–9",Fruängsgatan 57–61,12953,Hägersten,147876,6574395
15196,grundskolor,"Grundskolan Metapontum, F–9",Stora Mans väg 11C,12559,Älvsjö,148607,6573925
13877,grundskolor,"Herrängens skola, F–6",Konvaljestigen 15,12555,Älvsjö,148419,6573321
13917,grundskolor,"Hägerstenshamnens skola, F–6",Selmedalsringen 5,12936,Hägersten,148770,6576910
13929,grundskolor,"Hägerstensåsens skola, F–6",Sedelvägen 30,12932,Hägersten,148973,6575672
13973,grundskolor,"Höglandsskolan, F–9",Skaldevägen 4,16771,Bromma,146645,6578739
15011,grundskolor,"Innovitaskolan Joriel, F–9",Bergtallsvägen 12,12560,Älvsjö,148265,6574068
15202,grundskolor,"Internationella engelska skolan Bromma, 4–9",Riksbyvägen 40–48,16874,Bromma,146840,6580834
15219,grundskolor,"Internationella engelska skolan Liljeholmen, F–9",Herbariegränd 3,12632,Hägersten,150998,6576422
15231,grundskolor,"Internationella engelska skolan Älvsjö, 4–9",Armborstvägen 1,12544,Älvsjö,150324,6573955
13997,grundskolor,"Johan Skytteskolan, F–9",Västerängsvägen 21,12558,Älvsjö,149008,6573610
15085,grundskolor,"Kristofferskolan, F–9",Marklandsbacken 11,16836,Bromma,146514,6579963
15076,grundskolor,"Kunskapsskolan Fruängen, 6–9",Ellen Keys gata 2,12952,Hägersten,148020,6574773
15073,grundskolor,"Kunskapsskolans resursskola Hägersten, 7–9",Riksdalervägen 5,12932,Hägersten,149081,6575825
14146,grundskolor,"Kämpetorpsskolan, F–9",Kedjevägen 57B,12641,Hägersten,149745,6574271
15311,grundskolor,"Lunaskolan Bromma, 4–9",Johannesfredsvägen 43,16868,Bromma,148442,6581368
14186,grundskolor,"Långbrodalsskolan, F–6",Sländvägen 3,12558,Älvsjö,149355,6573522
15063,grundskolor,"Magelungens grundskola Långbropark, 1–6",Solberga hagväg 4,12544,Älvsjö,150555,6573847
15054,grundskolor,"Magelungens grundskola Älvsjö, 7–9",Solberga Hagväg 1,12544,Älvsjö,150541,6573839
14234,grundskolor,"Mariehällsskolan, F–6",Tappvägen 23,16871,Bromma,147174,6583158
14260,grundskolor,"Midsommarkransens skola, F–9",Bäckvägen 1,12647,Hägersten,150339,6576437
15235,grundskolor,Montessori Mondial Mälarhöjden,Traktörgränd 10,12940,Hägersten,147000,6576240
14273,grundskolor,"Mälarhöjdens skola, F–9",Lugntorpsvägen 2,12944,Hägersten,147580,6575761
14282,grundskolor,"Nockebyhovsskolan, F–3",Tyska Bottens väg 68,16841,Bromma,144656,6579812
14295,grundskolor,"Norra Ängby skola, F–6",Vultejusvägen 20,16856,Bromma,144727,6581542
14306,grundskolor,"Nya Elementar, F–9",Bergslagsvägen 80,16855,Bromma,145805,6580840
14355,grundskolor,"Olovslundsskolan, F–6",Olovslundsvägen 23,16772,Bromma,146487,6579692
15029,grundskolor,"Pilgrimsskolan, F–3",Pilgrimsvägen 1,12648,Hägersten,150358,6576667
15005,grundskolor,"Raoul Wallenbergskolan, F–9",Beckombergavägen 316,16861,Bromma,144447,6582421
14476,grundskolor,"Sjöängsskolan, F–9",Gripsholmsvägen 29,12535,Älvsjö,151581,6573948
14564,grundskolor,"Smedslättsskolan, F–6",Drömstigen 32,16761,Bromma,148130,6578749
14999,grundskolor,"Snitz grundskola, 7–9",Snickerigatan 4,12626,Hägersten,149474,6576045
14599,grundskolor,"Solbergaskolan, F–6",Lerkrogsvägen 28,12679,Hägersten,150327,6575007
14993,grundskolor,"Stefanskolan, F–9",Tegnebyvägen 30,16856,Bromma,144816,6580963
14990,grundskolor,"Stockholm International Academy Hägersten, F–9",Sulvägen 52,12640,Hägersten,150428,6574346
14703,grundskolor,"Södra Ängby skola, F–9",Blackebergsvägen 100,16851,Bromma,143836,6581083
15358,grundskolor,"Tellusborgsskolan, 6–9",Tellusborgsvägen 36,12649,Hägersten,150542,6576589
14949,grundskolor,"Thea privata grundskola – Bromma, 6–9",Voltavägen 8,16869,Bromma,148265,6581181
14750,grundskolor,"Ulvsundaskolan, F–3",Johannesfredsvägen 45,16868,Bromma,148418,6581377
14911,grundskolor,"Vittra Telefonplan, F–9",Snickerigatan 3–4,12626,Hägersten,149474,6576044
14906,grundskolor,"Västbergaskolan, F–9",Klensmedsvägen 2,12638,Hägersten,149930,6575513
14800,grundskolor,"Västertorpsskolan, F–6",Störtloppsvägen 2–6,12946,Hägersten,148326,6575046
14812,grundskolor,"Ålstensskolan, F–6",Nyängsvägen 72–80,16764,Bromma,147581,6578960
14859,grundskolor,"Äppelviksskolan, 7–9",Alviksvägen 97,16753,Bromma,148558,6578747
14872,grundskolor,"Örbyskolan, F–9",Gamla Huddingevägen 425,12542,Älvsjö,151594,6573267
14884,grundskolor,"Östbergaskolan, F–6",Östbergabackarna 51–57,12573,Älvsjö,151936,6574869
15594,anpassade_grundskolor,"Aspuddens skola, anpassad grundskola 1–9",Blommensbergsvägen 166,12655,Hägersten,149899,6577119
34957,anpassade_grundskolor,"Beckombergaskolan, anpassad grundskola F–6",Styresman Sanders väg 14,16860,Bromma,144420,6582796
15414,anpassade_grundskolor,"Fruängens skola, anpassad grundskola 1–9",Fruängsgatan 57–61,12953,Hägersten,147877,6574396
15438,anpassade_grundskolor,"Innovitaskolan Joriel grundskola och anpassad grundskola, F–9",Bergtallsvägen 12,12560,Älvsjö,148266,6574069
15461,anpassade_grundskolor,"Lunaskolan Bromma, anpassad grundskola 4–9",Johannesfredsvägen 43,16868,Bromma,148442,6581368
27661,anpassade_grundskolor,"Midsommarkransens skola, anpassad grundskola 1–7",Bäckvägen 1,12647,Hägersten,150339,6576438
15491,anpassade_grundskolor,"Nya Elementar, anpassad grundskola 1–9",Bergslagsvägen 80,16855,Bromma,145806,6580841
15497,anpassade_grundskolor,"Olovslundsskolan, anpassad grundskola 1–6",Olovslundsvägen 23,16772,Bromma,146487,6579692
15529,anpassade_grundskolor,"Solbergaskolan, anpassad grundskola, Broskolan, 1–6",Lerkrogsvägen 28,12679,Hägersten,150328,6575007
15536,anpassade_grundskolor,"Solbergaskolan, anpassad grundskola, Mockasinen, 1–9",Lerkrogsvägen 28,12679,Hägersten,150328,6575007
15567,anpassade_grundskolor,"Västbergaskolan, anpassad grundskola, 1–9",Klensmedsvägen 2,12638,Hägersten,150015,6575642
34879,anpassade_grundskolor,"Västertorpsskolan, anpassad grundskola 1–6",Störtloppsvägen 2,12946,Hägersten,148326,6575046
12293,öppen_förskola,Öppna förskolan Fruängen,Hanna Rydhs gata 5,12950,Hägersten,148542,6574595
12421,öppen_förskola,Öppna förskolan Hägerstensåsen,Inteckningsvägen 17 E,12931,Hägersten,149189,6575145
12303,öppen_förskola,Öppna förskolan i Blackeberg,Grundtvigsgatan 29 (21) (mittemot Blackebergsparken),16848,Bromma,143549,6581110
30112,öppen_förskola,Öppna förskolan Pippi för barn med funktionsnedsättning,Hanna Rydhs gata 5,12950,Hägersten,148542,6574595
28344,öppen_förskola,Öppna förskolan Tunnlandsvägen,Tunnlandsvägen 30 B,16836,Bromma,146749,6580080
12169,öppen_förskola,Öppna förskolan Älvsjö,Solberga ängsväg 4,12544,Älvsjö,150774,6574003
12192,öppen_förskola,"Öppna förskolan Östberga, Östberga kulturhus",Östbergatorget 14,12573,Älvsjö,151904,6574859
10704,förskola,Andante förskolor Utflyktsvägen,Utflyktsvägen 4,16841,Bromma,144965,6579464
7680,förskola,Annedals Montessoriförskola,Pippi Långstrumps gata 35,16870,Bromma,146988,6583393
9011,förskola,Bellmanskällans Montessoriförskola,Brådstupsvägen 5–9,12939,Hägersten,147643,6576556
9533,förskola,Birkamyntet – Ängbybarnens förskolor,Vultejusvägen 59,16855,Bromma,144813,6581012
10184,förskola,Björntjänst,Bäckbornas väg 17,16860,Bromma,144387,6583074
7649,förskola,Blackebergs Montessoriförskola,Holbergsgatan 109,16845,Bromma,143449,6581068
9536,förskola,Blomstermåla – Ängbybarnens förskolor,Frislandsvägen 1–3,16855,Bromma,144323,6581468
7587,förskola,Blå Grodan,Missionsvägen 14,16733,Bromma,149068,6580737
10148,förskola,Bromma enskilda skolas förskola,Mossvägen 7,16756,Bromma,147965,6579424
6447,förskola,Bromma språkförskola,Marklandsbacken 2,16836,Bromma,146403,6580190
10206,förskola,Brommakrokodilens Montessoriförskola,Grönviksvägen 107,16776,Bromma,145899,6578663
7700,förskola,Bullerbyn Johan Skyttes väg 325–327,Johan Skyttes väg 325-327,12558,Älvsjö,148824,6573907
31055,förskola,Citrusgården,Folkparksvägen 161,12677,Hägersten,150699,6574427
