id,kategori,namn,gatuadress,postnummer,stad,koordinat_east,koordinat_north,Stadsdel
13450,grundskolor,"Abrahamsbergsskolan, F–9",Gustav III:s väg 2–10,16830,Bromma,17.9505675,59.3346293,Abrahamsberg
15250,grundskolor,"Adolfsbergsskolan, F–6",Gårdsfogdevägen 18B,16866,Bromma,17.9536076,59.3577739,Mariehäll
13478,grundskolor,"Alviksskolan, F–9",Tranebergsvägen 79,16745,Bromma,17.9759899,59.3351703,Traneberg
15106,grundskolor,"Apolloniosskolan, F–9",Stora Mans väg 11B,12559,Älvsjö,17.9731195,59.2824177,Älvsjö
13499,grundskolor,"Aspuddens skola, F–9",Blommensbergsvägen 166,12655,Hägersten,17.9980291,59.3093396,Aspudden
13547,grundskolor,"Beckombergaskolan, F–6",Styresman Sanders väg 14,16860,Bromma,17.9041467,59.3596442,Eneby
13595,grundskolor,"Blackebergsskolan, F–6",Björnsonsgatan 132,16844,Bromma,17.8800464,59.3478194,Blackeberg
15109,grundskolor,"Bromma Enskilda skola, F–6",Mossvägen 7,16756,Bromma,17.9643291,59.3298378,Stora mossen
13626,grundskolor,"Bromma kyrkskola, F–2",Terserusvägen 1,16859,Bromma,17.9201351,59.355318,Bromma kyrka
15258,grundskolor,"Fruängens skola, F–9",Fruängsgatan 57–61,12953,Hägersten,17.9661492,59.2849719,Fruängen
15196,grundskolor,"Grundskolan Metapontum, F–9",Stora Mans väg 11C,12559,Älvsjö,17.9731195,59.2824177,Älvsjö
13877,grundskolor,"Herrängens skola, F–6",Konvaljestigen 15,12555,Älvsjö,17.9730779,59.2751171,Älvsjö
13917,grundskolor,"Hägerstenshamnens skola, F–6",Selmedalsringen 5,12936,Hägersten,17.9812918,59.3064939,Hägersten
13929,grundskolor,"Hägerstensåsens skola, F–6",Sedelvägen 30,12932,Hägersten,17.9819113,59.2962582,Hägerstensåsen
13973,grundskolor,"Höglandsskolan, F–9",Skaldevägen 4,16771,Bromma,17.9385602,59.326544,Bromma
15011,grundskolor,"Innovitaskolan Joriel, F–9",Bergtallsvägen 12,12560,Älvsjö,17.9695367,59.2817936,Älvsjö
15202,grundskolor,"Internationella engelska skolan Bromma, 4–9",Riksbyvägen 40–48,16874,Bromma,17.9437126,59.3422073,Bromma
15219,grundskolor,"Internationella engelska skolan Liljeholmen, F–9",Herbariegränd 3,12632,Hägersten,18.0170452,59.3043742,Liljeholmen
15231,grundskolor,"Internationella engelska skolan Älvsjö, 4–9",Armborstvägen 1,12544,Älvsjö,18.0057558,59.2808421,Älvsjö
13997,grundskolor,"Johan Skytteskolan, F–9",Västerängsvägen 21,12558,Älvsjö,17.9829224,59.277314,Älvsjö
15085,grundskolor,"Kristofferskolan, F–9",Marklandsbacken 11,16836,Bromma,17.9387975,59.3359775,Åkeslund
15076,grundskolor,"Kunskapsskolan Fruängen, 6–9",Ellen Keys gata 2,12952,Hägersten,17.9654466,59.2882679,Fruängen
