Statistikområde,Befolkning,Hushall,bostadsrätt,hyresrätt,äganderätt,TotalBostader,PersonerPerHushall,BostaderPerHushall,bostadsrätt_%,hyresrätt_%,äganderätt_%
Abrahamsberg,3488,1915,902.0,1173.0,0.0,2075.0,1.82,1.08,43.5,56.5,0.0
Akalla,9467,4115,2882.0,1066.0,169.0,4117.0,2.3,1.0,70.0,25.9,4.1
Alvik,1488,915,549.0,366.0,35.0,950.0,1.63,1.04,57.8,38.5,3.7
Aspudden,8935,4622,2446.0,2297.0,53.0,4796.0,1.93,1.04,51.0,47.9,1.1
Bagarmossen,11482,5606,1724.0,3680.0,371.0,5775.0,2.05,1.03,29.9,63.7,6.4
Bandhagen,8011,4299,1284.0,3192.0,75.0,4551.0,1.86,1.06,28.2,70.1,1.6
Beckomberga,5872,2648,1858.0,686.0,214.0,2758.0,2.22,1.04,67.4,24.9,7.8
Björkhagen,6788,3567,1930.0,1673.0,87.0,3690.0,1.9,1.03,52.3,45.3,2.4
Blackeberg,8940,4827,2062.0,3088.0,33.0,5183.0,1.85,1.07,39.8,59.6,0.6
Bredäng,10747,4656,722.0,4040.0,319.0,5081.0,2.31,1.09,14.2,79.5,6.3
Bromma kyrka,2694,869,52.0,68.0,744.0,864.0,3.1,0.99,6.0,7.9,86.1
Bromsten,7711,3130,942.0,1851.0,978.0,3771.0,2.46,1.2,25.0,49.1,25.9
Bällsta,828,287,14.0,17.0,240.0,271.0,2.89,0.94,5.2,6.3,88.6
Djurgården,827,393,51.0,244.0,98.0,393.0,2.1,1.0,13.0,62.1,24.9
Eneby,869,300,13.0,9.0,273.0,295.0,2.9,0.98,4.4,3.1,92.5
Engelbrekts kyrka,12312,5986,5166.0,1811.0,2.0,6979.0,2.06,1.17,74.0,25.9,0.0
Enskede Gård,3321,1504,311.0,803.0,413.0,1527.0,2.21,1.02,20.4,52.6,27.0
Enskededalen,2685,1115,438.0,277.0,511.0,1226.0,2.41,1.1,35.7,22.6,41.7
Enskedefältet,1946,748,76.0,285.0,405.0,766.0,2.6,1.02,9.9,37.2,52.9
Fagersjö,2883,1127,300.0,742.0,190.0,1232.0,2.56,1.09,24.4,60.2,15.4
Farsta,16103,7502,3427.0,3947.0,420.0,7794.0,2.15,1.04,44.0,50.6,5.4
Flysta,2292,839,6.0,170.0,656.0,832.0,2.73,0.99,0.7,20.4,78.8
Fredhäll,5336,3513,2171.0,1659.0,0.0,3830.0,1.52,1.09,56.7,43.3,0.0
Fruängen,9756,5217,3490.0,1830.0,147.0,5467.0,1.87,1.05,63.8,33.5,2.7
Gamla Enskede,10777,4654,2353.0,1858.0,904.0,5115.0,2.32,1.1,46.0,36.3,17.7
Grimsta,4621,2146,645.0,1643.0,0.0,2288.0,2.15,1.07,28.2,71.8,0.0
Gröndal,9104,4519,3316.0,1434.0,5.0,4755.0,2.01,1.05,69.7,30.2,0.1
Gubbängen,5796,3134,1404.0,1624.0,220.0,3248.0,1.85,1.04,43.2,50.0,6.8
Gustav Vasa,15100,7886,5700.0,3168.0,10.0,8878.0,1.91,1.13,64.2,35.7,0.1
Gärdet,23101,13510,9322.0,6240.0,10.0,15572.0,1.71,1.15,59.9,40.1,0.1
Hagsätra,9915,4190,1800.0,2433.0,118.0,4351.0,2.37,1.04,41.4,55.9,2.7
Hammarbyhöjden,10761,6047,4459.0,1904.0,21.0,6384.0,1.78,1.06,69.8,29.8,0.3
Hedvig Eleonora,10963,5848,5080.0,2249.0,3.0,7332.0,1.87,1.25,69.3,30.7,0.0
Herrängen,3878,1233,40.0,22.0,1119.0,1181.0,3.15,0.96,3.4,1.9,94.8
Hjorthagen-Värtahamnen,9491,4457,2687.0,2058.0,2.0,4747.0,2.13,1.07,56.6,43.4,0.0
Husby,12173,4908,909.0,4086.0,0.0,4995.0,2.48,1.02,18.2,81.8,0.0
Hägersten,9890,4283,1755.0,1730.0,964.0,4449.0,2.31,1.04,39.4,38.9,21.7
Hägerstensåsen,8530,4662,1949.0,2973.0,37.0,4959.0,1.83,1.06,39.3,60.0,0.7
Hässelby Gård,11609,5547,1012.0,4420.0,320.0,5752.0,2.09,1.04,17.6,76.8,5.6
Hässelby Strand,8296,4428,1654.0,3008.0,0.0,4662.0,1.87,1.05,35.5,64.5,0.0
Hässelby Villastad,18974,6868,758.0,1481.0,4751.0,6990.0,2.76,1.02,10.8,21.2,68.0
Högdalen,10556,5537,2436.0,3078.0,303.0,5817.0,1.91,1.05,41.9,52.9,5.2
Höglandet,1363,474,67.0,45.0,366.0,478.0,2.88,1.01,14.0,9.4,76.6
Hökarängen,10250,5591,1137.0,4531.0,91.0,5759.0,1.83,1.03,19.7,78.7,1.6
Johanneshov,6331,4145,2125.0,2259.0,1.0,4385.0,1.53,1.06,48.5,51.5,0.0
Kista,15080,6745,3979.0,2994.0,482.0,7455.0,2.24,1.11,53.4,40.2,6.5
Klara-Jacob,2089,1194,564.0,828.0,0.0,1392.0,1.75,1.17,40.5,59.5,0.0
Kristineberg,7840,4272,3243.0,1355.0,0.0,4598.0,1.84,1.08,70.5,29.5,0.0
Kungsholm,19790,11026,9572.0,3067.0,0.0,12639.0,1.79,1.15,75.7,24.3,0.0
Kälvesta,4566,1466,5.0,3.0,1451.0,1459.0,3.11,1.0,0.3,0.2,99.5
Kärrtorp,5712,3031,1297.0,1787.0,15.0,3099.0,1.88,1.02,41.9,57.7,0.5
Larsboda,2535,1276,891.0,198.0,133.0,1222.0,1.99,0.96,72.9,16.2,10.9
Liljeholmen,17930,8161,6167.0,2199.0,227.0,8593.0,2.2,1.05,71.8,25.6,2.6
Lilla Essingen,4833,2899,2080.0,1017.0,0.0,3097.0,1.67,1.07,67.2,32.8,0.0
