Region,Statistikområde,Upplatelseform,ContentsCode,Tid,value,stadsdelsomrade
0180R001_RegSO2025,Abrahamsberg,hyresrätt,Antal,2024,1173,Bromma
0180R001_RegSO2025,Abrahamsberg,bostadsrätt,Antal,2024,902,Bromma
0180R001_RegSO2025,Abrahamsberg,äganderätt,Antal,2024,0,Bromma
0180R001_RegSO2025,Abrahamsberg,uppgift saknas,Antal,2024,0,Bromma
0180R002_RegSO2025,Akalla,hyresrätt,Antal,2024,1066,N/A
0180R002_RegSO2025,Akalla,bostadsrätt,Antal,2024,2882,N/A
0180R002_RegSO2025,Akalla,äganderätt,Antal,2024,169,N/A
0180R002_RegSO2025,Akalla,uppgift saknas,Antal,2024,0,N/A
0180R003_RegSO2025,Alvik,hyresrätt,Antal,2024,366,Bromma
0180R003_RegSO2025,Alvik,bostadsrätt,Antal,2024,549,Bromma
0180R003_RegSO2025,Alvik,äganderätt,Antal,2024,35,Bromma
0180R003_RegSO2025,Alvik,uppgift saknas,Antal,2024,0,Bromma
0180R004_RegSO2025,Aspudden,hyresrätt,Antal,2024,2297,Hägersten-Älvsjö
0180R004_RegSO2025,Aspudden,bostadsrätt,Antal,2024,2446,Hägersten-Älvsjö
0180R004_RegSO2025,Aspudden,äganderätt,Antal,2024,53,Hägersten-Älvsjö
0180R004_RegSO2025,Aspudden,uppgift saknas,Antal,2024,0,Hägersten-Älvsjö
0180R005_RegSO2025,Bagarmossen,hyresrätt,Antal,2024,3680,N/A
0180R005_RegSO2025,Bagarmossen,bostadsrätt,Antal,2024,1724,N/A
0180R005_RegSO2025,Bagarmossen,äganderätt,Antal,2024,371,N/A
0180R005_RegSO2025,Bagarmossen,uppgift saknas,Antal,2024,0,N/A
0180R006_RegSO2025,Bandhagen,hyresrätt,Antal,2024,3192,N/A
0180R006_RegSO2025,Bandhagen,bostadsrätt,Antal,2024,1284,N/A
0180R006_RegSO2025,Bandhagen,äganderätt,Antal,2024,75,N/A
0180R006_RegSO2025,Bandhagen,uppgift saknas,Antal,2024,0,N/A
0180R007_RegSO2025,Beckomberga,hyresrätt,Antal,2024,686,Bromma
0180R007_RegSO2025,Beckomberga,bostadsrätt,Antal,2024,1858,Bromma
0180R007_RegSO2025,Beckomberga,äganderätt,Antal,2024,214,Bromma
0180R007_RegSO2025,Beckomberga,uppgift saknas,Antal,2024,0,Bromma
0180R008_RegSO2025,Björkhagen,hyresrätt,Antal,2024,1673,N/A
0180R008_RegSO2025,Björkhagen,bostadsrätt,Antal,2024,1930,N/A
0180R008_RegSO2025,Björkhagen,äganderätt,Antal,2024,87,N/A
0180R008_RegSO2025,Björkhagen,uppgift saknas,Antal,2024,0,N/A
0180R009_RegSO2025,Blackeberg,hyresrätt,Antal,2024,3088,Bromma
0180R009_RegSO2025,Blackeberg,bostadsrätt,Antal,2024,2062,Bromma
0180R009_RegSO2025,Blackeberg,äganderätt,Antal,2024,33,Bromma
0180R009_RegSO2025,Blackeberg,uppgift saknas,Antal,2024,0,Bromma
0180R010_RegSO2025,Bredäng,hyresrätt,Antal,2024,4040,N/A
0180R010_RegSO2025,Bredäng,bostadsrätt,Antal,2024,722,N/A
0180R010_RegSO2025,Bredäng,äganderätt,Antal,2024,319,N/A
0180R010_RegSO2025,Bredäng,uppgift saknas,Antal,2024,0,N/A
0180R011_RegSO2025,Bromma kyrka,hyresrätt,Antal,2024,68,Bromma
0180R011_RegSO2025,Bromma kyrka,bostadsrätt,Antal,2024,52,Bromma
0180R011_RegSO2025,Bromma kyrka,äganderätt,Antal,2024,744,Bromma
0180R011_RegSO2025,Bromma kyrka,uppgift saknas,Antal,2024,0,Bromma
0180R012_RegSO2025,Bromsten,hyresrätt,Antal,2024,1851,N/A
0180R012_RegSO2025,Bromsten,bostadsrätt,Antal,2024,942,N/A
0180R012_RegSO2025,Bromsten,äganderätt,Antal,2024,978,N/A
0180R012_RegSO2025,Bromsten,uppgift saknas,Antal,2024,0,N/A
0180R013_RegSO2025,Bällsta,hyresrätt,Antal,2024,17,Bromma
0180R013_RegSO2025,Bällsta,bostadsrätt,Antal,2024,14,Bromma
0180R013_RegSO2025,Bällsta,äganderätt,Antal,2024,240,Bromma
0180R013_RegSO2025,Bällsta,uppgift saknas,Antal,2024,0,Bromma
0180R014_RegSO2025,Djurgården,hyresrätt,Antal,2024,244,N/A
0180R014_RegSO2025,Djurgården,bostadsrätt,Antal,2024,51,N/A
0180R014_RegSO2025,Djurgården,äganderätt,Antal,2024,98,N/A
0180R014_RegSO2025,Djurgården,uppgift saknas,Antal,2024,0,N/A
0180R015_RegSO2025,Eneby,hyresrätt,Antal,2024,9,Bromma
0180R015_RegSO2025,Eneby,bostadsrätt,Antal,2024,13,Bromma
0180R015_RegSO2025,Eneby,äganderätt,Antal,2024,273,Bromma
0180R015_RegSO2025,Eneby,uppgift saknas,Antal,2024,0,Bromma
0180R016_RegSO2025,Engelbrekts kyrka,hyresrätt,Antal,2024,1811,N/A
0180R016_RegSO2025,Engelbrekts kyrka,bostadsrätt,Antal,2024,5166,N/A
0180R016_RegSO2025,Engelbrekts kyrka,äganderätt,Antal,2024,2,N/A
0180R016_RegSO2025,Engelbrekts kyrka,uppgift saknas,Antal,2024,0,N/A
0180R017_RegSO2025,Enskede Gård,hyresrätt,Antal,2024,803,N/A
0180R017_RegSO2025,Enskede Gård,bostadsrätt,Antal,2024,311,N/A
0180R017_RegSO2025,Enskede Gård,äganderätt,Antal,2024,413,N/A
0180R017_RegSO2025,Enskede Gård,uppgift saknas,Antal,2024,0,N/A
0180R018_RegSO2025,Enskededalen,hyresrätt,Antal,2024,277,N/A
0180R018_RegSO2025,Enskededalen,bostadsrätt,Antal,2024,438,N/A
0180R018_RegSO2025,Enskededalen,äganderätt,Antal,2024,511,N/A
0180R018_RegSO2025,Enskededalen,uppgift saknas,Antal,2024,0,N/A
0180R019_RegSO2025,Enskedefältet,hyresrätt,Antal,2024,285,N/A
0180R019_RegSO2025,Enskedefältet,bostadsrätt,Antal,2024,76,N/A
0180R019_RegSO2025,Enskedefältet,äganderätt,Antal,2024,405,N/A
0180R019_RegSO2025,Enskedefältet,uppgift saknas,Antal,2024,0,N/A
0180R020_RegSO2025,Fagersjö,hyresrätt,Antal,2024,742,N/A
