Region,Statistikområde,Alder,Kon,ContentsCode,Tid,value,stadsdelsomrade
0180R001_RegSO2025,0180R001 Abrahamsberg,0-4 år,totalt,Antal,2021,0,Bromma
0180R001_RegSO2025,0180R001 Abrahamsberg,0-4 år,totalt,Antal,2022,0,Bromma
0180R001_RegSO2025,0180R001 Abrahamsberg,0-4 år,totalt,Antal,2023,0,Bromma
0180R001_RegSO2025,0180R001 Abrahamsberg,0-4 år,totalt,Antal,2024,193,Bromma
0180R001_RegSO2025,0180R001 Abrahamsberg,5-9 år,totalt,Antal,2021,0,Bromma
0180R001_RegSO2025,0180R001 Abrahamsberg,5-9 år,totalt,Antal,2022,0,Bromma
0180R001_RegSO2025,0180R001 Abrahamsberg,5-9 år,totalt,Antal,2023,0,Bromma
0180R001_RegSO2025,0180R001 Abrahamsberg,5-9 år,totalt,Antal,2024,166,Bromma
0180R001_RegSO2025,0180R001 Abrahamsberg,10-14 år,totalt,Antal,2021,0,Bromma
0180R001_RegSO2025,0180R001 Abrahamsberg,10-14 år,totalt,Antal,2022,0,Bromma
0180R001_RegSO2025,0180R001 Abrahamsberg,10-14 år,totalt,Antal,2023,0,Bromma
0180R001_RegSO2025,0180R001 Abrahamsberg,10-14 år,totalt,Antal,2024,121,Bromma
0180R001_RegSO2025,0180R001 Abrahamsberg,15-19 år,totalt,Antal,2021,0,Bromma
0180R001_RegSO2025,0180R001 Abrahamsberg,15-19 år,totalt,Antal,2022,0,Bromma
0180R001_RegSO2025,0180R001 Abrahamsberg,15-19 år,totalt,Antal,2023,0,Bromma
0180R001_RegSO2025,0180R001 Abrahamsberg,15-19 år,totalt,Antal,2024,154,Bromma
0180R001_RegSO2025,0180R001 Abrahamsberg,20-24 år,totalt,Antal,2021,0,Bromma
0180R001_RegSO2025,0180R001 Abrahamsberg,20-24 år,totalt,Antal,2022,0,Bromma
0180R001_RegSO2025,0180R001 Abrahamsberg,20-24 år,totalt,Antal,2023,0,Bromma
0180R001_RegSO2025,0180R001 Abrahamsberg,20-24 år,totalt,Antal,2024,197,Bromma
0180R001_RegSO2025,0180R001 Abrahamsberg,25-29 år,totalt,Antal,2021,0,Bromma
0180R001_RegSO2025,0180R001 Abrahamsberg,25-29 år,totalt,Antal,2022,0,Bromma
0180R001_RegSO2025,0180R001 Abrahamsberg,25-29 år,totalt,Antal,2023,0,Bromma
0180R001_RegSO2025,0180R001 Abrahamsberg,25-29 år,totalt,Antal,2024,312,Bromma
0180R001_RegSO2025,0180R001 Abrahamsberg,30-34 år,totalt,Antal,2021,0,Bromma
0180R001_RegSO2025,0180R001 Abrahamsberg,30-34 år,totalt,Antal,2022,0,Bromma
0180R001_RegSO2025,0180R001 Abrahamsberg,30-34 år,totalt,Antal,2023,0,Bromma
0180R001_RegSO2025,0180R001 Abrahamsberg,30-34 år,totalt,Antal,2024,444,Bromma
0180R001_RegSO2025,0180R001 Abrahamsberg,35-39 år,totalt,Antal,2021,0,Bromma
0180R001_RegSO2025,0180R001 Abrahamsberg,35-39 år,totalt,Antal,2022,0,Bromma
0180R001_RegSO2025,0180R001 Abrahamsberg,35-39 år,totalt,Antal,2023,0,Bromma
0180R001_RegSO2025,0180R001 Abrahamsberg,35-39 år,totalt,Antal,2024,304,Bromma
0180R001_RegSO2025,0180R001 Abrahamsberg,40-44 år,totalt,Antal,2021,0,Bromma
0180R001_RegSO2025,0180R001 Abrahamsberg,40-44 år,totalt,Antal,2022,0,Bromma
0180R001_RegSO2025,0180R001 Abrahamsberg,40-44 år,totalt,Antal,2023,0,Bromma
0180R001_RegSO2025,0180R001 Abrahamsberg,40-44 år,totalt,Antal,2024,230,Bromma
0180R001_RegSO2025,0180R001 Abrahamsberg,45-49 år,totalt,Antal,2021,0,Bromma
0180R001_RegSO2025,0180R001 Abrahamsberg,45-49 år,totalt,Antal,2022,0,Bromma
0180R001_RegSO2025,0180R001 Abrahamsberg,45-49 år,totalt,Antal,2023,0,Bromma
0180R001_RegSO2025,0180R001 Abrahamsberg,45-49 år,totalt,Antal,2024,219,Bromma
0180R001_RegSO2025,0180R001 Abrahamsberg,50-54 år,totalt,Antal,2021,0,Bromma
0180R001_RegSO2025,0180R001 Abrahamsberg,50-54 år,totalt,Antal,2022,0,Bromma
0180R001_RegSO2025,0180R001 Abrahamsberg,50-54 år,totalt,Antal,2023,0,Bromma
0180R001_RegSO2025,0180R001 Abrahamsberg,50-54 år,totalt,Antal,2024,231,Bromma
0180R001_RegSO2025,0180R001 Abrahamsberg,55-59 år,totalt,Antal,2021,0,Bromma
0180R001_RegSO2025,0180R001 Abrahamsberg,55-59 år,totalt,Antal,2022,0,Bromma
