Region,Statistikområde,Alder,Kon,ContentsCode,Tid,value
0180R001_RegSO2025,Abrahamsberg,0-4 år,totalt,Antal,2024,193
0180R001_RegSO2025,Abrahamsberg,5-9 år,totalt,Antal,2024,166
0180R001_RegSO2025,Abrahamsberg,10-14 år,totalt,Antal,2024,121
0180R001_RegSO2025,Abrahamsberg,15-19 år,totalt,Antal,2024,154
0180R001_RegSO2025,Abrahamsberg,20-24 år,totalt,Antal,2024,197
0180R001_RegSO2025,Abrahamsberg,25-29 år,totalt,Antal,2024,312
0180R001_RegSO2025,Abrahamsberg,30-34 år,totalt,Antal,2024,444
0180R001_RegSO2025,Abrahamsberg,35-39 år,totalt,Antal,2024,304
0180R001_RegSO2025,Abrahamsberg,40-44 år,totalt,Antal,2024,230
0180R001_RegSO2025,Abrahamsberg,45-49 år,totalt,Antal,2024,219
0180R001_RegSO2025,Abrahamsberg,50-54 år,totalt,Antal,2024,231
0180R001_RegSO2025,Abrahamsberg,55-59 år,totalt,Antal,2024,207
0180R001_RegSO2025,Abrahamsberg,60-64 år,totalt,Antal,2024,194
0180R001_RegSO2025,Abrahamsberg,65-69 år,totalt,Antal,2024,159
0180R001_RegSO2025,Abrahamsberg,70-74 år,totalt,Antal,2024,123
0180R001_RegSO2025,Abrahamsberg,75-79 år,totalt,Antal,2024,95
0180R001_RegSO2025,Abrahamsberg,80- år,totalt,Antal,2024,139
0180R002_RegSO2025,Akalla,0-4 år,totalt,Antal,2024,587
0180R002_RegSO2025,Akalla,5-9 år,totalt,Antal,2024,551
0180R002_RegSO2025,Akalla,10-14 år,totalt,Antal,2024,540
0180R002_RegSO2025,Akalla,15-19 år,totalt,Antal,2024,465
0180R002_RegSO2025,Akalla,20-24 år,totalt,Antal,2024,488
0180R002_RegSO2025,Akalla,25-29 år,totalt,Antal,2024,649
0180R002_RegSO2025,Akalla,30-34 år,totalt,Antal,2024,786
0180R002_RegSO2025,Akalla,35-39 år,totalt,Antal,2024,842
0180R002_RegSO2025,Akalla,40-44 år,totalt,Antal,2024,805
0180R002_RegSO2025,Akalla,45-49 år,totalt,Antal,2024,609
0180R002_RegSO2025,Akalla,50-54 år,totalt,Antal,2024,533
0180R002_RegSO2025,Akalla,55-59 år,totalt,Antal,2024,504
0180R002_RegSO2025,Akalla,60-64 år,totalt,Antal,2024,449
0180R002_RegSO2025,Akalla,65-69 år,totalt,Antal,2024,457
0180R002_RegSO2025,Akalla,70-74 år,totalt,Antal,2024,453
0180R002_RegSO2025,Akalla,75-79 år,totalt,Antal,2024,375
0180R002_RegSO2025,Akalla,80- år,totalt,Antal,2024,374
0180R003_RegSO2025,Alvik,0-4 år,totalt,Antal,2024,57
0180R003_RegSO2025,Alvik,5-9 år,totalt,Antal,2024,40
0180R003_RegSO2025,Alvik,10-14 år,totalt,Antal,2024,49
0180R003_RegSO2025,Alvik,15-19 år,totalt,Antal,2024,60
0180R003_RegSO2025,Alvik,20-24 år,totalt,Antal,2024,59
0180R003_RegSO2025,Alvik,25-29 år,totalt,Antal,2024,96
0180R003_RegSO2025,Alvik,30-34 år,totalt,Antal,2024,128
0180R003_RegSO2025,Alvik,35-39 år,totalt,Antal,2024,102
0180R003_RegSO2025,Alvik,40-44 år,totalt,Antal,2024,81
0180R003_RegSO2025,Alvik,45-49 år,totalt,Antal,2024,73
0180R003_RegSO2025,Alvik,50-54 år,totalt,Antal,2024,94
0180R003_RegSO2025,Alvik,55-59 år,totalt,Antal,2024,97
0180R003_RegSO2025,Alvik,60-64 år,totalt,Antal,2024,110
0180R003_RegSO2025,Alvik,65-69 år,totalt,Antal,2024,108
0180R003_RegSO2025,Alvik,70-74 år,totalt,Antal,2024,99
0180R003_RegSO2025,Alvik,75-79 år,totalt,Antal,2024,114
0180R003_RegSO2025,Alvik,80- år,totalt,Antal,2024,121
0180R004_RegSO2025,Aspudden,0-4 år,totalt,Antal,2024,620
0180R004_RegSO2025,Aspudden,5-9 år,totalt,Antal,2024,391
0180R004_RegSO2025,Aspudden,10-14 år,totalt,Antal,2024,412
0180R004_RegSO2025,Aspudden,15-19 år,totalt,Antal,2024,390
0180R004_RegSO2025,Aspudden,20-24 år,totalt,Antal,2024,314
0180R004_RegSO2025,Aspudden,25-29 år,totalt,Antal,2024,626
0180R004_RegSO2025,Aspudden,30-34 år,totalt,Antal,2024,1153
0180R004_RegSO2025,Aspudden,35-39 år,totalt,Antal,2024,898
0180R004_RegSO2025,Aspudden,40-44 år,totalt,Antal,2024,728
0180R004_RegSO2025,Aspudden,45-49 år,totalt,Antal,2024,585
0180R004_RegSO2025,Aspudden,50-54 år,totalt,Antal,2024,572
0180R004_RegSO2025,Aspudden,55-59 år,totalt,Antal,2024,486
0180R004_RegSO2025,Aspudden,60-64 år,totalt,Antal,2024,492
0180R004_RegSO2025,Aspudden,65-69 år,totalt,Antal,2024,415
0180R004_RegSO2025,Aspudden,70-74 år,totalt,Antal,2024,369
0180R004_RegSO2025,Aspudden,75-79 år,totalt,Antal,2024,279
0180R004_RegSO2025,Aspudden,80- år,totalt,Antal,2024,205
0180R005_RegSO2025,Bagarmossen,0-4 år,totalt,Antal,2024,643
0180R005_RegSO2025,Bagarmossen,5-9 år,totalt,Antal,2024,712
0180R005_RegSO2025,Bagarmossen,10-14 år,totalt,Antal,2024,697
0180R005_RegSO2025,Bagarmossen,15-19 år,totalt,Antal,2024,641
0180R005_RegSO2025,Bagarmossen,20-24 år,totalt,Antal,2024,500
0180R005_RegSO2025,Bagarmossen,25-29 år,totalt,Antal,2024,634
0180R005_RegSO2025,Bagarmossen,30-34 år,totalt,Antal,2024,919
0180R005_RegSO2025,Bagarmossen,35-39 år,totalt,Antal,2024,1069
0180R005_RegSO2025,Bagarmossen,40-44 år,totalt,Antal,2024,1075
0180R005_RegSO2025,Bagarmossen,45-49 år,totalt,Antal,2024,847
0180R005_RegSO2025,Bagarmossen,50-54 år,totalt,Antal,2024,725
0180R005_RegSO2025,Bagarmossen,55-59 år,totalt,Antal,2024,692
0180R005_RegSO2025,Bagarmossen,60-64 år,totalt,Antal,2024,664
0180R005_RegSO2025,Bagarmossen,65-69 år,totalt,Antal,2024,568
0180R005_RegSO2025,Bagarmossen,70-74 år,totalt,Antal,2024,410
0180R005_RegSO2025,Bagarmossen,75-79 år,totalt,Antal,2024,313
0180R005_RegSO2025,Bagarmossen,80- år,totalt,Antal,2024,373
0180R006_RegSO2025,Bandhagen,0-4 år,totalt,Antal,2024,422
0180R006_RegSO2025,Bandhagen,5-9 år,totalt,Antal,2024,373
0180R006_RegSO2025,Bandhagen,10-14 år,totalt,Antal,2024,367
0180R006_RegSO2025,Bandhagen,15-19 år,totalt,Antal,2024,319
0180R006_RegSO2025,Bandhagen,20-24 år,totalt,Antal,2024,414
0180R006_RegSO2025,Bandhagen,25-29 år,totalt,Antal,2024,876
0180R006_RegSO2025,Bandhagen,30-34 år,totalt,Antal,2024,1087
0180R006_RegSO2025,Bandhagen,35-39 år,totalt,Antal,2024,823
0180R006_RegSO2025,Bandhagen,40-44 år,totalt,Antal,2024,623
0180R006_RegSO2025,Bandhagen,45-49 år,totalt,Antal,2024,503
0180R006_RegSO2025,Bandhagen,50-54 år,totalt,Antal,2024,440
0180R006_RegSO2025,Bandhagen,55-59 år,totalt,Antal,2024,418
0180R006_RegSO2025,Bandhagen,60-64 år,totalt,Antal,2024,348
0180R006_RegSO2025,Bandhagen,65-69 år,totalt,Antal,2024,365
0180R006_RegSO2025,Bandhagen,70-74 år,totalt,Antal,2024,243
0180R006_RegSO2025,Bandhagen,75-79 år,totalt,Antal,2024,173
0180R006_RegSO2025,Bandhagen,80- år,totalt,Antal,2024,217
0180R007_RegSO2025,Beckomberga,0-4 år,totalt,Antal,2024,358
0180R007_RegSO2025,Beckomberga,5-9 år,totalt,Antal,2024,407
0180R007_RegSO2025,Beckomberga,10-14 år,totalt,Antal,2024,436
0180R007_RegSO2025,Beckomberga,15-19 år,totalt,Antal,2024,401
0180R007_RegSO2025,Beckomberga,20-24 år,totalt,Antal,2024,249
0180R007_RegSO2025,Beckomberga,25-29 år,totalt,Antal,2024,241
0180R007_RegSO2025,Beckomberga,30-34 år,totalt,Antal,2024,394
0180R007_RegSO2025,Beckomberga,35-39 år,totalt,Antal,2024,446
0180R007_RegSO2025,Beckomberga,40-44 år,totalt,Antal,2024,433
0180R007_RegSO2025,Beckomberga,45-49 år,totalt,Antal,2024,439
0180R007_RegSO2025,Beckomberga,50-54 år,totalt,Antal,2024,443
0180R007_RegSO2025,Beckomberga,55-59 år,totalt,Antal,2024,323
0180R007_RegSO2025,Beckomberga,60-64 år,totalt,Antal,2024,239
0180R007_RegSO2025,Beckomberga,65-69 år,totalt,Antal,2024,235
0180R007_RegSO2025,Beckomberga,70-74 år,totalt,Antal,2024,261
0180R007_RegSO2025,Beckomberga,75-79 år,totalt,Antal,2024,222
0180R007_RegSO2025,Beckomberga,80- år,totalt,Antal,2024,345
0180R008_RegSO2025,Björkhagen,0-4 år,totalt,Antal,2024,403
0180R008_RegSO2025,Björkhagen,5-9 år,totalt,Antal,2024,298
0180R008_RegSO2025,Björkhagen,10-14 år,totalt,Antal,2024,337
0180R008_RegSO2025,Björkhagen,15-19 år,totalt,Antal,2024,292
0180R008_RegSO2025,Björkhagen,20-24 år,totalt,Antal,2024,317
0180R008_RegSO2025,Björkhagen,25-29 år,totalt,Antal,2024,491
0180R008_RegSO2025,Björkhagen,30-34 år,totalt,Antal,2024,778
0180R008_RegSO2025,Björkhagen,35-39 år,totalt,Antal,2024,589
0180R008_RegSO2025,Björkhagen,40-44 år,totalt,Antal,2024,552
0180R008_RegSO2025,Björkhagen,45-49 år,totalt,Antal,2024,425
0180R008_RegSO2025,Björkhagen,50-54 år,totalt,Antal,2024,442
0180R008_RegSO2025,Björkhagen,55-59 år,totalt,Antal,2024,434
0180R008_RegSO2025,Björkhagen,60-64 år,totalt,Antal,2024,451
0180R008_RegSO2025,Björkhagen,65-69 år,totalt,Antal,2024,342
0180R008_RegSO2025,Björkhagen,70-74 år,totalt,Antal,2024,271
0180R008_RegSO2025,Björkhagen,75-79 år,totalt,Antal,2024,190
0180R008_RegSO2025,Björkhagen,80- år,totalt,Antal,2024,176
0180R009_RegSO2025,Blackeberg,0-4 år,totalt,Antal,2024,486
0180R009_RegSO2025,Blackeberg,5-9 år,totalt,Antal,2024,467
0180R009_RegSO2025,Blackeberg,10-14 år,totalt,Antal,2024,472
0180R009_RegSO2025,Blackeberg,15-19 år,totalt,Antal,2024,407
0180R009_RegSO2025,Blackeberg,20-24 år,totalt,Antal,2024,354
0180R009_RegSO2025,Blackeberg,25-29 år,totalt,Antal,2024,622
0180R009_RegSO2025,Blackeberg,30-34 år,totalt,Antal,2024,924
0180R009_RegSO2025,Blackeberg,35-39 år,totalt,Antal,2024,823
0180R009_RegSO2025,Blackeberg,40-44 år,totalt,Antal,2024,746
0180R009_RegSO2025,Blackeberg,45-49 år,totalt,Antal,2024,588
0180R009_RegSO2025,Blackeberg,50-54 år,totalt,Antal,2024,506
0180R009_RegSO2025,Blackeberg,55-59 år,totalt,Antal,2024,514
0180R009_RegSO2025,Blackeberg,60-64 år,totalt,Antal,2024,510
0180R009_RegSO2025,Blackeberg,65-69 år,totalt,Antal,2024,403
0180R009_RegSO2025,Blackeberg,70-74 år,totalt,Antal,2024,345
0180R009_RegSO2025,Blackeberg,75-79 år,totalt,Antal,2024,309
0180R009_RegSO2025,Blackeberg,80- år,totalt,Antal,2024,464
0180R010_RegSO2025,Bredäng,0-4 år,totalt,Antal,2024,609
0180R010_RegSO2025,Bredäng,5-9 år,totalt,Antal,2024,639
0180R010_RegSO2025,Bredäng,10-14 år,totalt,Antal,2024,627
0180R010_RegSO2025,Bredäng,15-19 år,totalt,Antal,2024,640
0180R010_RegSO2025,Bredäng,20-24 år,totalt,Antal,2024,598
0180R010_RegSO2025,Bredäng,25-29 år,totalt,Antal,2024,837
0180R010_RegSO2025,Bredäng,30-34 år,totalt,Antal,2024,976
0180R010_RegSO2025,Bredäng,35-39 år,totalt,Antal,2024,1041
0180R010_RegSO2025,Bredäng,40-44 år,totalt,Antal,2024,861
0180R010_RegSO2025,Bredäng,45-49 år,totalt,Antal,2024,668
0180R010_RegSO2025,Bredäng,50-54 år,totalt,Antal,2024,635
0180R010_RegSO2025,Bredäng,55-59 år,totalt,Antal,2024,606
0180R010_RegSO2025,Bredäng,60-64 år,totalt,Antal,2024,586
0180R010_RegSO2025,Bredäng,65-69 år,totalt,Antal,2024,456
0180R010_RegSO2025,Bredäng,70-74 år,totalt,Antal,2024,354
0180R010_RegSO2025,Bredäng,75-79 år,totalt,Antal,2024,255
0180R010_RegSO2025,Bredäng,80- år,totalt,Antal,2024,359
0180R011_RegSO2025,Bromma kyrka,0-4 år,totalt,Antal,2024,112
0180R011_RegSO2025,Bromma kyrka,5-9 år,totalt,Antal,2024,207
0180R011_RegSO2025,Bromma kyrka,10-14 år,totalt,Antal,2024,255
0180R011_RegSO2025,Bromma kyrka,15-19 år,totalt,Antal,2024,292
0180R011_RegSO2025,Bromma kyrka,20-24 år,totalt,Antal,2024,140
0180R011_RegSO2025,Bromma kyrka,25-29 år,totalt,Antal,2024,49
0180R011_RegSO2025,Bromma kyrka,30-34 år,totalt,Antal,2024,85
0180R011_RegSO2025,Bromma kyrka,35-39 år,totalt,Antal,2024,144
0180R011_RegSO2025,Bromma kyrka,40-44 år,totalt,Antal,2024,167
0180R011_RegSO2025,Bromma kyrka,45-49 år,totalt,Antal,2024,250
0180R011_RegSO2025,Bromma kyrka,50-54 år,totalt,Antal,2024,254
0180R011_RegSO2025,Bromma kyrka,55-59 år,totalt,Antal,2024,200
0180R011_RegSO2025,Bromma kyrka,60-64 år,totalt,Antal,2024,159
0180R011_RegSO2025,Bromma kyrka,65-69 år,totalt,Antal,2024,100
0180R011_RegSO2025,Bromma kyrka,70-74 år,totalt,Antal,2024,83
0180R011_RegSO2025,Bromma kyrka,75-79 år,totalt,Antal,2024,85
0180R011_RegSO2025,Bromma kyrka,80- år,totalt,Antal,2024,112
0180R012_RegSO2025,Bromsten,0-4 år,totalt,Antal,2024,391
0180R012_RegSO2025,Bromsten,5-9 år,totalt,Antal,2024,479
0180R012_RegSO2025,Bromsten,10-14 år,totalt,Antal,2024,568
0180R012_RegSO2025,Bromsten,15-19 år,totalt,Antal,2024,528
0180R012_RegSO2025,Bromsten,20-24 år,totalt,Antal,2024,562
0180R012_RegSO2025,Bromsten,25-29 år,totalt,Antal,2024,621
0180R012_RegSO2025,Bromsten,30-34 år,totalt,Antal,2024,603
0180R012_RegSO2025,Bromsten,35-39 år,totalt,Antal,2024,578
0180R012_RegSO2025,Bromsten,40-44 år,totalt,Antal,2024,575
0180R012_RegSO2025,Bromsten,45-49 år,totalt,Antal,2024,500
0180R012_RegSO2025,Bromsten,50-54 år,totalt,Antal,2024,530
0180R012_RegSO2025,Bromsten,55-59 år,totalt,Antal,2024,476
0180R012_RegSO2025,Bromsten,60-64 år,totalt,Antal,2024,367
0180R012_RegSO2025,Bromsten,65-69 år,totalt,Antal,2024,310
0180R012_RegSO2025,Bromsten,70-74 år,totalt,Antal,2024,233
0180R012_RegSO2025,Bromsten,75-79 år,totalt,Antal,2024,195
0180R012_RegSO2025,Bromsten,80- år,totalt,Antal,2024,195
0180R013_RegSO2025,Bällsta,0-4 år,totalt,Antal,2024,50
0180R013_RegSO2025,Bällsta,5-9 år,totalt,Antal,2024,75
0180R013_RegSO2025,Bällsta,10-14 år,totalt,Antal,2024,75
0180R013_RegSO2025,Bällsta,15-19 år,totalt,Antal,2024,80
0180R013_RegSO2025,Bällsta,20-24 år,totalt,Antal,2024,28
0180R013_RegSO2025,Bällsta,25-29 år,totalt,Antal,2024,19
0180R013_RegSO2025,Bällsta,30-34 år,totalt,Antal,2024,38
0180R013_RegSO2025,Bällsta,35-39 år,totalt,Antal,2024,67
0180R013_RegSO2025,Bällsta,40-44 år,totalt,Antal,2024,69
0180R013_RegSO2025,Bällsta,45-49 år,totalt,Antal,2024,74
0180R013_RegSO2025,Bällsta,50-54 år,totalt,Antal,2024,81
0180R013_RegSO2025,Bällsta,55-59 år,totalt,Antal,2024,59
0180R013_RegSO2025,Bällsta,60-64 år,totalt,Antal,2024,32
0180R013_RegSO2025,Bällsta,65-69 år,totalt,Antal,2024,29
0180R013_RegSO2025,Bällsta,70-74 år,totalt,Antal,2024,24
0180R013_RegSO2025,Bällsta,75-79 år,totalt,Antal,2024,13
0180R013_RegSO2025,Bällsta,80- år,totalt,Antal,2024,15
0180R014_RegSO2025,Djurgården,0-4 år,totalt,Antal,2024,30
0180R014_RegSO2025,Djurgården,5-9 år,totalt,Antal,2024,35
0180R014_RegSO2025,Djurgården,10-14 år,totalt,Antal,2024,46
0180R014_RegSO2025,Djurgården,15-19 år,totalt,Antal,2024,42
0180R014_RegSO2025,Djurgården,20-24 år,totalt,Antal,2024,32
0180R014_RegSO2025,Djurgården,25-29 år,totalt,Antal,2024,43
0180R014_RegSO2025,Djurgården,30-34 år,totalt,Antal,2024,44
0180R014_RegSO2025,Djurgården,35-39 år,totalt,Antal,2024,28
0180R014_RegSO2025,Djurgården,40-44 år,totalt,Antal,2024,46
0180R014_RegSO2025,Djurgården,45-49 år,totalt,Antal,2024,46
0180R014_RegSO2025,Djurgården,50-54 år,totalt,Antal,2024,60
0180R014_RegSO2025,Djurgården,55-59 år,totalt,Antal,2024,60
0180R014_RegSO2025,Djurgården,60-64 år,totalt,Antal,2024,67
0180R014_RegSO2025,Djurgården,65-69 år,totalt,Antal,2024,53
0180R014_RegSO2025,Djurgården,70-74 år,totalt,Antal,2024,59
0180R014_RegSO2025,Djurgården,75-79 år,totalt,Antal,2024,49
0180R014_RegSO2025,Djurgården,80- år,totalt,Antal,2024,87
0180R015_RegSO2025,Eneby,0-4 år,totalt,Antal,2024,56
0180R015_RegSO2025,Eneby,5-9 år,totalt,Antal,2024,53
0180R015_RegSO2025,Eneby,10-14 år,totalt,Antal,2024,80
0180R015_RegSO2025,Eneby,15-19 år,totalt,Antal,2024,81
0180R015_RegSO2025,Eneby,20-24 år,totalt,Antal,2024,47
0180R015_RegSO2025,Eneby,25-29 år,totalt,Antal,2024,19
0180R015_RegSO2025,Eneby,30-34 år,totalt,Antal,2024,43
0180R015_RegSO2025,Eneby,35-39 år,totalt,Antal,2024,47
0180R015_RegSO2025,Eneby,40-44 år,totalt,Antal,2024,71
0180R015_RegSO2025,Eneby,45-49 år,totalt,Antal,2024,67
0180R015_RegSO2025,Eneby,50-54 år,totalt,Antal,2024,98
0180R015_RegSO2025,Eneby,55-59 år,totalt,Antal,2024,63
0180R015_RegSO2025,Eneby,60-64 år,totalt,Antal,2024,36
0180R015_RegSO2025,Eneby,65-69 år,totalt,Antal,2024,25
0180R015_RegSO2025,Eneby,70-74 år,totalt,Antal,2024,36
0180R015_RegSO2025,Eneby,75-79 år,totalt,Antal,2024,28
0180R015_RegSO2025,Eneby,80- år,totalt,Antal,2024,19
0180R016_RegSO2025,Engelbrekts kyrka,0-4 år,totalt,Antal,2024,681
0180R016_RegSO2025,Engelbrekts kyrka,5-9 år,totalt,Antal,2024,524
0180R016_RegSO2025,Engelbrekts kyrka,10-14 år,totalt,Antal,2024,530
0180R016_RegSO2025,Engelbrekts kyrka,15-19 år,totalt,Antal,2024,612
0180R016_RegSO2025,Engelbrekts kyrka,20-24 år,totalt,Antal,2024,589
0180R016_RegSO2025,Engelbrekts kyrka,25-29 år,totalt,Antal,2024,877
0180R016_RegSO2025,Engelbrekts kyrka,30-34 år,totalt,Antal,2024,1022
0180R016_RegSO2025,Engelbrekts kyrka,35-39 år,totalt,Antal,2024,839
0180R016_RegSO2025,Engelbrekts kyrka,40-44 år,totalt,Antal,2024,677
0180R016_RegSO2025,Engelbrekts kyrka,45-49 år,totalt,Antal,2024,623
0180R016_RegSO2025,Engelbrekts kyrka,50-54 år,totalt,Antal,2024,830
0180R016_RegSO2025,Engelbrekts kyrka,55-59 år,totalt,Antal,2024,844
0180R016_RegSO2025,Engelbrekts kyrka,60-64 år,totalt,Antal,2024,762
0180R016_RegSO2025,Engelbrekts kyrka,65-69 år,totalt,Antal,2024,628
0180R016_RegSO2025,Engelbrekts kyrka,70-74 år,totalt,Antal,2024,646
0180R016_RegSO2025,Engelbrekts kyrka,75-79 år,totalt,Antal,2024,733
0180R016_RegSO2025,Engelbrekts kyrka,80- år,totalt,Antal,2024,895
0180R017_RegSO2025,Enskede Gård,0-4 år,totalt,Antal,2024,182
0180R017_RegSO2025,Enskede Gård,5-9 år,totalt,Antal,2024,174
0180R017_RegSO2025,Enskede Gård,10-14 år,totalt,Antal,2024,204
0180R017_RegSO2025,Enskede Gård,15-19 år,totalt,Antal,2024,237
0180R017_RegSO2025,Enskede Gård,20-24 år,totalt,Antal,2024,131
0180R017_RegSO2025,Enskede Gård,25-29 år,totalt,Antal,2024,153
0180R017_RegSO2025,Enskede Gård,30-34 år,totalt,Antal,2024,214
0180R017_RegSO2025,Enskede Gård,35-39 år,totalt,Antal,2024,249
0180R017_RegSO2025,Enskede Gård,40-44 år,totalt,Antal,2024,236
0180R017_RegSO2025,Enskede Gård,45-49 år,totalt,Antal,2024,258
0180R017_RegSO2025,Enskede Gård,50-54 år,totalt,Antal,2024,300
0180R017_RegSO2025,Enskede Gård,55-59 år,totalt,Antal,2024,244
0180R017_RegSO2025,Enskede Gård,60-64 år,totalt,Antal,2024,165
0180R017_RegSO2025,Enskede Gård,65-69 år,totalt,Antal,2024,172
0180R017_RegSO2025,Enskede Gård,70-74 år,totalt,Antal,2024,170
0180R017_RegSO2025,Enskede Gård,75-79 år,totalt,Antal,2024,119
0180R017_RegSO2025,Enskede Gård,80- år,totalt,Antal,2024,113
0180R018_RegSO2025,Enskededalen,0-4 år,totalt,Antal,2024,118
0180R018_RegSO2025,Enskededalen,5-9 år,totalt,Antal,2024,173
0180R018_RegSO2025,Enskededalen,10-14 år,totalt,Antal,2024,218
0180R018_RegSO2025,Enskededalen,15-19 år,totalt,Antal,2024,209
0180R018_RegSO2025,Enskededalen,20-24 år,totalt,Antal,2024,128
0180R018_RegSO2025,Enskededalen,25-29 år,totalt,Antal,2024,120
0180R018_RegSO2025,Enskededalen,30-34 år,totalt,Antal,2024,117
0180R018_RegSO2025,Enskededalen,35-39 år,totalt,Antal,2024,154
0180R018_RegSO2025,Enskededalen,40-44 år,totalt,Antal,2024,193
0180R018_RegSO2025,Enskededalen,45-49 år,totalt,Antal,2024,235
0180R018_RegSO2025,Enskededalen,50-54 år,totalt,Antal,2024,184
0180R018_RegSO2025,Enskededalen,55-59 år,totalt,Antal,2024,192
0180R018_RegSO2025,Enskededalen,60-64 år,totalt,Antal,2024,172
0180R018_RegSO2025,Enskededalen,65-69 år,totalt,Antal,2024,135
0180R018_RegSO2025,Enskededalen,70-74 år,totalt,Antal,2024,93
0180R018_RegSO2025,Enskededalen,75-79 år,totalt,Antal,2024,112
0180R018_RegSO2025,Enskededalen,80- år,totalt,Antal,2024,132
0180R019_RegSO2025,Enskedefältet,0-4 år,totalt,Antal,2024,109
0180R019_RegSO2025,Enskedefältet,5-9 år,totalt,Antal,2024,150
0180R019_RegSO2025,Enskedefältet,10-14 år,totalt,Antal,2024,181
0180R019_RegSO2025,Enskedefältet,15-19 år,totalt,Antal,2024,156
0180R019_RegSO2025,Enskedefältet,20-24 år,totalt,Antal,2024,86
0180R019_RegSO2025,Enskedefältet,25-29 år,totalt,Antal,2024,63
0180R019_RegSO2025,Enskedefältet,30-34 år,totalt,Antal,2024,90
0180R019_RegSO2025,Enskedefältet,35-39 år,totalt,Antal,2024,138
0180R019_RegSO2025,Enskedefältet,40-44 år,totalt,Antal,2024,159
0180R019_RegSO2025,Enskedefältet,45-49 år,totalt,Antal,2024,164
0180R019_RegSO2025,Enskedefältet,50-54 år,totalt,Antal,2024,155
0180R019_RegSO2025,Enskedefältet,55-59 år,totalt,Antal,2024,116
0180R019_RegSO2025,Enskedefältet,60-64 år,totalt,Antal,2024,91
0180R019_RegSO2025,Enskedefältet,65-69 år,totalt,Antal,2024,97
0180R019_RegSO2025,Enskedefältet,70-74 år,totalt,Antal,2024,67
0180R019_RegSO2025,Enskedefältet,75-79 år,totalt,Antal,2024,79
0180R019_RegSO2025,Enskedefältet,80- år,totalt,Antal,2024,45
0180R020_RegSO2025,Fagersjö,0-4 år,totalt,Antal,2024,179
0180R020_RegSO2025,Fagersjö,5-9 år,totalt,Antal,2024,215
0180R020_RegSO2025,Fagersjö,10-14 år,totalt,Antal,2024,224
0180R020_RegSO2025,Fagersjö,15-19 år,totalt,Antal,2024,211
0180R020_RegSO2025,Fagersjö,20-24 år,totalt,Antal,2024,151
0180R020_RegSO2025,Fagersjö,25-29 år,totalt,Antal,2024,149
0180R020_RegSO2025,Fagersjö,30-34 år,totalt,Antal,2024,195
0180R020_RegSO2025,Fagersjö,35-39 år,totalt,Antal,2024,290
0180R020_RegSO2025,Fagersjö,40-44 år,totalt,Antal,2024,214
0180R020_RegSO2025,Fagersjö,45-49 år,totalt,Antal,2024,219
0180R020_RegSO2025,Fagersjö,50-54 år,totalt,Antal,2024,197
0180R020_RegSO2025,Fagersjö,55-59 år,totalt,Antal,2024,146
0180R020_RegSO2025,Fagersjö,60-64 år,totalt,Antal,2024,155
0180R020_RegSO2025,Fagersjö,65-69 år,totalt,Antal,2024,126
0180R020_RegSO2025,Fagersjö,70-74 år,totalt,Antal,2024,80
0180R020_RegSO2025,Fagersjö,75-79 år,totalt,Antal,2024,45
0180R020_RegSO2025,Fagersjö,80- år,totalt,Antal,2024,87
0180R021_RegSO2025,Farsta,0-4 år,totalt,Antal,2024,894
0180R021_RegSO2025,Farsta,5-9 år,totalt,Antal,2024,939
0180R021_RegSO2025,Farsta,10-14 år,totalt,Antal,2024,1017
0180R021_RegSO2025,Farsta,15-19 år,totalt,Antal,2024,909
0180R021_RegSO2025,Farsta,20-24 år,totalt,Antal,2024,840
0180R021_RegSO2025,Farsta,25-29 år,totalt,Antal,2024,1136
0180R021_RegSO2025,Farsta,30-34 år,totalt,Antal,2024,1405
0180R021_RegSO2025,Farsta,35-39 år,totalt,Antal,2024,1452
0180R021_RegSO2025,Farsta,40-44 år,totalt,Antal,2024,1250
0180R021_RegSO2025,Farsta,45-49 år,totalt,Antal,2024,1040
0180R021_RegSO2025,Farsta,50-54 år,totalt,Antal,2024,970
0180R021_RegSO2025,Farsta,55-59 år,totalt,Antal,2024,804
0180R021_RegSO2025,Farsta,60-64 år,totalt,Antal,2024,850
0180R021_RegSO2025,Farsta,65-69 år,totalt,Antal,2024,746
0180R021_RegSO2025,Farsta,70-74 år,totalt,Antal,2024,619
0180R021_RegSO2025,Farsta,75-79 år,totalt,Antal,2024,532
0180R021_RegSO2025,Farsta,80- år,totalt,Antal,2024,700
0180R022_RegSO2025,Flysta,0-4 år,totalt,Antal,2024,103
0180R022_RegSO2025,Flysta,5-9 år,totalt,Antal,2024,164
