Region,Statistikområde,Hushallstyp,ContentsCode,Tid,value
0180R001_RegSO2025,Abrahamsberg,sammanboende med barn,Antal hushåll,2024,300
0180R001_RegSO2025,Abrahamsberg,sammanboende utan barn,Antal hushåll,2024,322
0180R001_RegSO2025,Abrahamsberg,ensamstående med barn,Antal hushåll,2024,179
0180R001_RegSO2025,Abrahamsberg,ensamstående utan barn,Antal hushåll,2024,994
0180R001_RegSO2025,Abrahamsberg,övriga hushåll,Antal hushåll,2024,120
0180R001_RegSO2025,Abrahamsberg,totalt antal hushåll,Antal hushåll,2024,1915
0180R002_RegSO2025,Akalla,sammanboende med barn,Antal hushåll,2024,774
0180R002_RegSO2025,Akalla,sammanboende utan barn,Antal hushåll,2024,541
0180R002_RegSO2025,Akalla,ensamstående med barn,Antal hushåll,2024,379
0180R002_RegSO2025,Akalla,ensamstående utan barn,Antal hushåll,2024,1738
0180R002_RegSO2025,Akalla,övriga hushåll,Antal hushåll,2024,683
0180R002_RegSO2025,Akalla,totalt antal hushåll,Antal hushåll,2024,4115
0180R003_RegSO2025,Alvik,sammanboende med barn,Antal hushåll,2024,106
0180R003_RegSO2025,Alvik,sammanboende utan barn,Antal hushåll,2024,167
0180R003_RegSO2025,Alvik,ensamstående med barn,Antal hushåll,2024,61
0180R003_RegSO2025,Alvik,ensamstående utan barn,Antal hushåll,2024,553
0180R003_RegSO2025,Alvik,övriga hushåll,Antal hushåll,2024,28
0180R003_RegSO2025,Alvik,totalt antal hushåll,Antal hushåll,2024,915
0180R004_RegSO2025,Aspudden,sammanboende med barn,Antal hushåll,2024,854
0180R004_RegSO2025,Aspudden,sammanboende utan barn,Antal hushåll,2024,859
0180R004_RegSO2025,Aspudden,ensamstående med barn,Antal hushåll,2024,461
0180R004_RegSO2025,Aspudden,ensamstående utan barn,Antal hushåll,2024,2143
0180R004_RegSO2025,Aspudden,övriga hushåll,Antal hushåll,2024,305
0180R004_RegSO2025,Aspudden,totalt antal hushåll,Antal hushåll,2024,4622
0180R005_RegSO2025,Bagarmossen,sammanboende med barn,Antal hushåll,2024,1071
0180R005_RegSO2025,Bagarmossen,sammanboende utan barn,Antal hushåll,2024,786
0180R005_RegSO2025,Bagarmossen,ensamstående med barn,Antal hushåll,2024,672
0180R005_RegSO2025,Bagarmossen,ensamstående utan barn,Antal hushåll,2024,2600
0180R005_RegSO2025,Bagarmossen,övriga hushåll,Antal hushåll,2024,477
0180R005_RegSO2025,Bagarmossen,totalt antal hushåll,Antal hushåll,2024,5606
0180R006_RegSO2025,Bandhagen,sammanboende med barn,Antal hushåll,2024,597
0180R006_RegSO2025,Bandhagen,sammanboende utan barn,Antal hushåll,2024,739
0180R006_RegSO2025,Bandhagen,ensamstående med barn,Antal hushåll,2024,421
0180R006_RegSO2025,Bandhagen,ensamstående utan barn,Antal hushåll,2024,2152
0180R006_RegSO2025,Bandhagen,övriga hushåll,Antal hushåll,2024,390
0180R006_RegSO2025,Bandhagen,totalt antal hushåll,Antal hushåll,2024,4299
0180R007_RegSO2025,Beckomberga,sammanboende med barn,Antal hushåll,2024,681
0180R007_RegSO2025,Beckomberga,sammanboende utan barn,Antal hushåll,2024,452
0180R007_RegSO2025,Beckomberga,ensamstående med barn,Antal hushåll,2024,314
