Stadsdel,Hyresuppg,Tid,Medelhyra_kvm,Medianhyra_kvm
Bromma,Ny månadshyra per kvm,2021,127,123
Bromma,Ny månadshyra per kvm,2022,130,126
Bromma,Ny månadshyra per kvm,2023,138,134
Bromma,Ny månadshyra per kvm,2024,147,145
Bromma,Årshyra per kvm,2021,1524,1477
Bromma,Årshyra per kvm,2022,1563,1511
Bromma,Årshyra per kvm,2023,1654,1594
Bromma,Årshyra per kvm,2024,1748,1731
Hägersten-Älvsjö,Ny månadshyra per kvm,2021,126,131
Hägersten-Älvsjö,Ny månadshyra per kvm,2022,130,134
Hägersten-Älvsjö,Ny månadshyra per kvm,2023,138,140
Hägersten-Älvsjö,Ny månadshyra per kvm,2024,145,147
Hägersten-Älvsjö,Årshyra per kvm,2021,1502,1570
Hägersten-Älvsjö,Årshyra per kvm,2022,1557,1601
Hägersten-Älvsjö,Årshyra per kvm,2023,1655,1675
Hägersten-Älvsjö,Årshyra per kvm,2024,1734,1770
Totalt Stockholm,Ny månadshyra per kvm,2021,119,118
Totalt Stockholm,Ny månadshyra per kvm,2022,122,121
Totalt Stockholm,Ny månadshyra per kvm,2023,129,128
Totalt Stockholm,Ny månadshyra per kvm,2024,137,136
Totalt Stockholm,Årshyra per kvm,2021,1425,1411
Totalt Stockholm,Årshyra per kvm,2022,1466,1448
Totalt Stockholm,Årshyra per kvm,2023,1540,1526
Totalt Stockholm,Årshyra per kvm,2024,1630,1619
