Region,Tid,Andelen med ekonomiskt bistånd och/eller långtidsarbetslösa,Andelen med förgymnasial utbildning,Andelen personer med låg ekonomisk standard (oavsett ålder),Områdestyp,Socioekonomiskt index,Omrade,stadsdelsomrade
0180R001_RegSO2025,2024,2.7,5.3,7.7,4.0,5.2,0180R001 Abrahamsberg,Bromma
0180R002_RegSO2025,2024,5.5,15.5,21.7,2.0,14.2,0180R002 Akalla,
0180R003_RegSO2025,2024,1.0,1.7,6.4,5.0,3.0,0180R003 Alvik,Bromma
0180R004_RegSO2025,2024,3.0,4.9,9.0,4.0,5.6,0180R004 Aspudden,Hägersten-Älvsjö
0180R005_RegSO2025,2024,3.8,7.7,14.0,4.0,8.5,0180R005 Bagarmossen,
0180R006_RegSO2025,2024,3.9,8.5,13.8,4.0,8.7,0180R006 Bandhagen,
0180R007_RegSO2025,2024,4.3,6.5,9.1,4.0,6.6,0180R007 Beckomberga,Bromma
0180R008_RegSO2025,2024,2.3,3.8,9.3,4.0,5.1,0180R008 Björkhagen,
0180R009_RegSO2025,2024,2.7,7.2,12.2,4.0,7.4,0180R009 Blackeberg,Bromma
0180R010_RegSO2025,2024,5.7,12.0,19.6,3.0,12.4,0180R010 Bredäng,
0180R011_RegSO2025,2024,1.8,2.6,2.1,5.0,2.2,0180R011 Bromma kyrka,Bromma
0180R012_RegSO2025,2024,4.5,11.2,12.6,3.0,9.4,0180R012 Bromsten,
0180R013_RegSO2025,2024,2.1,5.3,1.8,5.0,3.1,0180R013 Bällsta,Bromma
0180R014_RegSO2025,2024,1.1,4.6,9.6,4.0,5.1,0180R014 Djurgården,
0180R015_RegSO2025,2024,1.2,3.8,2.9,5.0,2.6,0180R015 Eneby,Bromma
0180R016_RegSO2025,2024,1.9,3.0,6.3,4.0,3.7,0180R016 Engelbrekts kyrka,
0180R017_RegSO2025,2024,2.7,6.2,6.6,4.0,5.2,0180R017 Enskede Gård,
0180R018_RegSO2025,2024,1.6,3.0,5.1,5.0,3.2,0180R018 Enskededalen,
0180R019_RegSO2025,2024,3.2,4.7,5.3,4.0,4.4,0180R019 Enskedefältet,
0180R020_RegSO2025,2024,5.3,15.2,20.9,3.0,13.8,0180R020 Fagersjö,
0180R021_RegSO2025,2024,4.7,11.3,14.5,3.0,10.2,0180R021 Farsta,
0180R022_RegSO2025,2024,1.3,7.3,4.7,4.0,4.4,0180R022 Flysta,
0180R023_RegSO2025,2024,1.8,2.9,7.1,4.0,3.9,0180R023 Fredhäll,
0180R024_RegSO2025,2024,2.5,6.4,8.0,4.0,5.6,0180R024 Fruängen,Hägersten-Älvsjö
0180R025_RegSO2025,2024,3.1,6.9,8.0,4.0,6.0,0180R025 Gamla Enskede,
0180R026_RegSO2025,2024,7.9,16.0,26.5,2.0,16.8,0180R026 Grimsta,
0180R027_RegSO2025,2024,2.7,3.9,6.9,4.0,4.5,0180R027 Gröndal,Hägersten-Älvsjö
