Region,Tid,Skattesats till kommun,Skattesats till region,"Skattesats, total kommunal"
0114,2026,19.42,12.33,31.75
0115,2026,18.9,12.33,31.23
0117,2026,16.6,12.33,28.93
0120,2026,18.98,12.33,31.31
0123,2026,19.19,12.33,31.52
0125,2026,19.12,12.33,31.45
0126,2026,19.38,12.33,31.71
0127,2026,19.9,12.33,32.23
0128,2026,19.67,12.33,32.0
0136,2026,18.95,12.33,31.28
0138,2026,19.5,12.33,31.83
0139,2026,19.4,12.33,31.73
0140,2026,19.97,12.33,32.3
0160,2026,17.55,12.33,29.88
0162,2026,18.25,12.33,30.58
0163,2026,18.12,12.33,30.45
0180,2026,18.22,12.33,30.55
0181,2026,20.05,12.33,32.38
0182,2026,17.78,12.33,30.11
0183,2026,19.25,12.33,31.58
0184,2026,17.37,12.33,29.7
0186,2026,17.34,12.33,29.67
0187,2026,19.3,12.33,31.63
0188,2026,19.72,12.33,32.05
0191,2026,19.5,12.33,31.83
0192,2026,19.85,12.33,32.18
0305,2026,21.59,11.71,33.3
0319,2026,22.69,11.71,34.4
0330,2026,20.91,11.71,32.62
0331,2026,22.5,11.71,34.21
0360,2026,21.29,11.71,33.0
0380,2026,21.14,11.71,32.85
0381,2026,21.34,11.71,33.05
0382,2026,21.59,11.71,33.3
0428,2026,22.67,10.83,33.5
0461,2026,22.12,10.83,32.95
0480,2026,21.42,10.83,32.25
0481,2026,22.22,10.83,33.05
0482,2026,22.27,10.83,33.1
0483,2026,22.12,10.83,32.95
0484,2026,22.02,10.83,32.85
0486,2026,21.67,10.83,32.5
0488,2026,21.2,10.83,32.03
0509,2026,22.4,11.55,33.95
0512,2026,22.55,11.55,34.1
0513,2026,21.45,11.55,33.0
0560,2026,21.82,11.55,33.37
0561,2026,22.39,11.55,33.94
0562,2026,22.15,11.55,33.7
0563,2026,22.48,11.55,34.03
0580,2026,20.2,11.55,31.75
0581,2026,21.75,11.55,33.3
0582,2026,21.98,11.55,33.53
0583,2026,21.7,11.55,33.25
0584,2026,22.8,11.55,34.35
0586,2026,21.9,11.55,33.45
0604,2026,22.09,11.76,33.85
0617,2026,22.24,11.76,34.0
