Region,Alder,Kon,ContentsCode,Tid,value
0180C1010,totalt,totalt,Antal,2024,1809
0180C1020,totalt,totalt,Antal,2024,1881
0180C1030,totalt,totalt,Antal,2024,1928
0180C1040,totalt,totalt,Antal,2024,2685
0180C1050,totalt,totalt,Antal,2024,2535
0180C1060,totalt,totalt,Antal,2024,2058
0180C1070,totalt,totalt,Antal,2024,1324
0180C1080,totalt,totalt,Antal,2024,1542
0180C1090,totalt,totalt,Antal,2024,1577
0180C1101,totalt,totalt,Antal,2024,1936
0180C1102,totalt,totalt,Antal,2024,1376
0180C1110,totalt,totalt,Antal,2024,2248
0180C1120,totalt,totalt,Antal,2024,1406
0180C1130,totalt,totalt,Antal,2024,1357
0180C1140,totalt,totalt,Antal,2024,1601
0180C1150,totalt,totalt,Antal,2024,1477
0180C1160,totalt,totalt,Antal,2024,1727
0180C1170,totalt,totalt,Antal,2024,2158
0180C1180,totalt,totalt,Antal,2024,1627
0180C1190,totalt,totalt,Antal,2024,1881
0180C1200,totalt,totalt,Antal,2024,1454
0180C1210,totalt,totalt,Antal,2024,2003
0180C1220,totalt,totalt,Antal,2024,2336
0180C1230,totalt,totalt,Antal,2024,1936
0180C1241,totalt,totalt,Antal,2024,1882
0180C1242,totalt,totalt,Antal,2024,1571
0180C1250,totalt,totalt,Antal,2024,2558
0180C1260,totalt,totalt,Antal,2024,1655
0180C1270,totalt,totalt,Antal,2024,1748
0180C1280,totalt,totalt,Antal,2024,1732
0180C1290,totalt,totalt,Antal,2024,2074
0180C1300,totalt,totalt,Antal,2024,1532
0180C1310,totalt,totalt,Antal,2024,1888
0180C1320,totalt,totalt,Antal,2024,2155
0180C1330,totalt,totalt,Antal,2024,1972
0180C1340,totalt,totalt,Antal,2024,1912
0180C1350,totalt,totalt,Antal,2024,2133
0180C1360,totalt,totalt,Antal,2024,1949
0180C1370,totalt,totalt,Antal,2024,2005
0180C1380,totalt,totalt,Antal,2024,1773
0180C1390,totalt,totalt,Antal,2024,1845
0180C1400,totalt,totalt,Antal,2024,1903
0180C1410,totalt,totalt,Antal,2024,2048
0180C1420,totalt,totalt,Antal,2024,1298
0180C1430,totalt,totalt,Antal,2024,1528
0180C1440,totalt,totalt,Antal,2024,1856
0180C1450,totalt,totalt,Antal,2024,2407
0180C1460,totalt,totalt,Antal,2024,2133
0180C1470,totalt,totalt,Antal,2024,2088
0180C1480,totalt,totalt,Antal,2024,1604
0180C1490,totalt,totalt,Antal,2024,1621
0180C1500,totalt,totalt,Antal,2024,2148
0180C1510,totalt,totalt,Antal,2024,1706
0180C1520,totalt,totalt,Antal,2024,1759
0180C1530,totalt,totalt,Antal,2024,2838
0180C1540,totalt,totalt,Antal,2024,1481
0180C1550,totalt,totalt,Antal,2024,2024
0180C1560,totalt,totalt,Antal,2024,2054
0180C1570,totalt,totalt,Antal,2024,1876
0180C1580,totalt,totalt,Antal,2024,1537
0180C1591,totalt,totalt,Antal,2024,1901
0180C1592,totalt,totalt,Antal,2024,1474
0180C1600,totalt,totalt,Antal,2024,1753
0180C1610,totalt,totalt,Antal,2024,2108
0180C1620,totalt,totalt,Antal,2024,1504
0180C1630,totalt,totalt,Antal,2024,1691
0180C1640,totalt,totalt,Antal,2024,1961
0180C1650,totalt,totalt,Antal,2024,2031
0180C1660,totalt,totalt,Antal,2024,1473
0180C1670,totalt,totalt,Antal,2024,1861
0180C1680,totalt,totalt,Antal,2024,1945
0180C1690,totalt,totalt,Antal,2024,1670
0180C1700,totalt,totalt,Antal,2024,2017
0180C1710,totalt,totalt,Antal,2024,2053
0180C1720,totalt,totalt,Antal,2024,1898
0180C1730,totalt,totalt,Antal,2024,1726
0180C1740,totalt,totalt,Antal,2024,1477
0180C1750,totalt,totalt,Antal,2024,1558
0180C1760,totalt,totalt,Antal,2024,1321
0180C1770,totalt,totalt,Antal,2024,1963
0180C1780,totalt,totalt,Antal,2024,1785
0180C1790,totalt,totalt,Antal,2024,1983
0180C1800,totalt,totalt,Antal,2024,1373
0180C1810,totalt,totalt,Antal,2024,1473
0180C1820,totalt,totalt,Antal,2024,2180
0180C1830,totalt,totalt,Antal,2024,2113
0180C1840,totalt,totalt,Antal,2024,1777
0180C1850,totalt,totalt,Antal,2024,1413
0180C1860,totalt,totalt,Antal,2024,2383
0180C1871,totalt,totalt,Antal,2024,1577
0180C1872,totalt,totalt,Antal,2024,1175
0180C1873,totalt,totalt,Antal,2024,1489
0180C1880,totalt,totalt,Antal,2024,2104
0180C1890,totalt,totalt,Antal,2024,1736
0180C1900,totalt,totalt,Antal,2024,1538
0180C1910,totalt,totalt,Antal,2024,1631
0180C1920,totalt,totalt,Antal,2024,1883
0180C1930,totalt,totalt,Antal,2024,2685
0180C1940,totalt,totalt,Antal,2024,2159
0180C1950,totalt,totalt,Antal,2024,1926
0180C1960,totalt,totalt,Antal,2024,1273
0180C1970,totalt,totalt,Antal,2024,1441
0180C1980,totalt,totalt,Antal,2024,1837
0180C1990,totalt,totalt,Antal,2024,1412
0180C2000,totalt,totalt,Antal,2024,1457
0180C2010,totalt,totalt,Antal,2024,2095
0180C2020,totalt,totalt,Antal,2024,1340
0180C2030,totalt,totalt,Antal,2024,2478
0180C2040,totalt,totalt,Antal,2024,1451
0180C2050,totalt,totalt,Antal,2024,1856
0180C2060,totalt,totalt,Antal,2024,1827
0180C2070,totalt,totalt,Antal,2024,2009
0180C2080,totalt,totalt,Antal,2024,1671
0180C2090,totalt,totalt,Antal,2024,1914
0180C2100,totalt,totalt,Antal,2024,1454
0180C2111,totalt,totalt,Antal,2024,1305
0180C2112,totalt,totalt,Antal,2024,1187
0180C2113,totalt,totalt,Antal,2024,1943
0180C2120,totalt,totalt,Antal,2024,1765
0180C2130,totalt,totalt,Antal,2024,2076
0180C2140,totalt,totalt,Antal,2024,2194
0180C2150,totalt,totalt,Antal,2024,2372
0180C2160,totalt,totalt,Antal,2024,1716
0180C2170,totalt,totalt,Antal,2024,1349
0180C2180,totalt,totalt,Antal,2024,1861
0180C2190,totalt,totalt,Antal,2024,1946
0180C2200,totalt,totalt,Antal,2024,1438
0180C2210,totalt,totalt,Antal,2024,1448
0180C2220,totalt,totalt,Antal,2024,2040
0180C2230,totalt,totalt,Antal,2024,1417
0180C2240,totalt,totalt,Antal,2024,2219
0180C2250,totalt,totalt,Antal,2024,2252
0180C2260,totalt,totalt,Antal,2024,1520
0180C2270,totalt,totalt,Antal,2024,1745
0180C2280,totalt,totalt,Antal,2024,2190
0180C2290,totalt,totalt,Antal,2024,2172
0180C2300,totalt,totalt,Antal,2024,2392
0180C2310,totalt,totalt,Antal,2024,2101
0180C2320,totalt,totalt,Antal,2024,1995
0180C2330,totalt,totalt,Antal,2024,2048
0180C2340,totalt,totalt,Antal,2024,2130
0180C2350,totalt,totalt,Antal,2024,1972
0180C2360,totalt,totalt,Antal,2024,1554
0180C2370,totalt,totalt,Antal,2024,1576
0180C2380,totalt,totalt,Antal,2024,1519
0180C2390,totalt,totalt,Antal,2024,1681
0180C2400,totalt,totalt,Antal,2024,1649
0180C2410,totalt,totalt,Antal,2024,1658
0180C2420,totalt,totalt,Antal,2024,1744
0180C2431,totalt,totalt,Antal,2024,1988
0180C2432,totalt,totalt,Antal,2024,1069
0180C2440,totalt,totalt,Antal,2024,2381
0180C2450,totalt,totalt,Antal,2024,1840
0180C2460,totalt,totalt,Antal,2024,2414
0180C2470,totalt,totalt,Antal,2024,1626
0180C2480,totalt,totalt,Antal,2024,1892
0180C2490,totalt,totalt,Antal,2024,1695
0180C2500,totalt,totalt,Antal,2024,2054
0180C2510,totalt,totalt,Antal,2024,2164
0180C2520,totalt,totalt,Antal,2024,1347
0180C2530,totalt,totalt,Antal,2024,2011
0180C2540,totalt,totalt,Antal,2024,2140
0180C2550,totalt,totalt,Antal,2024,1897
0180C2560,totalt,totalt,Antal,2024,1677
0180C2570,totalt,totalt,Antal,2024,2486
0180C2580,totalt,totalt,Antal,2024,2012
0180C2590,totalt,totalt,Antal,2024,2093
0180C2600,totalt,totalt,Antal,2024,1608
0180C2610,totalt,totalt,Antal,2024,1939
0180C2620,totalt,totalt,Antal,2024,3034
0180C2630,totalt,totalt,Antal,2024,1623
0180C2640,totalt,totalt,Antal,2024,1714
0180C2650,totalt,totalt,Antal,2024,1457
0180C2660,totalt,totalt,Antal,2024,1469
0180C2670,totalt,totalt,Antal,2024,1644
0180C2680,totalt,totalt,Antal,2024,1884
0180C2690,totalt,totalt,Antal,2024,1749
0180C2700,totalt,totalt,Antal,2024,2060
0180C2710,totalt,totalt,Antal,2024,2026
0180C2720,totalt,totalt,Antal,2024,1537
0180C2730,totalt,totalt,Antal,2024,1828
0180C2740,totalt,totalt,Antal,2024,1782
0180C2750,totalt,totalt,Antal,2024,1817
0180C2760,totalt,totalt,Antal,2024,1505
0180C2770,totalt,totalt,Antal,2024,2045
0180C2781,totalt,totalt,Antal,2024,1122
0180C2782,totalt,totalt,Antal,2024,1391
0180C2783,totalt,totalt,Antal,2024,1395
0180C2790,totalt,totalt,Antal,2024,1975
0180C2800,totalt,totalt,Antal,2024,1865
0180C2810,totalt,totalt,Antal,2024,2024
0180C2820,totalt,totalt,Antal,2024,1176
0180C2830,totalt,totalt,Antal,2024,1525
0180C2840,totalt,totalt,Antal,2024,1872
0180C2850,totalt,totalt,Antal,2024,1532
0180C2860,totalt,totalt,Antal,2024,1925
0180C2870,totalt,totalt,Antal,2024,1367
0180C2881,totalt,totalt,Antal,2024,1703
0180C2882,totalt,totalt,Antal,2024,1445
0180C2890,totalt,totalt,Antal,2024,1606
0180C2900,totalt,totalt,Antal,2024,2125
0180C2910,totalt,totalt,Antal,2024,1620
0180C2920,totalt,totalt,Antal,2024,1762
0180C2930,totalt,totalt,Antal,2024,1741
0180C2940,totalt,totalt,Antal,2024,2002
0180C2951,totalt,totalt,Antal,2024,1026
0180C2952,totalt,totalt,Antal,2024,1977
0180C2953,totalt,totalt,Antal,2024,2245
0180C2960,totalt,totalt,Antal,2024,2119
0180C2970,totalt,totalt,Antal,2024,1779
0180C2980,totalt,totalt,Antal,2024,1293
0180C2990,totalt,totalt,Antal,2024,1187
0180C3000,totalt,totalt,Antal,2024,1615
0180C3010,totalt,totalt,Antal,2024,1147
0180C3020,totalt,totalt,Antal,2024,1288
0180C3030,totalt,totalt,Antal,2024,1278
0180C3040,totalt,totalt,Antal,2024,1530
0180C3050,totalt,totalt,Antal,2024,1639
0180C3060,totalt,totalt,Antal,2024,1240
0180C3070,totalt,totalt,Antal,2024,1939
0180C3080,totalt,totalt,Antal,2024,1278
0180C3090,totalt,totalt,Antal,2024,1373
0180C3100,totalt,totalt,Antal,2024,2529
0180C3110,totalt,totalt,Antal,2024,1569
0180C3120,totalt,totalt,Antal,2024,1651
0180C3130,totalt,totalt,Antal,2024,1624
0180C3140,totalt,totalt,Antal,2024,1730
0180C3150,totalt,totalt,Antal,2024,1354
0180C3160,totalt,totalt,Antal,2024,1979
0180C3170,totalt,totalt,Antal,2024,1605
0180C3180,totalt,totalt,Antal,2024,1843
0180C3190,totalt,totalt,Antal,2024,1962
0180C3201,totalt,totalt,Antal,2024,1516
0180C3202,totalt,totalt,Antal,2024,1910
0180C3210,totalt,totalt,Antal,2024,1424
0180C3220,totalt,totalt,Antal,2024,1778
0180C3230,totalt,totalt,Antal,2024,1610
0180C3240,totalt,totalt,Antal,2024,1747
0180C3250,totalt,totalt,Antal,2024,1862
0180C3260,totalt,totalt,Antal,2024,2036
0180C3270,totalt,totalt,Antal,2024,1687
0180C3280,totalt,totalt,Antal,2024,1395
0180C3290,totalt,totalt,Antal,2024,1542
0180C3300,totalt,totalt,Antal,2024,1890
0180C3310,totalt,totalt,Antal,2024,1511
0180C3320,totalt,totalt,Antal,2024,2079
0180C3330,totalt,totalt,Antal,2024,2353
0180C3340,totalt,totalt,Antal,2024,1702
0180C3350,totalt,totalt,Antal,2024,1857
0180C3360,totalt,totalt,Antal,2024,1942
0180C3370,totalt,totalt,Antal,2024,2060
0180C3380,totalt,totalt,Antal,2024,1264
0180C3390,totalt,totalt,Antal,2024,1655
0180C3400,totalt,totalt,Antal,2024,1846
0180C3410,totalt,totalt,Antal,2024,1257
0180C3420,totalt,totalt,Antal,2024,1340
0180C3430,totalt,totalt,Antal,2024,1660
0180C3440,totalt,totalt,Antal,2024,1671
0180C3450,totalt,totalt,Antal,2024,1893
0180C3460,totalt,totalt,Antal,2024,1569
0180C3470,totalt,totalt,Antal,2024,1345
0180C3480,totalt,totalt,Antal,2024,2321
0180C3490,totalt,totalt,Antal,2024,1415
0180C3500,totalt,totalt,Antal,2024,1346
0180C3510,totalt,totalt,Antal,2024,1826
0180C3520,totalt,totalt,Antal,2024,1842
0180C3530,totalt,totalt,Antal,2024,1460
0180C3540,totalt,totalt,Antal,2024,1451
0180C3550,totalt,totalt,Antal,2024,1709
0180C3560,totalt,totalt,Antal,2024,1424
0180C3570,totalt,totalt,Antal,2024,1597
0180C3580,totalt,totalt,Antal,2024,2132
0180C3590,totalt,totalt,Antal,2024,1438
0180C3600,totalt,totalt,Antal,2024,1514
0180C3610,totalt,totalt,Antal,2024,1503
0180C3620,totalt,totalt,Antal,2024,1847
0180C3630,totalt,totalt,Antal,2024,1308
0180C3640,totalt,totalt,Antal,2024,1495
0180C3650,totalt,totalt,Antal,2024,1721
0180C3660,totalt,totalt,Antal,2024,1059
0180C3670,totalt,totalt,Antal,2024,1293
0180C3680,totalt,totalt,Antal,2024,1411
0180C3690,totalt,totalt,Antal,2024,1617
0180C3700,totalt,totalt,Antal,2024,1413
0180C3710,totalt,totalt,Antal,2024,1240
0180C3720,totalt,totalt,Antal,2024,1282
0180C3730,totalt,totalt,Antal,2024,1421
0180C3740,totalt,totalt,Antal,2024,1453
0180C3750,totalt,totalt,Antal,2024,1694
0180C3760,totalt,totalt,Antal,2024,1363
0180C3770,totalt,totalt,Antal,2024,1198
0180C3780,totalt,totalt,Antal,2024,1009
0180C3790,totalt,totalt,Antal,2024,1456
0180C3800,totalt,totalt,Antal,2024,1391
0180C3810,totalt,totalt,Antal,2024,1400
0180C3820,totalt,totalt,Antal,2024,1529
0180C3830,totalt,totalt,Antal,2024,1723
0180C3840,totalt,totalt,Antal,2024,1702
0180C3850,totalt,totalt,Antal,2024,1709
0180C3860,totalt,totalt,Antal,2024,1566
0180C3870,totalt,totalt,Antal,2024,1680
0180C3880,totalt,totalt,Antal,2024,1575
0180C3890,totalt,totalt,Antal,2024,1544
0180C3900,totalt,totalt,Antal,2024,1492
0180C3910,totalt,totalt,Antal,2024,2018
0180C3920,totalt,totalt,Antal,2024,827
0180C3930,totalt,totalt,Antal,2024,1392
0180C3940,totalt,totalt,Antal,2024,1513
0180C3950,totalt,totalt,Antal,2024,1216
0180C3960,totalt,totalt,Antal,2024,1250
0180C3970,totalt,totalt,Antal,2024,1454
0180C3980,totalt,totalt,Antal,2024,1470
0180C3990,totalt,totalt,Antal,2024,1433
0180C4000,totalt,totalt,Antal,2024,1573
0180C4010,totalt,totalt,Antal,2024,1435
0180C4020,totalt,totalt,Antal,2024,1622
0180C4030,totalt,totalt,Antal,2024,1374
0180C4040,totalt,totalt,Antal,2024,2089
0180C4050,totalt,totalt,Antal,2024,1944
0180C4060,totalt,totalt,Antal,2024,2315
0180C4070,totalt,totalt,Antal,2024,1338
0180C4080,totalt,totalt,Antal,2024,1488
0180C4090,totalt,totalt,Antal,2024,1408
0180C4100,totalt,totalt,Antal,2024,1320
0180C4110,totalt,totalt,Antal,2024,1749
0180C4120,totalt,totalt,Antal,2024,1498
0180C4130,totalt,totalt,Antal,2024,1418
0180C4140,totalt,totalt,Antal,2024,1873
0180C4150,totalt,totalt,Antal,2024,1555
0180C4160,totalt,totalt,Antal,2024,1379
0180C4170,totalt,totalt,Antal,2024,1499
0180C4180,totalt,totalt,Antal,2024,1972
0180C4190,totalt,totalt,Antal,2024,1544
0180C4200,totalt,totalt,Antal,2024,1700
0180C4210,totalt,totalt,Antal,2024,1668
0180C4220,totalt,totalt,Antal,2024,1694
0180C4230,totalt,totalt,Antal,2024,1520
0180C4240,totalt,totalt,Antal,2024,1667
0180C4250,totalt,totalt,Antal,2024,1533
0180C4260,totalt,totalt,Antal,2024,1807
0180C4270,totalt,totalt,Antal,2024,1067
0180C4280,totalt,totalt,Antal,2024,2095
0180C4290,totalt,totalt,Antal,2024,1874
0180C4300,totalt,totalt,Antal,2024,1738
0180C4310,totalt,totalt,Antal,2024,1808
