Region,Hushallstyp,ContentsCode,Tid,value
0180C1010,totalt antal hushåll,Antal hushåll,2024,894
0180C1020,totalt antal hushåll,Antal hushåll,2024,931
0180C1030,totalt antal hushåll,Antal hushåll,2024,877
0180C1040,totalt antal hushåll,Antal hushåll,2024,1249
0180C1050,totalt antal hushåll,Antal hushåll,2024,1276
0180C1060,totalt antal hushåll,Antal hushåll,2024,1033
0180C1070,totalt antal hushåll,Antal hushåll,2024,665
0180C1080,totalt antal hushåll,Antal hushåll,2024,717
0180C1090,totalt antal hushåll,Antal hushåll,2024,673
0180C1101,totalt antal hushåll,Antal hushåll,2024,964
0180C1102,totalt antal hushåll,Antal hushåll,2024,659
0180C1110,totalt antal hushåll,Antal hushåll,2024,819
0180C1120,totalt antal hushåll,Antal hushåll,2024,622
0180C1130,totalt antal hushåll,Antal hushåll,2024,723
0180C1140,totalt antal hushåll,Antal hushåll,2024,678
0180C1150,totalt antal hushåll,Antal hushåll,2024,505
0180C1160,totalt antal hushåll,Antal hushåll,2024,703
0180C1170,totalt antal hushåll,Antal hushåll,2024,1113
0180C1180,totalt antal hushåll,Antal hushåll,2024,934
0180C1190,totalt antal hushåll,Antal hushåll,2024,837
0180C1200,totalt antal hushåll,Antal hushåll,2024,649
0180C1210,totalt antal hushåll,Antal hushåll,2024,912
0180C1220,totalt antal hushåll,Antal hushåll,2024,1322
0180C1230,totalt antal hushåll,Antal hushåll,2024,878
0180C1241,totalt antal hushåll,Antal hushåll,2024,571
0180C1242,totalt antal hushåll,Antal hushåll,2024,837
0180C1250,totalt antal hushåll,Antal hushåll,2024,1268
0180C1260,totalt antal hushåll,Antal hushåll,2024,911
0180C1270,totalt antal hushåll,Antal hushåll,2024,733
0180C1280,totalt antal hushåll,Antal hushåll,2024,810
0180C1290,totalt antal hushåll,Antal hushåll,2024,1156
0180C1300,totalt antal hushåll,Antal hushåll,2024,672
0180C1310,totalt antal hushåll,Antal hushåll,2024,861
0180C1320,totalt antal hushåll,Antal hushåll,2024,1188
0180C1330,totalt antal hushåll,Antal hushåll,2024,789
0180C1340,totalt antal hushåll,Antal hushåll,2024,777
0180C1350,totalt antal hushåll,Antal hushåll,2024,976
0180C1360,totalt antal hushåll,Antal hushåll,2024,746
0180C1370,totalt antal hushåll,Antal hushåll,2024,1134
0180C1380,totalt antal hushåll,Antal hushåll,2024,812
0180C1390,totalt antal hushåll,Antal hushåll,2024,1029
0180C1400,totalt antal hushåll,Antal hushåll,2024,914
0180C1410,totalt antal hushåll,Antal hushåll,2024,1191
0180C1420,totalt antal hushåll,Antal hushåll,2024,441
0180C1430,totalt antal hushåll,Antal hushåll,2024,493
0180C1440,totalt antal hushåll,Antal hushåll,2024,902
0180C1450,totalt antal hushåll,Antal hushåll,2024,1253
0180C1460,totalt antal hushåll,Antal hushåll,2024,1060
0180C1470,totalt antal hushåll,Antal hushåll,2024,1129
0180C1480,totalt antal hushåll,Antal hushåll,2024,842
0180C1490,totalt antal hushåll,Antal hushåll,2024,622
0180C1500,totalt antal hushåll,Antal hushåll,2024,879
0180C1510,totalt antal hushåll,Antal hushåll,2024,823
0180C1520,totalt antal hushåll,Antal hushåll,2024,791
0180C1530,totalt antal hushåll,Antal hushåll,2024,1474
0180C1540,totalt antal hushåll,Antal hushåll,2024,854
0180C1550,totalt antal hushåll,Antal hushåll,2024,632
0180C1560,totalt antal hushåll,Antal hushåll,2024,806
0180C1570,totalt antal hushåll,Antal hushåll,2024,924
0180C1580,totalt antal hushåll,Antal hushåll,2024,856
0180C1591,totalt antal hushåll,Antal hushåll,2024,691
0180C1592,totalt antal hushåll,Antal hushåll,2024,688
0180C1600,totalt antal hushåll,Antal hushåll,2024,782
0180C1610,totalt antal hushåll,Antal hushåll,2024,862
0180C1620,totalt antal hushåll,Antal hushåll,2024,479
0180C1630,totalt antal hushåll,Antal hushåll,2024,668
0180C1640,totalt antal hushåll,Antal hushåll,2024,883
0180C1650,totalt antal hushåll,Antal hushåll,2024,662
0180C1660,totalt antal hushåll,Antal hushåll,2024,574
0180C1670,totalt antal hushåll,Antal hushåll,2024,589
0180C1680,totalt antal hushåll,Antal hushåll,2024,773
0180C1690,totalt antal hushåll,Antal hushåll,2024,531
0180C1700,totalt antal hushåll,Antal hushåll,2024,644
0180C1710,totalt antal hushåll,Antal hushåll,2024,1116
0180C1720,totalt antal hushåll,Antal hushåll,2024,669
0180C1730,totalt antal hushåll,Antal hushåll,2024,656
0180C1740,totalt antal hushåll,Antal hushåll,2024,664
0180C1750,totalt antal hushåll,Antal hushåll,2024,775
0180C1760,totalt antal hushåll,Antal hushåll,2024,680
0180C1770,totalt antal hushåll,Antal hushåll,2024,746
0180C1780,totalt antal hushåll,Antal hushåll,2024,748
