Region,InkomstTyp,Kon,ContentsCode,Tid,value
0180C1010,sammanräknad förvärvsinkomst,totalt,"Medelvärde, tkr",2023,
0180C1020,sammanräknad förvärvsinkomst,totalt,"Medelvärde, tkr",2023,
0180C1030,sammanräknad förvärvsinkomst,totalt,"Medelvärde, tkr",2023,
0180C1040,sammanräknad förvärvsinkomst,totalt,"Medelvärde, tkr",2023,
0180C1050,sammanräknad förvärvsinkomst,totalt,"Medelvärde, tkr",2023,
0180C1060,sammanräknad förvärvsinkomst,totalt,"Medelvärde, tkr",2023,
0180C1070,sammanräknad förvärvsinkomst,totalt,"Medelvärde, tkr",2023,
0180C1080,sammanräknad förvärvsinkomst,totalt,"Medelvärde, tkr",2023,
0180C1090,sammanräknad förvärvsinkomst,totalt,"Medelvärde, tkr",2023,
0180C1101,sammanräknad förvärvsinkomst,totalt,"Medelvärde, tkr",2023,
0180C1102,sammanräknad förvärvsinkomst,totalt,"Medelvärde, tkr",2023,
0180C1110,sammanräknad förvärvsinkomst,totalt,"Medelvärde, tkr",2023,
0180C1120,sammanräknad förvärvsinkomst,totalt,"Medelvärde, tkr",2023,
0180C1130,sammanräknad förvärvsinkomst,totalt,"Medelvärde, tkr",2023,
0180C1140,sammanräknad förvärvsinkomst,totalt,"Medelvärde, tkr",2023,
0180C1150,sammanräknad förvärvsinkomst,totalt,"Medelvärde, tkr",2023,
0180C1160,sammanräknad förvärvsinkomst,totalt,"Medelvärde, tkr",2023,
0180C1170,sammanräknad förvärvsinkomst,totalt,"Medelvärde, tkr",2023,
0180C1180,sammanräknad förvärvsinkomst,totalt,"Medelvärde, tkr",2023,
0180C1190,sammanräknad förvärvsinkomst,totalt,"Medelvärde, tkr",2023,
0180C1200,sammanräknad förvärvsinkomst,totalt,"Medelvärde, tkr",2023,
0180C1210,sammanräknad förvärvsinkomst,totalt,"Medelvärde, tkr",2023,
0180C1220,sammanräknad förvärvsinkomst,totalt,"Medelvärde, tkr",2023,
0180C1230,sammanräknad förvärvsinkomst,totalt,"Medelvärde, tkr",2023,
0180C1241,sammanräknad förvärvsinkomst,totalt,"Medelvärde, tkr",2023,
0180C1242,sammanräknad förvärvsinkomst,totalt,"Medelvärde, tkr",2023,
0180C1250,sammanräknad förvärvsinkomst,totalt,"Medelvärde, tkr",2023,
0180C1260,sammanräknad förvärvsinkomst,totalt,"Medelvärde, tkr",2023,
0180C1270,sammanräknad förvärvsinkomst,totalt,"Medelvärde, tkr",2023,
